Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,car4-cat3,dot,491.0379638671875,734.1246948242188,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,car2-cat3,dot,491.0379638671875,744.0225830078125,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,dog4-cat3,dot,491.0379638671875,632.75,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,dog1-cat3,dot,491.0379638671875,664.5169677734375,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,bear4-cat3,dot,491.0379638671875,681.8076782226562,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,bear6-cat3,dot,491.0379638671875,729.5927734375,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,boat3-cat3,dot,491.0379638671875,568.69091796875,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,boat9-cat3,dot,491.0379638671875,704.78515625,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,boat7-cat3,dot,491.0379638671875,663.5281982421875,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,oven8-cat3,dot,491.0379638671875,676.1290283203125,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,chair5-cat3,dot,491.0379638671875,679.712646484375,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,chair1-cat3,dot,491.0379638671875,562.1939697265625,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,truck5-cat3,dot,491.0379638671875,634.4779052734375,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,bird7-cat3,dot,491.0379638671875,721.2840576171875,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,airplane7-cat3,dot,491.0379638671875,699.3073120117188,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,airplane4-cat3,dot,491.0379638671875,735.3538208007812,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,bicycle9-cat3,dot,491.0379638671875,586.86181640625,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,bottle1-cat3,dot,491.0379638671875,684.938720703125,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,bottle3-cat3,dot,491.0379638671875,538.1016235351562,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,keyboard8-cat3,dot,491.0379638671875,656.0513916015625,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-airplane1,knife2-cat3,dot,491.0379638671875,811.1807861328125,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-bicycle2,car4-cat3,dot,498.53582763671875,734.1246948242188,0,1
resnet50,bird4-cat3,bird4,cat3,bird4-bicycle2,car2-cat3,dot,498.53582763671875,744.0225830078125,0,1
