Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,cat1-boat1,dot,706.17724609375,811.628662109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,cat5-boat1,dot,706.17724609375,773.5145874023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,car3-boat1,dot,706.17724609375,739.6188354492188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,car4-boat1,dot,706.17724609375,851.6019287109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,car6-boat1,dot,706.17724609375,710.5967407226562,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,dog3-boat1,dot,706.17724609375,769.15185546875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,dog9-boat1,dot,706.17724609375,787.8504638671875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,chair2-boat1,dot,706.17724609375,783.92919921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,chair8-boat1,dot,706.17724609375,766.9677124023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,truck7-boat1,dot,706.17724609375,786.4482421875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,bird1-boat1,dot,706.17724609375,752.9340209960938,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,airplane9-boat1,dot,706.17724609375,737.1715087890625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,bicycle4-boat1,dot,706.17724609375,721.5901489257812,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,bicycle8-boat1,dot,706.17724609375,757.7692260742188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,bottle5-boat1,dot,706.17724609375,824.7217407226562,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,keyboard3-boat1,dot,706.17724609375,663.9912109375,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,clock8-boat1,dot,706.17724609375,844.3502197265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,knife4-boat1,dot,706.17724609375,728.821533203125,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,knife9-boat1,dot,706.17724609375,762.0704345703125,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,knife8-boat1,dot,706.17724609375,768.0767822265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-cat3,elephant2-boat1,dot,706.17724609375,847.9539794921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,cat1-boat1,dot,729.1649169921875,811.628662109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,cat5-boat1,dot,729.1649169921875,773.5145874023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,car3-boat1,dot,729.1649169921875,739.6188354492188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,car4-boat1,dot,729.1649169921875,851.6019287109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,car6-boat1,dot,729.1649169921875,710.5967407226562,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,dog3-boat1,dot,729.1649169921875,769.15185546875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,dog9-boat1,dot,729.1649169921875,787.8504638671875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,chair2-boat1,dot,729.1649169921875,783.92919921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,chair8-boat1,dot,729.1649169921875,766.9677124023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,truck7-boat1,dot,729.1649169921875,786.4482421875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,bird1-boat1,dot,729.1649169921875,752.9340209960938,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,airplane9-boat1,dot,729.1649169921875,737.1715087890625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,bicycle4-boat1,dot,729.1649169921875,721.5901489257812,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,bicycle8-boat1,dot,729.1649169921875,757.7692260742188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,bottle5-boat1,dot,729.1649169921875,824.7217407226562,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,keyboard3-boat1,dot,729.1649169921875,663.9912109375,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,clock8-boat1,dot,729.1649169921875,844.3502197265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,knife4-boat1,dot,729.1649169921875,728.821533203125,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,knife9-boat1,dot,729.1649169921875,762.0704345703125,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,knife8-boat1,dot,729.1649169921875,768.0767822265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-oven3,elephant2-boat1,dot,729.1649169921875,847.9539794921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,cat1-boat1,dot,702.9227294921875,811.628662109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,cat5-boat1,dot,702.9227294921875,773.5145874023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,car3-boat1,dot,702.9227294921875,739.6188354492188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,car4-boat1,dot,702.9227294921875,851.6019287109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,car6-boat1,dot,702.9227294921875,710.5967407226562,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,dog3-boat1,dot,702.9227294921875,769.15185546875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,dog9-boat1,dot,702.9227294921875,787.8504638671875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,chair2-boat1,dot,702.9227294921875,783.92919921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,chair8-boat1,dot,702.9227294921875,766.9677124023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,truck7-boat1,dot,702.9227294921875,786.4482421875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,bird1-boat1,dot,702.9227294921875,752.9340209960938,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,airplane9-boat1,dot,702.9227294921875,737.1715087890625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,bicycle4-boat1,dot,702.9227294921875,721.5901489257812,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,bicycle8-boat1,dot,702.9227294921875,757.7692260742188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,bottle5-boat1,dot,702.9227294921875,824.7217407226562,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,keyboard3-boat1,dot,702.9227294921875,663.9912109375,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,clock8-boat1,dot,702.9227294921875,844.3502197265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,knife4-boat1,dot,702.9227294921875,728.821533203125,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,knife9-boat1,dot,702.9227294921875,762.0704345703125,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,knife8-boat1,dot,702.9227294921875,768.0767822265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-bottle1,elephant2-boat1,dot,702.9227294921875,847.9539794921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,cat1-boat1,dot,735.6392822265625,811.628662109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,cat5-boat1,dot,735.6392822265625,773.5145874023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,car3-boat1,dot,735.6392822265625,739.6188354492188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,car4-boat1,dot,735.6392822265625,851.6019287109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,car6-boat1,dot,735.6392822265625,710.5967407226562,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,dog3-boat1,dot,735.6392822265625,769.15185546875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,dog9-boat1,dot,735.6392822265625,787.8504638671875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,chair2-boat1,dot,735.6392822265625,783.92919921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,chair8-boat1,dot,735.6392822265625,766.9677124023438,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,truck7-boat1,dot,735.6392822265625,786.4482421875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,bird1-boat1,dot,735.6392822265625,752.9340209960938,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,airplane9-boat1,dot,735.6392822265625,737.1715087890625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,bicycle4-boat1,dot,735.6392822265625,721.5901489257812,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,bicycle8-boat1,dot,735.6392822265625,757.7692260742188,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,bottle5-boat1,dot,735.6392822265625,824.7217407226562,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,keyboard3-boat1,dot,735.6392822265625,663.9912109375,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,clock8-boat1,dot,735.6392822265625,844.3502197265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,knife4-boat1,dot,735.6392822265625,728.821533203125,1,0
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,knife9-boat1,dot,735.6392822265625,762.0704345703125,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,knife8-boat1,dot,735.6392822265625,768.0767822265625,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-knife2,elephant2-boat1,dot,735.6392822265625,847.9539794921875,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-car2,cat1-boat1,dot,774.9412841796875,811.628662109375,0,1
resnet50,bird7-boat1,bird7,boat1,bird7-car2,cat5-boat1,dot,774.9412841796875,773.5145874023438,1,0
