Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,cat8-car2,dot,738.8724365234375,842.4892578125,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,cat4-car2,dot,738.8724365234375,872.623291015625,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,cat5-car2,dot,738.8724365234375,933.3727416992188,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,cat1-car2,dot,738.8724365234375,896.857177734375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,dog1-car2,dot,738.8724365234375,838.4080200195312,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,dog7-car2,dot,738.8724365234375,792.2424926757812,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bear3-car2,dot,738.8724365234375,889.25830078125,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bear2-car2,dot,738.8724365234375,814.1812133789062,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bear10-car2,dot,738.8724365234375,899.6241455078125,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bear6-car2,dot,738.8724365234375,870.6380615234375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,oven3-car2,dot,738.8724365234375,929.7872314453125,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,oven9-car2,dot,738.8724365234375,818.7269897460938,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,chair10-car2,dot,738.8724365234375,956.1806030273438,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,chair7-car2,dot,738.8724365234375,834.5189208984375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bird7-car2,dot,738.8724365234375,758.531494140625,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bird8-car2,dot,738.8724365234375,958.0452880859375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bird5-car2,dot,738.8724365234375,884.373779296875,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,airplane9-car2,dot,738.8724365234375,866.7290649414062,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bicycle2-car2,dot,738.8724365234375,750.9176025390625,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bicycle4-car2,dot,738.8724365234375,815.564208984375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bicycle6-car2,dot,738.8724365234375,768.6663818359375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,bottle2-car2,dot,738.8724365234375,787.2129516601562,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,keyboard6-car2,dot,738.8724365234375,862.36474609375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,keyboard3-car2,dot,738.8724365234375,850.8724365234375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,clock3-car2,dot,738.8724365234375,802.8486328125,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,clock4-car2,dot,738.8724365234375,937.394287109375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,clock6-car2,dot,738.8724365234375,698.7781982421875,1,0
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,knife7-car2,dot,738.8724365234375,797.490966796875,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,knife4-car2,dot,738.8724365234375,963.9407958984375,0,1
resnet50,boat1-car2,boat1,car2,boat1-keyboard3,knife8-car2,dot,738.8724365234375,977.6692504882812,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,cat8-car2,dot,776.6832275390625,842.4892578125,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,cat4-car2,dot,776.6832275390625,872.623291015625,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,cat5-car2,dot,776.6832275390625,933.3727416992188,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,cat1-car2,dot,776.6832275390625,896.857177734375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,dog1-car2,dot,776.6832275390625,838.4080200195312,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,dog7-car2,dot,776.6832275390625,792.2424926757812,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bear3-car2,dot,776.6832275390625,889.25830078125,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bear2-car2,dot,776.6832275390625,814.1812133789062,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bear10-car2,dot,776.6832275390625,899.6241455078125,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bear6-car2,dot,776.6832275390625,870.6380615234375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,oven3-car2,dot,776.6832275390625,929.7872314453125,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,oven9-car2,dot,776.6832275390625,818.7269897460938,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,chair10-car2,dot,776.6832275390625,956.1806030273438,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,chair7-car2,dot,776.6832275390625,834.5189208984375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bird7-car2,dot,776.6832275390625,758.531494140625,1,0
resnet50,boat1-car2,boat1,car2,boat10-truck1,bird8-car2,dot,776.6832275390625,958.0452880859375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bird5-car2,dot,776.6832275390625,884.373779296875,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,airplane9-car2,dot,776.6832275390625,866.7290649414062,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bicycle2-car2,dot,776.6832275390625,750.9176025390625,1,0
resnet50,boat1-car2,boat1,car2,boat10-truck1,bicycle4-car2,dot,776.6832275390625,815.564208984375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,bicycle6-car2,dot,776.6832275390625,768.6663818359375,1,0
resnet50,boat1-car2,boat1,car2,boat10-truck1,bottle2-car2,dot,776.6832275390625,787.2129516601562,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,keyboard6-car2,dot,776.6832275390625,862.36474609375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,keyboard3-car2,dot,776.6832275390625,850.8724365234375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,clock3-car2,dot,776.6832275390625,802.8486328125,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,clock4-car2,dot,776.6832275390625,937.394287109375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,clock6-car2,dot,776.6832275390625,698.7781982421875,1,0
resnet50,boat1-car2,boat1,car2,boat10-truck1,knife7-car2,dot,776.6832275390625,797.490966796875,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,knife4-car2,dot,776.6832275390625,963.9407958984375,0,1
resnet50,boat1-car2,boat1,car2,boat10-truck1,knife8-car2,dot,776.6832275390625,977.6692504882812,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,cat8-car2,dot,589.4735107421875,842.4892578125,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,cat4-car2,dot,589.4735107421875,872.623291015625,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,cat5-car2,dot,589.4735107421875,933.3727416992188,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,cat1-car2,dot,589.4735107421875,896.857177734375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,dog1-car2,dot,589.4735107421875,838.4080200195312,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,dog7-car2,dot,589.4735107421875,792.2424926757812,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bear3-car2,dot,589.4735107421875,889.25830078125,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bear2-car2,dot,589.4735107421875,814.1812133789062,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bear10-car2,dot,589.4735107421875,899.6241455078125,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bear6-car2,dot,589.4735107421875,870.6380615234375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,oven3-car2,dot,589.4735107421875,929.7872314453125,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,oven9-car2,dot,589.4735107421875,818.7269897460938,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,chair10-car2,dot,589.4735107421875,956.1806030273438,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,chair7-car2,dot,589.4735107421875,834.5189208984375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bird7-car2,dot,589.4735107421875,758.531494140625,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bird8-car2,dot,589.4735107421875,958.0452880859375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bird5-car2,dot,589.4735107421875,884.373779296875,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,airplane9-car2,dot,589.4735107421875,866.7290649414062,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bicycle2-car2,dot,589.4735107421875,750.9176025390625,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bicycle4-car2,dot,589.4735107421875,815.564208984375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bicycle6-car2,dot,589.4735107421875,768.6663818359375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,bottle2-car2,dot,589.4735107421875,787.2129516601562,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,keyboard6-car2,dot,589.4735107421875,862.36474609375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,keyboard3-car2,dot,589.4735107421875,850.8724365234375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,clock3-car2,dot,589.4735107421875,802.8486328125,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,clock4-car2,dot,589.4735107421875,937.394287109375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,clock6-car2,dot,589.4735107421875,698.7781982421875,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,knife7-car2,dot,589.4735107421875,797.490966796875,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,knife4-car2,dot,589.4735107421875,963.9407958984375,0,1
resnet50,boat1-car2,boat1,car2,boat10-oven1,knife8-car2,dot,589.4735107421875,977.6692504882812,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,cat8-car2,dot,689.5458984375,842.4892578125,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,cat4-car2,dot,689.5458984375,872.623291015625,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,cat5-car2,dot,689.5458984375,933.3727416992188,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,cat1-car2,dot,689.5458984375,896.857177734375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,dog1-car2,dot,689.5458984375,838.4080200195312,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,dog7-car2,dot,689.5458984375,792.2424926757812,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bear3-car2,dot,689.5458984375,889.25830078125,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bear2-car2,dot,689.5458984375,814.1812133789062,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bear10-car2,dot,689.5458984375,899.6241455078125,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bear6-car2,dot,689.5458984375,870.6380615234375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,oven3-car2,dot,689.5458984375,929.7872314453125,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,oven9-car2,dot,689.5458984375,818.7269897460938,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,chair10-car2,dot,689.5458984375,956.1806030273438,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,chair7-car2,dot,689.5458984375,834.5189208984375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bird7-car2,dot,689.5458984375,758.531494140625,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bird8-car2,dot,689.5458984375,958.0452880859375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bird5-car2,dot,689.5458984375,884.373779296875,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,airplane9-car2,dot,689.5458984375,866.7290649414062,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bicycle2-car2,dot,689.5458984375,750.9176025390625,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bicycle4-car2,dot,689.5458984375,815.564208984375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bicycle6-car2,dot,689.5458984375,768.6663818359375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,bottle2-car2,dot,689.5458984375,787.2129516601562,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,keyboard6-car2,dot,689.5458984375,862.36474609375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,keyboard3-car2,dot,689.5458984375,850.8724365234375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,clock3-car2,dot,689.5458984375,802.8486328125,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,clock4-car2,dot,689.5458984375,937.394287109375,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,clock6-car2,dot,689.5458984375,698.7781982421875,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,knife7-car2,dot,689.5458984375,797.490966796875,0,1
resnet50,boat1-car2,boat1,car2,boat1-bird3,knife4-car2,dot,689.5458984375,963.9407958984375,0,1
