Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,dog9-car1,dot,576.9727783203125,666.443603515625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,boat6-car1,dot,576.9727783203125,755.3602294921875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,oven2-car1,dot,576.9727783203125,733.008056640625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,oven4-car1,dot,576.9727783203125,776.41259765625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,chair8-car1,dot,576.9727783203125,771.0985107421875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,chair5-car1,dot,576.9727783203125,731.5623168945312,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,truck5-car1,dot,576.9727783203125,661.0902099609375,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,airplane7-car1,dot,576.9727783203125,703.989990234375,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,airplane4-car1,dot,576.9727783203125,742.672607421875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,airplane3-car1,dot,576.9727783203125,692.2864379882812,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,bicycle9-car1,dot,576.9727783203125,650.15380859375,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,bottle1-car1,dot,576.9727783203125,866.408935546875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,keyboard10-car1,dot,576.9727783203125,756.0009765625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,clock1-car1,dot,576.9727783203125,745.8660888671875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,clock7-car1,dot,576.9727783203125,808.5560913085938,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-dog1,elephant5-car1,dot,576.9727783203125,700.9423828125,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,dog9-car1,dot,716.8056030273438,666.443603515625,1,0
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,boat6-car1,dot,716.8056030273438,755.3602294921875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,oven2-car1,dot,716.8056030273438,733.008056640625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,oven4-car1,dot,716.8056030273438,776.41259765625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,chair8-car1,dot,716.8056030273438,771.0985107421875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,chair5-car1,dot,716.8056030273438,731.5623168945312,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,truck5-car1,dot,716.8056030273438,661.0902099609375,1,0
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,airplane7-car1,dot,716.8056030273438,703.989990234375,1,0
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,airplane4-car1,dot,716.8056030273438,742.672607421875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,airplane3-car1,dot,716.8056030273438,692.2864379882812,1,0
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,bicycle9-car1,dot,716.8056030273438,650.15380859375,1,0
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,bottle1-car1,dot,716.8056030273438,866.408935546875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,keyboard10-car1,dot,716.8056030273438,756.0009765625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,clock1-car1,dot,716.8056030273438,745.8660888671875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,clock7-car1,dot,716.8056030273438,808.5560913085938,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-clock2,elephant5-car1,dot,716.8056030273438,700.9423828125,1,0
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,dog9-car1,dot,608.7200927734375,666.443603515625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,boat6-car1,dot,608.7200927734375,755.3602294921875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,oven2-car1,dot,608.7200927734375,733.008056640625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,oven4-car1,dot,608.7200927734375,776.41259765625,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,chair8-car1,dot,608.7200927734375,771.0985107421875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,chair5-car1,dot,608.7200927734375,731.5623168945312,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,truck5-car1,dot,608.7200927734375,661.0902099609375,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,airplane7-car1,dot,608.7200927734375,703.989990234375,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,airplane4-car1,dot,608.7200927734375,742.672607421875,0,1
resnet50,bottle10-car1,bottle10,car1,bottle10-bear2,airplane3-car1,dot,608.7200927734375,692.2864379882812,0,1
