Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,cat10-elephant3,dot,408.70269775390625,612.03125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,car3-elephant3,dot,408.70269775390625,630.614501953125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,car7-elephant3,dot,408.70269775390625,642.5057373046875,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,car4-elephant3,dot,408.70269775390625,623.6134033203125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,car6-elephant3,dot,408.70269775390625,620.1248168945312,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,boat7-elephant3,dot,408.70269775390625,564.611572265625,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,boat1-elephant3,dot,408.70269775390625,564.629638671875,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,oven4-elephant3,dot,408.70269775390625,591.0218505859375,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,oven3-elephant3,dot,408.70269775390625,568.3657836914062,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,truck10-elephant3,dot,408.70269775390625,693.1622314453125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,airplane8-elephant3,dot,408.70269775390625,591.1678466796875,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,keyboard1-elephant3,dot,408.70269775390625,569.1671142578125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,clock3-elephant3,dot,408.70269775390625,546.9503173828125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-bird1,knife10-elephant3,dot,408.70269775390625,617.6032104492188,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,cat10-elephant3,dot,482.28472900390625,612.03125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,car3-elephant3,dot,482.28472900390625,630.614501953125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,car7-elephant3,dot,482.28472900390625,642.5057373046875,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,car4-elephant3,dot,482.28472900390625,623.6134033203125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,car6-elephant3,dot,482.28472900390625,620.1248168945312,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,boat7-elephant3,dot,482.28472900390625,564.611572265625,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,boat1-elephant3,dot,482.28472900390625,564.629638671875,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,oven4-elephant3,dot,482.28472900390625,591.0218505859375,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,oven3-elephant3,dot,482.28472900390625,568.3657836914062,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,truck10-elephant3,dot,482.28472900390625,693.1622314453125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,airplane8-elephant3,dot,482.28472900390625,591.1678466796875,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,keyboard1-elephant3,dot,482.28472900390625,569.1671142578125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,clock3-elephant3,dot,482.28472900390625,546.9503173828125,0,1
resnet50,bottle8-elephant3,bottle8,elephant3,bottle8-keyboard3,knife10-elephant3,dot,482.28472900390625,617.6032104492188,0,1
