Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,cat4-airplane1,dot,500.4127197265625,793.3375244140625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,car1-airplane1,dot,500.4127197265625,671.0316772460938,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,dog10-airplane1,dot,500.4127197265625,753.6508178710938,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bear3-airplane1,dot,500.4127197265625,790.54541015625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bear8-airplane1,dot,500.4127197265625,822.94091796875,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bear2-airplane1,dot,500.4127197265625,788.4544067382812,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,boat2-airplane1,dot,500.4127197265625,673.769775390625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,boat5-airplane1,dot,500.4127197265625,725.4627075195312,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,oven3-airplane1,dot,500.4127197265625,760.2647705078125,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,oven5-airplane1,dot,500.4127197265625,805.1387329101562,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,chair7-airplane1,dot,500.4127197265625,767.2144775390625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,chair8-airplane1,dot,500.4127197265625,569.2672119140625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,truck10-airplane1,dot,500.4127197265625,618.8703002929688,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bird4-airplane1,dot,500.4127197265625,809.4677734375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bicycle4-airplane1,dot,500.4127197265625,712.620361328125,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bottle4-airplane1,dot,500.4127197265625,768.7909545898438,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bottle6-airplane1,dot,500.4127197265625,818.9749755859375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,bottle5-airplane1,dot,500.4127197265625,806.1676635742188,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,clock4-airplane1,dot,500.4127197265625,575.6047973632812,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,clock9-airplane1,dot,500.4127197265625,497.7698669433594,1,0
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,clock10-airplane1,dot,500.4127197265625,591.2099609375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,clock5-airplane1,dot,500.4127197265625,471.34136962890625,1,0
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,knife6-airplane1,dot,500.4127197265625,620.4596557617188,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-elephant3,knife1-airplane1,dot,500.4127197265625,704.6773681640625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,cat4-airplane1,dot,562.9403686523438,793.3375244140625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,car1-airplane1,dot,562.9403686523438,671.0316772460938,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,dog10-airplane1,dot,562.9403686523438,753.6508178710938,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bear3-airplane1,dot,562.9403686523438,790.54541015625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bear8-airplane1,dot,562.9403686523438,822.94091796875,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bear2-airplane1,dot,562.9403686523438,788.4544067382812,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,boat2-airplane1,dot,562.9403686523438,673.769775390625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,boat5-airplane1,dot,562.9403686523438,725.4627075195312,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,oven3-airplane1,dot,562.9403686523438,760.2647705078125,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,oven5-airplane1,dot,562.9403686523438,805.1387329101562,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,chair7-airplane1,dot,562.9403686523438,767.2144775390625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,chair8-airplane1,dot,562.9403686523438,569.2672119140625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,truck10-airplane1,dot,562.9403686523438,618.8703002929688,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bird4-airplane1,dot,562.9403686523438,809.4677734375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bicycle4-airplane1,dot,562.9403686523438,712.620361328125,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bottle4-airplane1,dot,562.9403686523438,768.7909545898438,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bottle6-airplane1,dot,562.9403686523438,818.9749755859375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,bottle5-airplane1,dot,562.9403686523438,806.1676635742188,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,clock4-airplane1,dot,562.9403686523438,575.6047973632812,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,clock9-airplane1,dot,562.9403686523438,497.7698669433594,1,0
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,clock10-airplane1,dot,562.9403686523438,591.2099609375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,clock5-airplane1,dot,562.9403686523438,471.34136962890625,1,0
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,knife6-airplane1,dot,562.9403686523438,620.4596557617188,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bird2,knife1-airplane1,dot,562.9403686523438,704.6773681640625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,cat4-airplane1,dot,472.3175354003906,793.3375244140625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,car1-airplane1,dot,472.3175354003906,671.0316772460938,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,dog10-airplane1,dot,472.3175354003906,753.6508178710938,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bear3-airplane1,dot,472.3175354003906,790.54541015625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bear8-airplane1,dot,472.3175354003906,822.94091796875,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bear2-airplane1,dot,472.3175354003906,788.4544067382812,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,boat2-airplane1,dot,472.3175354003906,673.769775390625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,boat5-airplane1,dot,472.3175354003906,725.4627075195312,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,oven3-airplane1,dot,472.3175354003906,760.2647705078125,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,oven5-airplane1,dot,472.3175354003906,805.1387329101562,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,chair7-airplane1,dot,472.3175354003906,767.2144775390625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,chair8-airplane1,dot,472.3175354003906,569.2672119140625,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,truck10-airplane1,dot,472.3175354003906,618.8703002929688,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bird4-airplane1,dot,472.3175354003906,809.4677734375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bicycle4-airplane1,dot,472.3175354003906,712.620361328125,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bottle4-airplane1,dot,472.3175354003906,768.7909545898438,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bottle6-airplane1,dot,472.3175354003906,818.9749755859375,0,1
resnet50,cat1-airplane1,cat1,airplane1,cat10-bear1,bottle5-airplane1,dot,472.3175354003906,806.1676635742188,0,1
