Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,cat5-dog3,dot,643.0150146484375,724.723388671875,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,cat7-dog3,dot,643.0150146484375,805.0824584960938,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,car7-dog3,dot,643.0150146484375,875.9505004882812,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,bear3-dog3,dot,643.0150146484375,910.368896484375,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,bear7-dog3,dot,643.0150146484375,810.982177734375,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,boat8-dog3,dot,643.0150146484375,901.126220703125,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,boat3-dog3,dot,643.0150146484375,883.5146484375,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,oven2-dog3,dot,643.0150146484375,837.0772705078125,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,oven5-dog3,dot,643.0150146484375,899.9533081054688,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,oven1-dog3,dot,643.0150146484375,826.8017578125,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,truck5-dog3,dot,643.0150146484375,861.3519897460938,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,truck3-dog3,dot,643.0150146484375,919.7451171875,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,truck8-dog3,dot,643.0150146484375,864.7208862304688,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,bird4-dog3,dot,643.0150146484375,1021.1998291015625,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,airplane10-dog3,dot,643.0150146484375,1049.972412109375,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,airplane5-dog3,dot,643.0150146484375,807.0950927734375,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,bicycle10-dog3,dot,643.0150146484375,605.058837890625,1,0
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,bicycle1-dog3,dot,643.0150146484375,782.2330322265625,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,bottle6-dog3,dot,643.0150146484375,816.9267578125,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,keyboard1-dog3,dot,643.0150146484375,956.1764526367188,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,keyboard8-dog3,dot,643.0150146484375,817.2626342773438,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,keyboard5-dog3,dot,643.0150146484375,805.4658203125,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,clock10-dog3,dot,643.0150146484375,769.3444213867188,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-truck3,elephant9-dog3,dot,643.0150146484375,761.1373291015625,0,1
resnet50,cat4-dog3,cat4,dog3,cat4-oven1,cat5-dog3,dot,627.255126953125,724.723388671875,0,1
