Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,cat5-bear2,dot,751.022705078125,649.3419189453125,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,cat3-bear2,dot,751.022705078125,593.325927734375,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,oven6-bear2,dot,751.022705078125,744.1334228515625,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,oven3-bear2,dot,751.022705078125,650.0792236328125,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,oven9-bear2,dot,751.022705078125,659.602294921875,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,chair2-bear2,dot,751.022705078125,828.93408203125,0,1
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,truck7-bear2,dot,751.022705078125,775.158203125,0,1
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,truck6-bear2,dot,751.022705078125,744.4469604492188,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,bird10-bear2,dot,751.022705078125,727.3715209960938,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,airplane5-bear2,dot,751.022705078125,752.0289916992188,0,1
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,bicycle8-bear2,dot,751.022705078125,838.3373413085938,0,1
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,bicycle7-bear2,dot,751.022705078125,698.339599609375,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,bottle3-bear2,dot,751.022705078125,651.7905883789062,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,bottle10-bear2,dot,751.022705078125,713.1419067382812,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,bottle6-bear2,dot,751.022705078125,747.19091796875,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,keyboard6-bear2,dot,751.022705078125,690.8255004882812,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,keyboard1-bear2,dot,751.022705078125,736.953125,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,keyboard7-bear2,dot,751.022705078125,757.1661987304688,0,1
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,keyboard9-bear2,dot,751.022705078125,657.9708862304688,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,clock7-bear2,dot,751.022705078125,721.5177001953125,1,0
resnet50,chair4-bear2,chair4,bear2,chair4-cat2,clock2-bear2,dot,751.022705078125,637.0523071289062,1,0
