Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,cat7-truck2,dot,653.3504638671875,643.522216796875,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,dog5-truck2,dot,653.3504638671875,618.3309326171875,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,dog4-truck2,dot,653.3504638671875,680.6387939453125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,dog3-truck2,dot,653.3504638671875,728.0675659179688,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,dog10-truck2,dot,653.3504638671875,733.2784423828125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,dog6-truck2,dot,653.3504638671875,728.682861328125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,boat8-truck2,dot,653.3504638671875,688.48193359375,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,boat7-truck2,dot,653.3504638671875,616.0936279296875,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,oven10-truck2,dot,653.3504638671875,609.4902954101562,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,chair6-truck2,dot,653.3504638671875,688.25390625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,bird6-truck2,dot,653.3504638671875,856.0035400390625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,bird7-truck2,dot,653.3504638671875,765.3630981445312,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,bird5-truck2,dot,653.3504638671875,711.7470703125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,airplane4-truck2,dot,653.3504638671875,781.0625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,bottle7-truck2,dot,653.3504638671875,690.759765625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,keyboard7-truck2,dot,653.3504638671875,663.5802001953125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,clock8-truck2,dot,653.3504638671875,630.807861328125,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,clock10-truck2,dot,653.3504638671875,718.8863525390625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,knife1-truck2,dot,653.3504638671875,657.74658203125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,knife2-truck2,dot,653.3504638671875,733.9895629882812,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-cat2,elephant2-truck2,dot,653.3504638671875,767.1640014648438,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,cat7-truck2,dot,692.8111572265625,643.522216796875,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,dog5-truck2,dot,692.8111572265625,618.3309326171875,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,dog4-truck2,dot,692.8111572265625,680.6387939453125,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,dog3-truck2,dot,692.8111572265625,728.0675659179688,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,dog10-truck2,dot,692.8111572265625,733.2784423828125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,dog6-truck2,dot,692.8111572265625,728.682861328125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,boat8-truck2,dot,692.8111572265625,688.48193359375,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,boat7-truck2,dot,692.8111572265625,616.0936279296875,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,oven10-truck2,dot,692.8111572265625,609.4902954101562,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,chair6-truck2,dot,692.8111572265625,688.25390625,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,bird6-truck2,dot,692.8111572265625,856.0035400390625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,bird7-truck2,dot,692.8111572265625,765.3630981445312,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,bird5-truck2,dot,692.8111572265625,711.7470703125,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,airplane4-truck2,dot,692.8111572265625,781.0625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,bottle7-truck2,dot,692.8111572265625,690.759765625,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,keyboard7-truck2,dot,692.8111572265625,663.5802001953125,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,clock8-truck2,dot,692.8111572265625,630.807861328125,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,clock10-truck2,dot,692.8111572265625,718.8863525390625,0,1
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,knife1-truck2,dot,692.8111572265625,657.74658203125,1,0
resnet50,chair4-truck2,chair4,truck2,chair4-bear2,knife2-truck2,dot,692.8111572265625,733.9895629882812,0,1
