Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,cat7-knife2,dot,503.80780029296875,586.7342529296875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,cat5-knife2,dot,503.80780029296875,550.2869873046875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,cat9-knife2,dot,503.80780029296875,521.3460693359375,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,car8-knife2,dot,503.80780029296875,678.7296142578125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,car5-knife2,dot,503.80780029296875,605.2926025390625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,dog5-knife2,dot,503.80780029296875,637.6866455078125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,bear9-knife2,dot,503.80780029296875,623.0045166015625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,bear2-knife2,dot,503.80780029296875,517.445556640625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,bear10-knife2,dot,503.80780029296875,579.8538818359375,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,boat6-knife2,dot,503.80780029296875,624.0170288085938,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,boat9-knife2,dot,503.80780029296875,505.4345397949219,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,boat4-knife2,dot,503.80780029296875,630.6036376953125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,boat5-knife2,dot,503.80780029296875,616.233154296875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,oven4-knife2,dot,503.80780029296875,623.3267822265625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,oven8-knife2,dot,503.80780029296875,623.8663330078125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,chair7-knife2,dot,503.80780029296875,623.815185546875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,chair8-knife2,dot,503.80780029296875,508.5788269042969,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,truck3-knife2,dot,503.80780029296875,551.6459350585938,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,truck6-knife2,dot,503.80780029296875,491.41644287109375,1,0
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,bird8-knife2,dot,503.80780029296875,632.66015625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,bird7-knife2,dot,503.80780029296875,638.228759765625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,bicycle2-knife2,dot,503.80780029296875,672.7314453125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,bicycle7-knife2,dot,503.80780029296875,657.2152099609375,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,keyboard5-knife2,dot,503.80780029296875,487.48114013671875,1,0
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,keyboard4-knife2,dot,503.80780029296875,553.0151977539062,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,keyboard6-knife2,dot,503.80780029296875,543.542724609375,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,elephant6-knife2,dot,503.80780029296875,602.881103515625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,elephant8-knife2,dot,503.80780029296875,508.9464111328125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-bottle1,elephant7-knife2,dot,503.80780029296875,585.970458984375,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,cat7-knife2,dot,527.10693359375,586.7342529296875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,cat5-knife2,dot,527.10693359375,550.2869873046875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,cat9-knife2,dot,527.10693359375,521.3460693359375,1,0
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,car8-knife2,dot,527.10693359375,678.7296142578125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,car5-knife2,dot,527.10693359375,605.2926025390625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,dog5-knife2,dot,527.10693359375,637.6866455078125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,bear9-knife2,dot,527.10693359375,623.0045166015625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,bear2-knife2,dot,527.10693359375,517.445556640625,1,0
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,bear10-knife2,dot,527.10693359375,579.8538818359375,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,boat6-knife2,dot,527.10693359375,624.0170288085938,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,boat9-knife2,dot,527.10693359375,505.4345397949219,1,0
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,boat4-knife2,dot,527.10693359375,630.6036376953125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,boat5-knife2,dot,527.10693359375,616.233154296875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,oven4-knife2,dot,527.10693359375,623.3267822265625,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,oven8-knife2,dot,527.10693359375,623.8663330078125,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,chair7-knife2,dot,527.10693359375,623.815185546875,0,1
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,chair8-knife2,dot,527.10693359375,508.5788269042969,1,0
resnet50,clock6-knife2,clock6,knife2,clock6-chair3,truck3-knife2,dot,527.10693359375,551.6459350585938,0,1
