Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,cat4-truck3,dot,448.060302734375,725.7279663085938,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,cat3-truck3,dot,448.060302734375,733.7058715820312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,cat2-truck3,dot,448.060302734375,720.1109008789062,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,car6-truck3,dot,448.060302734375,647.2410888671875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,car9-truck3,dot,448.060302734375,629.4690551757812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,car5-truck3,dot,448.060302734375,554.05712890625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,car8-truck3,dot,448.060302734375,671.1758422851562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bear8-truck3,dot,448.060302734375,701.3072509765625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bear4-truck3,dot,448.060302734375,693.4654541015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bear3-truck3,dot,448.060302734375,704.8408203125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,boat1-truck3,dot,448.060302734375,621.0095825195312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,boat6-truck3,dot,448.060302734375,756.4163208007812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,oven2-truck3,dot,448.060302734375,650.6074829101562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,oven4-truck3,dot,448.060302734375,669.1251220703125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,chair5-truck3,dot,448.060302734375,570.79052734375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,chair7-truck3,dot,448.060302734375,731.0296630859375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,chair1-truck3,dot,448.060302734375,657.2072143554688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bird3-truck3,dot,448.060302734375,609.3658447265625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,airplane8-truck3,dot,448.060302734375,643.7100830078125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bicycle3-truck3,dot,448.060302734375,633.3826904296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bicycle4-truck3,dot,448.060302734375,690.170166015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bicycle7-truck3,dot,448.060302734375,606.262939453125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,bottle10-truck3,dot,448.060302734375,587.9845581054688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,keyboard9-truck3,dot,448.060302734375,682.4391479492188,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,keyboard4-truck3,dot,448.060302734375,598.4893798828125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,keyboard8-truck3,dot,448.060302734375,636.673583984375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,clock7-truck3,dot,448.060302734375,697.920654296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,clock1-truck3,dot,448.060302734375,591.5801391601562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,knife5-truck3,dot,448.060302734375,657.1717529296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,knife8-truck3,dot,448.060302734375,684.4026489257812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,elephant8-truck3,dot,448.060302734375,643.8761596679688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bottle1,elephant6-truck3,dot,448.060302734375,680.7000732421875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,cat4-truck3,dot,543.5553588867188,725.7279663085938,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,cat3-truck3,dot,543.5553588867188,733.7058715820312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,cat2-truck3,dot,543.5553588867188,720.1109008789062,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,car6-truck3,dot,543.5553588867188,647.2410888671875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,car9-truck3,dot,543.5553588867188,629.4690551757812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,car5-truck3,dot,543.5553588867188,554.05712890625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,car8-truck3,dot,543.5553588867188,671.1758422851562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bear8-truck3,dot,543.5553588867188,701.3072509765625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bear4-truck3,dot,543.5553588867188,693.4654541015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bear3-truck3,dot,543.5553588867188,704.8408203125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,boat1-truck3,dot,543.5553588867188,621.0095825195312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,boat6-truck3,dot,543.5553588867188,756.4163208007812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,oven2-truck3,dot,543.5553588867188,650.6074829101562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,oven4-truck3,dot,543.5553588867188,669.1251220703125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,chair5-truck3,dot,543.5553588867188,570.79052734375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,chair7-truck3,dot,543.5553588867188,731.0296630859375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,chair1-truck3,dot,543.5553588867188,657.2072143554688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bird3-truck3,dot,543.5553588867188,609.3658447265625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,airplane8-truck3,dot,543.5553588867188,643.7100830078125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bicycle3-truck3,dot,543.5553588867188,633.3826904296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bicycle4-truck3,dot,543.5553588867188,690.170166015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bicycle7-truck3,dot,543.5553588867188,606.262939453125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,bottle10-truck3,dot,543.5553588867188,587.9845581054688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,keyboard9-truck3,dot,543.5553588867188,682.4391479492188,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,keyboard4-truck3,dot,543.5553588867188,598.4893798828125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,keyboard8-truck3,dot,543.5553588867188,636.673583984375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,clock7-truck3,dot,543.5553588867188,697.920654296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,clock1-truck3,dot,543.5553588867188,591.5801391601562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,knife5-truck3,dot,543.5553588867188,657.1717529296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,knife8-truck3,dot,543.5553588867188,684.4026489257812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,elephant8-truck3,dot,543.5553588867188,643.8761596679688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-chair3,elephant6-truck3,dot,543.5553588867188,680.7000732421875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,cat4-truck3,dot,444.2435607910156,725.7279663085938,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,cat3-truck3,dot,444.2435607910156,733.7058715820312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,cat2-truck3,dot,444.2435607910156,720.1109008789062,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,car6-truck3,dot,444.2435607910156,647.2410888671875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,car9-truck3,dot,444.2435607910156,629.4690551757812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,car5-truck3,dot,444.2435607910156,554.05712890625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,car8-truck3,dot,444.2435607910156,671.1758422851562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bear8-truck3,dot,444.2435607910156,701.3072509765625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bear4-truck3,dot,444.2435607910156,693.4654541015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bear3-truck3,dot,444.2435607910156,704.8408203125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,boat1-truck3,dot,444.2435607910156,621.0095825195312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,boat6-truck3,dot,444.2435607910156,756.4163208007812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,oven2-truck3,dot,444.2435607910156,650.6074829101562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,oven4-truck3,dot,444.2435607910156,669.1251220703125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,chair5-truck3,dot,444.2435607910156,570.79052734375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,chair7-truck3,dot,444.2435607910156,731.0296630859375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,chair1-truck3,dot,444.2435607910156,657.2072143554688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bird3-truck3,dot,444.2435607910156,609.3658447265625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,airplane8-truck3,dot,444.2435607910156,643.7100830078125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bicycle3-truck3,dot,444.2435607910156,633.3826904296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bicycle4-truck3,dot,444.2435607910156,690.170166015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bicycle7-truck3,dot,444.2435607910156,606.262939453125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,bottle10-truck3,dot,444.2435607910156,587.9845581054688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,keyboard9-truck3,dot,444.2435607910156,682.4391479492188,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,keyboard4-truck3,dot,444.2435607910156,598.4893798828125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,keyboard8-truck3,dot,444.2435607910156,636.673583984375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,clock7-truck3,dot,444.2435607910156,697.920654296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,clock1-truck3,dot,444.2435607910156,591.5801391601562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,knife5-truck3,dot,444.2435607910156,657.1717529296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,knife8-truck3,dot,444.2435607910156,684.4026489257812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,elephant8-truck3,dot,444.2435607910156,643.8761596679688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bicycle1,elephant6-truck3,dot,444.2435607910156,680.7000732421875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,cat4-truck3,dot,574.219970703125,725.7279663085938,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,cat3-truck3,dot,574.219970703125,733.7058715820312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,cat2-truck3,dot,574.219970703125,720.1109008789062,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,car6-truck3,dot,574.219970703125,647.2410888671875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,car9-truck3,dot,574.219970703125,629.4690551757812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,car5-truck3,dot,574.219970703125,554.05712890625,1,0
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,car8-truck3,dot,574.219970703125,671.1758422851562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bear8-truck3,dot,574.219970703125,701.3072509765625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bear4-truck3,dot,574.219970703125,693.4654541015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bear3-truck3,dot,574.219970703125,704.8408203125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,boat1-truck3,dot,574.219970703125,621.0095825195312,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,boat6-truck3,dot,574.219970703125,756.4163208007812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,oven2-truck3,dot,574.219970703125,650.6074829101562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,oven4-truck3,dot,574.219970703125,669.1251220703125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,chair5-truck3,dot,574.219970703125,570.79052734375,1,0
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,chair7-truck3,dot,574.219970703125,731.0296630859375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,chair1-truck3,dot,574.219970703125,657.2072143554688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bird3-truck3,dot,574.219970703125,609.3658447265625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,airplane8-truck3,dot,574.219970703125,643.7100830078125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bicycle3-truck3,dot,574.219970703125,633.3826904296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bicycle4-truck3,dot,574.219970703125,690.170166015625,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bicycle7-truck3,dot,574.219970703125,606.262939453125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,bottle10-truck3,dot,574.219970703125,587.9845581054688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,keyboard9-truck3,dot,574.219970703125,682.4391479492188,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,keyboard4-truck3,dot,574.219970703125,598.4893798828125,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,keyboard8-truck3,dot,574.219970703125,636.673583984375,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,clock7-truck3,dot,574.219970703125,697.920654296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,clock1-truck3,dot,574.219970703125,591.5801391601562,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,knife5-truck3,dot,574.219970703125,657.1717529296875,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,knife8-truck3,dot,574.219970703125,684.4026489257812,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,elephant8-truck3,dot,574.219970703125,643.8761596679688,0,1
resnet50,clock6-truck3,clock6,truck3,clock6-bird3,elephant6-truck3,dot,574.219970703125,680.7000732421875,0,1
