Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,car5-cat1,dot,485.25030517578125,771.5517578125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,car9-cat1,dot,485.25030517578125,911.286865234375,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,car8-cat1,dot,485.25030517578125,883.8211669921875,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,dog2-cat1,dot,485.25030517578125,753.63525390625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,dog6-cat1,dot,485.25030517578125,844.6469116210938,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bear3-cat1,dot,485.25030517578125,801.103759765625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,boat6-cat1,dot,485.25030517578125,800.53173828125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,boat10-cat1,dot,485.25030517578125,833.2897338867188,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,oven7-cat1,dot,485.25030517578125,845.8853149414062,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,oven1-cat1,dot,485.25030517578125,811.0578002929688,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,chair10-cat1,dot,485.25030517578125,833.9840087890625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,chair7-cat1,dot,485.25030517578125,725.2781982421875,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,truck1-cat1,dot,485.25030517578125,734.0538330078125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,truck3-cat1,dot,485.25030517578125,833.7265625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bird10-cat1,dot,485.25030517578125,787.6041259765625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bird3-cat1,dot,485.25030517578125,760.4762573242188,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,airplane3-cat1,dot,485.25030517578125,819.9563598632812,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,airplane2-cat1,dot,485.25030517578125,931.690673828125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle4-cat1,dot,485.25030517578125,639.7896118164062,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle5-cat1,dot,485.25030517578125,854.3218383789062,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle7-cat1,dot,485.25030517578125,741.165771484375,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle6-cat1,dot,485.25030517578125,761.1639404296875,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,bottle5-cat1,dot,485.25030517578125,841.8923950195312,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,keyboard5-cat1,dot,485.25030517578125,774.80078125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,keyboard3-cat1,dot,485.25030517578125,751.7537841796875,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,keyboard9-cat1,dot,485.25030517578125,719.5455322265625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,clock3-cat1,dot,485.25030517578125,687.2516479492188,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,clock9-cat1,dot,485.25030517578125,712.006103515625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,clock8-cat1,dot,485.25030517578125,715.4378051757812,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,clock10-cat1,dot,485.25030517578125,784.656494140625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,knife3-cat1,dot,485.25030517578125,775.9805908203125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,elephant7-cat1,dot,485.25030517578125,833.3980712890625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,elephant8-cat1,dot,485.25030517578125,796.36083984375,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-airplane3,elephant2-cat1,dot,485.25030517578125,828.6632690429688,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,car5-cat1,dot,560.06982421875,771.5517578125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,car9-cat1,dot,560.06982421875,911.286865234375,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,car8-cat1,dot,560.06982421875,883.8211669921875,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,dog2-cat1,dot,560.06982421875,753.63525390625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,dog6-cat1,dot,560.06982421875,844.6469116210938,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,bear3-cat1,dot,560.06982421875,801.103759765625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,boat6-cat1,dot,560.06982421875,800.53173828125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,boat10-cat1,dot,560.06982421875,833.2897338867188,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,oven7-cat1,dot,560.06982421875,845.8853149414062,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,oven1-cat1,dot,560.06982421875,811.0578002929688,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,chair10-cat1,dot,560.06982421875,833.9840087890625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,chair7-cat1,dot,560.06982421875,725.2781982421875,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,truck1-cat1,dot,560.06982421875,734.0538330078125,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,truck3-cat1,dot,560.06982421875,833.7265625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,bird10-cat1,dot,560.06982421875,787.6041259765625,0,1
resnet50,dog9-cat1,dog9,cat1,dog9-bottle1,bird3-cat1,dot,560.06982421875,760.4762573242188,0,1
