Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,cat10-keyboard1,dot,729.6387939453125,823.117919921875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,dog3-keyboard1,dot,729.6387939453125,736.0325927734375,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,boat2-keyboard1,dot,729.6387939453125,836.04736328125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven9-keyboard1,dot,729.6387939453125,746.8223876953125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven7-keyboard1,dot,729.6387939453125,746.9522705078125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck5-keyboard1,dot,729.6387939453125,781.6483154296875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck2-keyboard1,dot,729.6387939453125,772.9295654296875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bird9-keyboard1,dot,729.6387939453125,889.3089599609375,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,airplane7-keyboard1,dot,729.6387939453125,735.6458129882812,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bicycle3-keyboard1,dot,729.6387939453125,750.4766845703125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bottle9-keyboard1,dot,729.6387939453125,722.549560546875,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock8-keyboard1,dot,729.6387939453125,624.6842651367188,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock5-keyboard1,dot,729.6387939453125,727.5308837890625,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,knife4-keyboard1,dot,729.6387939453125,812.1453857421875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,cat10-keyboard1,dot,546.4246826171875,823.117919921875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,dog3-keyboard1,dot,546.4246826171875,736.0325927734375,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,boat2-keyboard1,dot,546.4246826171875,836.04736328125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven9-keyboard1,dot,546.4246826171875,746.8223876953125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven7-keyboard1,dot,546.4246826171875,746.9522705078125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck5-keyboard1,dot,546.4246826171875,781.6483154296875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck2-keyboard1,dot,546.4246826171875,772.9295654296875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bird9-keyboard1,dot,546.4246826171875,889.3089599609375,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,airplane7-keyboard1,dot,546.4246826171875,735.6458129882812,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bicycle3-keyboard1,dot,546.4246826171875,750.4766845703125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bottle9-keyboard1,dot,546.4246826171875,722.549560546875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock8-keyboard1,dot,546.4246826171875,624.6842651367188,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock5-keyboard1,dot,546.4246826171875,727.5308837890625,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,knife4-keyboard1,dot,546.4246826171875,812.1453857421875,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,cat10-keyboard1,cos,0.7259089946746826,0.816869854927063,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,dog3-keyboard1,cos,0.7259089946746826,0.7229980230331421,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,boat2-keyboard1,cos,0.7259089946746826,0.7720970511436462,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven9-keyboard1,cos,0.7259089946746826,0.7705621123313904,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven7-keyboard1,cos,0.7259089946746826,0.7956333160400391,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck5-keyboard1,cos,0.7259089946746826,0.7648440599441528,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck2-keyboard1,cos,0.7259089946746826,0.7528670430183411,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bird9-keyboard1,cos,0.7259089946746826,0.764117956161499,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,airplane7-keyboard1,cos,0.7259089946746826,0.7592349052429199,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bicycle3-keyboard1,cos,0.7259089946746826,0.6949977874755859,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bottle9-keyboard1,cos,0.7259089946746826,0.7484298944473267,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock8-keyboard1,cos,0.7259089946746826,0.7147389650344849,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock5-keyboard1,cos,0.7259089946746826,0.7714662551879883,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,knife4-keyboard1,cos,0.7259089946746826,0.6958416104316711,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,cat10-keyboard1,cos,0.5497665405273438,0.816869854927063,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,dog3-keyboard1,cos,0.5497665405273438,0.7229980230331421,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,boat2-keyboard1,cos,0.5497665405273438,0.7720970511436462,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven9-keyboard1,cos,0.5497665405273438,0.7705621123313904,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven7-keyboard1,cos,0.5497665405273438,0.7956333160400391,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck5-keyboard1,cos,0.5497665405273438,0.7648440599441528,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck2-keyboard1,cos,0.5497665405273438,0.7528670430183411,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bird9-keyboard1,cos,0.5497665405273438,0.764117956161499,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,airplane7-keyboard1,cos,0.5497665405273438,0.7592349052429199,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bicycle3-keyboard1,cos,0.5497665405273438,0.6949977874755859,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bottle9-keyboard1,cos,0.5497665405273438,0.7484298944473267,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock8-keyboard1,cos,0.5497665405273438,0.7147389650344849,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock5-keyboard1,cos,0.5497665405273438,0.7714662551879883,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,knife4-keyboard1,cos,0.5497665405273438,0.6958416104316711,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,cat10-keyboard1,ed,23.59713363647461,19.352664947509766,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,dog3-keyboard1,ed,23.59713363647461,23.83445167541504,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,boat2-keyboard1,ed,23.59713363647461,22.216262817382812,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven9-keyboard1,ed,23.59713363647461,21.378141403198242,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven7-keyboard1,ed,23.59713363647461,20.083038330078125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck5-keyboard1,ed,23.59713363647461,22.00603485107422,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck2-keyboard1,ed,23.59713363647461,22.59506607055664,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bird9-keyboard1,ed,23.59713363647461,23.555057525634766,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,airplane7-keyboard1,ed,23.59713363647461,21.88404083251953,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bicycle3-keyboard1,ed,23.59713363647461,25.665536880493164,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bottle9-keyboard1,ed,23.59713363647461,22.334827423095703,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock8-keyboard1,ed,23.59713363647461,23.22801971435547,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock5-keyboard1,ed,23.59713363647461,21.201860427856445,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,knife4-keyboard1,ed,23.59713363647461,26.763179779052734,1,0
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,cat10-keyboard1,ed,30.04296112060547,19.352664947509766,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,dog3-keyboard1,ed,30.04296112060547,23.83445167541504,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,boat2-keyboard1,ed,30.04296112060547,22.216262817382812,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven9-keyboard1,ed,30.04296112060547,21.378141403198242,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven7-keyboard1,ed,30.04296112060547,20.083038330078125,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck5-keyboard1,ed,30.04296112060547,22.00603485107422,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck2-keyboard1,ed,30.04296112060547,22.59506607055664,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bird9-keyboard1,ed,30.04296112060547,23.555057525634766,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,airplane7-keyboard1,ed,30.04296112060547,21.88404083251953,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bicycle3-keyboard1,ed,30.04296112060547,25.665536880493164,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bottle9-keyboard1,ed,30.04296112060547,22.334827423095703,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock8-keyboard1,ed,30.04296112060547,23.22801971435547,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock5-keyboard1,ed,30.04296112060547,21.201860427856445,0,1
resnet50,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,knife4-keyboard1,ed,30.04296112060547,26.763179779052734,0,1
