Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,car5-cat1,dot,511.33331298828125,736.5770263671875,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,car9-cat1,dot,511.33331298828125,848.36328125,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,car8-cat1,dot,511.33331298828125,807.2601318359375,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,dog2-cat1,dot,511.33331298828125,703.1876220703125,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,dog9-cat1,dot,511.33331298828125,774.80078125,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,dog6-cat1,dot,511.33331298828125,733.6385498046875,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,bear3-cat1,dot,511.33331298828125,752.2484741210938,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,boat6-cat1,dot,511.33331298828125,744.5301513671875,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,boat10-cat1,dot,511.33331298828125,794.5814208984375,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,oven7-cat1,dot,511.33331298828125,798.2898559570312,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,oven1-cat1,dot,511.33331298828125,793.6832885742188,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,chair10-cat1,dot,511.33331298828125,747.86767578125,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,chair7-cat1,dot,511.33331298828125,732.2913818359375,0,1
resnet50,keyboard5-cat1,keyboard5,cat1,keyboard5-knife2,truck1-cat1,dot,511.33331298828125,740.325439453125,0,1
