Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird6-truck2,bird6,truck2,bird6-car3,cat7-truck2,dot,902.9117431640625,897.7109375,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,dog5-truck2,dot,902.9117431640625,853.0214233398438,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,dog4-truck2,dot,902.9117431640625,816.7861328125,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,dog3-truck2,dot,902.9117431640625,901.7982177734375,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,dog10-truck2,dot,902.9117431640625,944.842529296875,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,dog6-truck2,dot,902.9117431640625,990.96923828125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,boat8-truck2,dot,902.9117431640625,941.2579345703125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,boat7-truck2,dot,902.9117431640625,824.4029541015625,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,oven10-truck2,dot,902.9117431640625,823.146484375,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,chair4-truck2,dot,902.9117431640625,804.5858764648438,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,chair6-truck2,dot,902.9117431640625,859.8984375,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,bird7-truck2,dot,902.9117431640625,1001.9960327148438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,bird5-truck2,dot,902.9117431640625,966.2575073242188,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,airplane4-truck2,dot,902.9117431640625,932.7843017578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,bottle7-truck2,dot,902.9117431640625,913.9171142578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,keyboard7-truck2,dot,902.9117431640625,950.7183227539062,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,clock8-truck2,dot,902.9117431640625,804.4277954101562,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,clock10-truck2,dot,902.9117431640625,896.1778564453125,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,knife1-truck2,dot,902.9117431640625,869.0634765625,1,0
resnet50,bird6-truck2,bird6,truck2,bird6-car3,knife2-truck2,dot,902.9117431640625,1058.434326171875,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-car3,elephant2-truck2,dot,902.9117431640625,984.98828125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,cat7-truck2,dot,772.6304931640625,897.7109375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,dog5-truck2,dot,772.6304931640625,853.0214233398438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,dog4-truck2,dot,772.6304931640625,816.7861328125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,dog3-truck2,dot,772.6304931640625,901.7982177734375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,dog10-truck2,dot,772.6304931640625,944.842529296875,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,dog6-truck2,dot,772.6304931640625,990.96923828125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,boat8-truck2,dot,772.6304931640625,941.2579345703125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,boat7-truck2,dot,772.6304931640625,824.4029541015625,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,oven10-truck2,dot,772.6304931640625,823.146484375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,chair4-truck2,dot,772.6304931640625,804.5858764648438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,chair6-truck2,dot,772.6304931640625,859.8984375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,bird7-truck2,dot,772.6304931640625,1001.9960327148438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,bird5-truck2,dot,772.6304931640625,966.2575073242188,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,airplane4-truck2,dot,772.6304931640625,932.7843017578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,bottle7-truck2,dot,772.6304931640625,913.9171142578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,keyboard7-truck2,dot,772.6304931640625,950.7183227539062,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,clock8-truck2,dot,772.6304931640625,804.4277954101562,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,clock10-truck2,dot,772.6304931640625,896.1778564453125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,knife1-truck2,dot,772.6304931640625,869.0634765625,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,knife2-truck2,dot,772.6304931640625,1058.434326171875,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-oven1,elephant2-truck2,dot,772.6304931640625,984.98828125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,cat7-truck2,dot,634.3448486328125,897.7109375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,dog5-truck2,dot,634.3448486328125,853.0214233398438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,dog4-truck2,dot,634.3448486328125,816.7861328125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,dog3-truck2,dot,634.3448486328125,901.7982177734375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,dog10-truck2,dot,634.3448486328125,944.842529296875,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,dog6-truck2,dot,634.3448486328125,990.96923828125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,boat8-truck2,dot,634.3448486328125,941.2579345703125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,boat7-truck2,dot,634.3448486328125,824.4029541015625,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,oven10-truck2,dot,634.3448486328125,823.146484375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,chair4-truck2,dot,634.3448486328125,804.5858764648438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,chair6-truck2,dot,634.3448486328125,859.8984375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,bird7-truck2,dot,634.3448486328125,1001.9960327148438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,bird5-truck2,dot,634.3448486328125,966.2575073242188,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,airplane4-truck2,dot,634.3448486328125,932.7843017578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,bottle7-truck2,dot,634.3448486328125,913.9171142578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,keyboard7-truck2,dot,634.3448486328125,950.7183227539062,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,clock8-truck2,dot,634.3448486328125,804.4277954101562,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,clock10-truck2,dot,634.3448486328125,896.1778564453125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,knife1-truck2,dot,634.3448486328125,869.0634765625,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,knife2-truck2,dot,634.3448486328125,1058.434326171875,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-elephant2,elephant2-truck2,dot,634.3448486328125,984.98828125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,cat7-truck2,dot,735.1219482421875,897.7109375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,dog5-truck2,dot,735.1219482421875,853.0214233398438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,dog4-truck2,dot,735.1219482421875,816.7861328125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,dog3-truck2,dot,735.1219482421875,901.7982177734375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,dog10-truck2,dot,735.1219482421875,944.842529296875,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,dog6-truck2,dot,735.1219482421875,990.96923828125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,boat8-truck2,dot,735.1219482421875,941.2579345703125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,boat7-truck2,dot,735.1219482421875,824.4029541015625,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,oven10-truck2,dot,735.1219482421875,823.146484375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,chair4-truck2,dot,735.1219482421875,804.5858764648438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,chair6-truck2,dot,735.1219482421875,859.8984375,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,bird7-truck2,dot,735.1219482421875,1001.9960327148438,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,bird5-truck2,dot,735.1219482421875,966.2575073242188,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,airplane4-truck2,dot,735.1219482421875,932.7843017578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,bottle7-truck2,dot,735.1219482421875,913.9171142578125,0,1
resnet50,bird6-truck2,bird6,truck2,bird6-airplane2,keyboard7-truck2,dot,735.1219482421875,950.7183227539062,0,1
