Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,cat7-knife2,dot,603.8241577148438,655.7698974609375,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,cat5-knife2,dot,603.8241577148438,598.010986328125,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,cat9-knife2,dot,603.8241577148438,539.7506103515625,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,car8-knife2,dot,603.8241577148438,772.7617797851562,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,car5-knife2,dot,603.8241577148438,595.0811767578125,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,dog5-knife2,dot,603.8241577148438,716.9415283203125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,bear9-knife2,dot,603.8241577148438,711.3123779296875,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,bear2-knife2,dot,603.8241577148438,550.9256591796875,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,bear10-knife2,dot,603.8241577148438,622.69384765625,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,boat6-knife2,dot,603.8241577148438,566.6190185546875,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,boat9-knife2,dot,603.8241577148438,508.8414306640625,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,boat5-knife2,dot,603.8241577148438,583.529052734375,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,oven4-knife2,dot,603.8241577148438,658.4620361328125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,oven8-knife2,dot,603.8241577148438,648.3614501953125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,chair7-knife2,dot,603.8241577148438,628.1414794921875,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,chair8-knife2,dot,603.8241577148438,492.5462646484375,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,truck3-knife2,dot,603.8241577148438,625.4647827148438,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,truck6-knife2,dot,603.8241577148438,481.3547058105469,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,bird8-knife2,dot,603.8241577148438,636.5137939453125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,bird7-knife2,dot,603.8241577148438,727.23486328125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,bicycle2-knife2,dot,603.8241577148438,643.8675537109375,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,bicycle7-knife2,dot,603.8241577148438,608.1175537109375,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,keyboard5-knife2,dot,603.8241577148438,581.6905517578125,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,keyboard4-knife2,dot,603.8241577148438,595.5928344726562,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,keyboard6-knife2,dot,603.8241577148438,611.3052978515625,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,clock6-knife2,dot,603.8241577148438,584.909423828125,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,elephant6-knife2,dot,603.8241577148438,663.105712890625,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,elephant8-knife2,dot,603.8241577148438,557.2388916015625,1,0
resnet50,boat4-knife2,boat4,knife2,boat4-bicycle3,elephant7-knife2,dot,603.8241577148438,603.9869384765625,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,cat7-knife2,dot,476.05242919921875,655.7698974609375,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,cat5-knife2,dot,476.05242919921875,598.010986328125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,cat9-knife2,dot,476.05242919921875,539.7506103515625,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,car8-knife2,dot,476.05242919921875,772.7617797851562,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,car5-knife2,dot,476.05242919921875,595.0811767578125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,dog5-knife2,dot,476.05242919921875,716.9415283203125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,bear9-knife2,dot,476.05242919921875,711.3123779296875,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,bear2-knife2,dot,476.05242919921875,550.9256591796875,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,bear10-knife2,dot,476.05242919921875,622.69384765625,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,boat6-knife2,dot,476.05242919921875,566.6190185546875,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,boat9-knife2,dot,476.05242919921875,508.8414306640625,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,boat5-knife2,dot,476.05242919921875,583.529052734375,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,oven4-knife2,dot,476.05242919921875,658.4620361328125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,oven8-knife2,dot,476.05242919921875,648.3614501953125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,chair7-knife2,dot,476.05242919921875,628.1414794921875,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,chair8-knife2,dot,476.05242919921875,492.5462646484375,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,truck3-knife2,dot,476.05242919921875,625.4647827148438,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,truck6-knife2,dot,476.05242919921875,481.3547058105469,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,bird8-knife2,dot,476.05242919921875,636.5137939453125,0,1
resnet50,boat4-knife2,boat4,knife2,boat4-elephant2,bird7-knife2,dot,476.05242919921875,727.23486328125,0,1
