Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,cat1-bird1,dot,588.3975830078125,666.4747924804688,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,car9-bird1,dot,588.3975830078125,647.057373046875,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,car4-bird1,dot,588.3975830078125,607.3372192382812,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,dog4-bird1,dot,588.3975830078125,672.0806274414062,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,dog1-bird1,dot,588.3975830078125,603.4142456054688,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,dog6-bird1,dot,588.3975830078125,630.3599243164062,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,bear5-bird1,dot,588.3975830078125,599.936767578125,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,boat2-bird1,dot,588.3975830078125,618.4261474609375,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,boat4-bird1,dot,588.3975830078125,517.72265625,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,boat9-bird1,dot,588.3975830078125,560.1312255859375,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,oven6-bird1,dot,588.3975830078125,618.7347412109375,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,oven5-bird1,dot,588.3975830078125,723.0580444335938,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,chair5-bird1,dot,588.3975830078125,666.8704223632812,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,chair7-bird1,dot,588.3975830078125,659.377685546875,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,truck1-bird1,dot,588.3975830078125,571.4720458984375,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,airplane8-bird1,dot,588.3975830078125,539.3648681640625,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,bicycle3-bird1,dot,588.3975830078125,517.0726318359375,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,bicycle1-bird1,dot,588.3975830078125,495.96075439453125,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,bottle8-bird1,dot,588.3975830078125,708.6385498046875,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,bottle6-bird1,dot,588.3975830078125,662.0538330078125,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,keyboard9-bird1,dot,588.3975830078125,638.4078369140625,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,keyboard4-bird1,dot,588.3975830078125,678.1376953125,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,clock3-bird1,dot,588.3975830078125,414.6472473144531,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,knife6-bird1,dot,588.3975830078125,501.09075927734375,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,knife9-bird1,dot,588.3975830078125,622.1524658203125,0,1
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,knife2-bird1,dot,588.3975830078125,554.3670654296875,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,elephant6-bird1,dot,588.3975830078125,471.1055908203125,1,0
resnet50,bottle3-bird1,bottle3,bird1,bottle3-boat3,elephant7-bird1,dot,588.3975830078125,618.194091796875,0,1
