Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,cat7-boat3,dot,703.5535888671875,600.6964111328125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,car8-boat3,dot,703.5535888671875,652.5109252929688,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,car7-boat3,dot,703.5535888671875,548.056884765625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,dog8-boat3,dot,703.5535888671875,529.873779296875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,dog5-boat3,dot,703.5535888671875,617.5601806640625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,dog1-boat3,dot,703.5535888671875,605.8582763671875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bear6-boat3,dot,703.5535888671875,621.866455078125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,oven1-boat3,dot,703.5535888671875,542.767822265625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,oven3-boat3,dot,703.5535888671875,529.41357421875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,oven2-boat3,dot,703.5535888671875,564.635986328125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,chair5-boat3,dot,703.5535888671875,592.1769409179688,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,chair7-boat3,dot,703.5535888671875,575.1224975585938,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,truck4-boat3,dot,703.5535888671875,551.5836791992188,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,truck9-boat3,dot,703.5535888671875,516.3922119140625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,truck2-boat3,dot,703.5535888671875,526.9266357421875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bird3-boat3,dot,703.5535888671875,549.9244384765625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bird8-boat3,dot,703.5535888671875,596.6373291015625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,airplane10-boat3,dot,703.5535888671875,621.9503173828125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,airplane5-boat3,dot,703.5535888671875,499.926513671875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,airplane4-boat3,dot,703.5535888671875,590.8145751953125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bicycle10-boat3,dot,703.5535888671875,433.36309814453125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bicycle1-boat3,dot,703.5535888671875,536.673583984375,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bottle3-boat3,dot,703.5535888671875,695.658203125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bottle7-boat3,dot,703.5535888671875,504.8639831542969,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,bottle10-boat3,dot,703.5535888671875,705.3623046875,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,clock7-boat3,dot,703.5535888671875,674.7140502929688,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,clock1-boat3,dot,703.5535888671875,641.1952514648438,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,clock4-boat3,dot,703.5535888671875,630.261474609375,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,knife6-boat3,dot,703.5535888671875,535.2756958007812,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,knife7-boat3,dot,703.5535888671875,589.9064331054688,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,elephant9-boat3,dot,703.5535888671875,563.6600952148438,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-oven3,elephant4-boat3,dot,703.5535888671875,643.239501953125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,cat7-boat3,dot,563.80859375,600.6964111328125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,car8-boat3,dot,563.80859375,652.5109252929688,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,car7-boat3,dot,563.80859375,548.056884765625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,dog8-boat3,dot,563.80859375,529.873779296875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,dog5-boat3,dot,563.80859375,617.5601806640625,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,dog1-boat3,dot,563.80859375,605.8582763671875,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bear6-boat3,dot,563.80859375,621.866455078125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,oven1-boat3,dot,563.80859375,542.767822265625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,oven3-boat3,dot,563.80859375,529.41357421875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,oven2-boat3,dot,563.80859375,564.635986328125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,chair5-boat3,dot,563.80859375,592.1769409179688,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,chair7-boat3,dot,563.80859375,575.1224975585938,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,truck4-boat3,dot,563.80859375,551.5836791992188,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,truck9-boat3,dot,563.80859375,516.3922119140625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,truck2-boat3,dot,563.80859375,526.9266357421875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bird3-boat3,dot,563.80859375,549.9244384765625,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bird8-boat3,dot,563.80859375,596.6373291015625,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,airplane10-boat3,dot,563.80859375,621.9503173828125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,airplane5-boat3,dot,563.80859375,499.926513671875,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,airplane4-boat3,dot,563.80859375,590.8145751953125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bicycle10-boat3,dot,563.80859375,433.36309814453125,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bicycle1-boat3,dot,563.80859375,536.673583984375,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bottle3-boat3,dot,563.80859375,695.658203125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bottle7-boat3,dot,563.80859375,504.8639831542969,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,bottle10-boat3,dot,563.80859375,705.3623046875,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,clock7-boat3,dot,563.80859375,674.7140502929688,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,clock1-boat3,dot,563.80859375,641.1952514648438,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,clock4-boat3,dot,563.80859375,630.261474609375,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,knife6-boat3,dot,563.80859375,535.2756958007812,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,knife7-boat3,dot,563.80859375,589.9064331054688,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,elephant9-boat3,dot,563.80859375,563.6600952148438,1,0
resnet50,bottle6-boat3,bottle6,boat3,bottle6-dog3,elephant4-boat3,dot,563.80859375,643.239501953125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-knife3,cat7-boat3,dot,565.7957763671875,600.6964111328125,0,1
resnet50,bottle6-boat3,bottle6,boat3,bottle6-knife3,car8-boat3,dot,565.7957763671875,652.5109252929688,0,1
