Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,cat3-oven2,dot,520.7223510742188,671.54052734375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,cat10-oven2,dot,520.7223510742188,627.743408203125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,car7-oven2,dot,520.7223510742188,637.446044921875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,car5-oven2,dot,520.7223510742188,560.03564453125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,car4-oven2,dot,520.7223510742188,654.6881103515625,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,dog10-oven2,dot,520.7223510742188,656.751953125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,dog7-oven2,dot,520.7223510742188,641.616943359375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,bear4-oven2,dot,520.7223510742188,619.1082763671875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,chair4-oven2,dot,520.7223510742188,553.4267578125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,chair5-oven2,dot,520.7223510742188,569.1678466796875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,truck7-oven2,dot,520.7223510742188,566.4674072265625,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,truck3-oven2,dot,520.7223510742188,604.9093017578125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,truck4-oven2,dot,520.7223510742188,645.781005859375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,airplane10-oven2,dot,520.7223510742188,620.3059692382812,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,airplane8-oven2,dot,520.7223510742188,665.359130859375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,airplane9-oven2,dot,520.7223510742188,581.072265625,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,bottle5-oven2,dot,520.7223510742188,646.0673828125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,bottle4-oven2,dot,520.7223510742188,767.7315063476562,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,bottle9-oven2,dot,520.7223510742188,782.2724609375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,keyboard4-oven2,dot,520.7223510742188,674.0616455078125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,keyboard5-oven2,dot,520.7223510742188,599.0451049804688,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,keyboard7-oven2,dot,520.7223510742188,578.0469360351562,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,clock10-oven2,dot,520.7223510742188,577.28662109375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,knife4-oven2,dot,520.7223510742188,624.012451171875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,knife5-oven2,dot,520.7223510742188,695.349609375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-elephant2,elephant1-oven2,dot,520.7223510742188,651.138671875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,cat3-oven2,dot,708.7135620117188,671.54052734375,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,cat10-oven2,dot,708.7135620117188,627.743408203125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,car7-oven2,dot,708.7135620117188,637.446044921875,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,car5-oven2,dot,708.7135620117188,560.03564453125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,car4-oven2,dot,708.7135620117188,654.6881103515625,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,dog10-oven2,dot,708.7135620117188,656.751953125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,dog7-oven2,dot,708.7135620117188,641.616943359375,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,bear4-oven2,dot,708.7135620117188,619.1082763671875,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,chair4-oven2,dot,708.7135620117188,553.4267578125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,chair5-oven2,dot,708.7135620117188,569.1678466796875,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,truck7-oven2,dot,708.7135620117188,566.4674072265625,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,truck3-oven2,dot,708.7135620117188,604.9093017578125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,truck4-oven2,dot,708.7135620117188,645.781005859375,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,airplane10-oven2,dot,708.7135620117188,620.3059692382812,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,airplane8-oven2,dot,708.7135620117188,665.359130859375,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,airplane9-oven2,dot,708.7135620117188,581.072265625,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,bottle5-oven2,dot,708.7135620117188,646.0673828125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,bottle4-oven2,dot,708.7135620117188,767.7315063476562,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,bottle9-oven2,dot,708.7135620117188,782.2724609375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,keyboard4-oven2,dot,708.7135620117188,674.0616455078125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,keyboard5-oven2,dot,708.7135620117188,599.0451049804688,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,keyboard7-oven2,dot,708.7135620117188,578.0469360351562,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,clock10-oven2,dot,708.7135620117188,577.28662109375,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,knife4-oven2,dot,708.7135620117188,624.012451171875,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,knife5-oven2,dot,708.7135620117188,695.349609375,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-truck2,elephant1-oven2,dot,708.7135620117188,651.138671875,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,cat3-oven2,dot,585.466552734375,671.54052734375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,cat10-oven2,dot,585.466552734375,627.743408203125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,car7-oven2,dot,585.466552734375,637.446044921875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,car5-oven2,dot,585.466552734375,560.03564453125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,car4-oven2,dot,585.466552734375,654.6881103515625,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,dog10-oven2,dot,585.466552734375,656.751953125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,dog7-oven2,dot,585.466552734375,641.616943359375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,bear4-oven2,dot,585.466552734375,619.1082763671875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,chair4-oven2,dot,585.466552734375,553.4267578125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,chair5-oven2,dot,585.466552734375,569.1678466796875,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,truck7-oven2,dot,585.466552734375,566.4674072265625,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,truck3-oven2,dot,585.466552734375,604.9093017578125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,truck4-oven2,dot,585.466552734375,645.781005859375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,airplane10-oven2,dot,585.466552734375,620.3059692382812,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,airplane8-oven2,dot,585.466552734375,665.359130859375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,airplane9-oven2,dot,585.466552734375,581.072265625,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,bottle5-oven2,dot,585.466552734375,646.0673828125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,bottle4-oven2,dot,585.466552734375,767.7315063476562,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,bottle9-oven2,dot,585.466552734375,782.2724609375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,keyboard4-oven2,dot,585.466552734375,674.0616455078125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,keyboard5-oven2,dot,585.466552734375,599.0451049804688,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,keyboard7-oven2,dot,585.466552734375,578.0469360351562,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,clock10-oven2,dot,585.466552734375,577.28662109375,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,knife4-oven2,dot,585.466552734375,624.012451171875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,knife5-oven2,dot,585.466552734375,695.349609375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-cat2,elephant1-oven2,dot,585.466552734375,651.138671875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,cat3-oven2,dot,569.7850341796875,671.54052734375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,cat10-oven2,dot,569.7850341796875,627.743408203125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,car7-oven2,dot,569.7850341796875,637.446044921875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,car5-oven2,dot,569.7850341796875,560.03564453125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,car4-oven2,dot,569.7850341796875,654.6881103515625,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,dog10-oven2,dot,569.7850341796875,656.751953125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,dog7-oven2,dot,569.7850341796875,641.616943359375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,bear4-oven2,dot,569.7850341796875,619.1082763671875,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,chair4-oven2,dot,569.7850341796875,553.4267578125,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,chair5-oven2,dot,569.7850341796875,569.1678466796875,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,truck7-oven2,dot,569.7850341796875,566.4674072265625,1,0
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,truck3-oven2,dot,569.7850341796875,604.9093017578125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,truck4-oven2,dot,569.7850341796875,645.781005859375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,airplane10-oven2,dot,569.7850341796875,620.3059692382812,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,airplane8-oven2,dot,569.7850341796875,665.359130859375,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,airplane9-oven2,dot,569.7850341796875,581.072265625,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,bottle5-oven2,dot,569.7850341796875,646.0673828125,0,1
resnet50,bottle7-oven2,bottle7,oven2,bottle7-airplane3,bottle4-oven2,dot,569.7850341796875,767.7315063476562,0,1
