Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,cat5-bottle1,dot,428.32659912109375,769.041015625,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,cat7-bottle1,dot,428.32659912109375,735.2646484375,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,car5-bottle1,dot,428.32659912109375,726.7181396484375,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,car6-bottle1,dot,428.32659912109375,705.92578125,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,car4-bottle1,dot,428.32659912109375,807.2802124023438,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,dog9-bottle1,dot,428.32659912109375,645.3545532226562,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,dog10-bottle1,dot,428.32659912109375,675.0196533203125,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bear8-bottle1,dot,428.32659912109375,710.8336181640625,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bear10-bottle1,dot,428.32659912109375,713.1112060546875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bear5-bottle1,dot,428.32659912109375,728.0853271484375,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,boat7-bottle1,dot,428.32659912109375,669.2059326171875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,boat8-bottle1,dot,428.32659912109375,760.2669677734375,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,oven7-bottle1,dot,428.32659912109375,726.2448120117188,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,oven2-bottle1,dot,428.32659912109375,716.8576049804688,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,chair7-bottle1,dot,428.32659912109375,656.0057373046875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bird8-bottle1,dot,428.32659912109375,686.5189208984375,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bird7-bottle1,dot,428.32659912109375,595.970947265625,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,airplane4-bottle1,dot,428.32659912109375,620.97216796875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,airplane2-bottle1,dot,428.32659912109375,685.7389526367188,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bicycle9-bottle1,dot,428.32659912109375,523.090576171875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bicycle2-bottle1,dot,428.32659912109375,597.951171875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,bicycle4-bottle1,dot,428.32659912109375,603.607421875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,keyboard7-bottle1,dot,428.32659912109375,729.060546875,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,keyboard2-bottle1,dot,428.32659912109375,879.585205078125,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,keyboard5-bottle1,dot,428.32659912109375,820.2052001953125,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,clock6-bottle1,dot,428.32659912109375,529.103271484375,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,clock10-bottle1,dot,428.32659912109375,623.7991943359375,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-elephant3,elephant1-bottle1,dot,428.32659912109375,736.4171142578125,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-bird2,cat5-bottle1,dot,527.226806640625,769.041015625,0,1
resnet50,cat10-bottle1,cat10,bottle1,cat10-bird2,cat7-bottle1,dot,527.226806640625,735.2646484375,0,1
