Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,cat4-truck3,dot,468.892578125,811.6949462890625,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,cat2-truck3,dot,468.892578125,862.876953125,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,car6-truck3,dot,468.892578125,798.5009765625,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,car9-truck3,dot,468.892578125,721.9808349609375,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,car5-truck3,dot,468.892578125,638.4812622070312,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,car8-truck3,dot,468.892578125,795.075439453125,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,bear8-truck3,dot,468.892578125,808.0405883789062,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,bear4-truck3,dot,468.892578125,749.4013061523438,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,bear3-truck3,dot,468.892578125,868.2685546875,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,boat1-truck3,dot,468.892578125,807.89599609375,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,boat6-truck3,dot,468.892578125,773.669189453125,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,oven2-truck3,dot,468.892578125,753.819091796875,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,oven4-truck3,dot,468.892578125,834.9554443359375,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,chair5-truck3,dot,468.892578125,689.7962036132812,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,chair7-truck3,dot,468.892578125,889.8696899414062,0,1
resnet50,cat3-truck3,cat3,truck3,cat3-elephant2,chair1-truck3,dot,468.892578125,810.261962890625,0,1
