Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,cat1-boat1,dot,684.9824829101562,707.8995361328125,0,1
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,cat5-boat1,dot,684.9824829101562,658.7623901367188,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,car3-boat1,dot,684.9824829101562,634.343505859375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,car4-boat1,dot,684.9824829101562,694.6033935546875,0,1
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,car6-boat1,dot,684.9824829101562,603.397705078125,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,dog3-boat1,dot,684.9824829101562,653.0560302734375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,dog9-boat1,dot,684.9824829101562,616.978759765625,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,chair8-boat1,dot,684.9824829101562,741.0487060546875,0,1
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,truck7-boat1,dot,684.9824829101562,666.009521484375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,bird1-boat1,dot,684.9824829101562,591.3779907226562,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,bird7-boat1,dot,684.9824829101562,697.65478515625,0,1
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,airplane9-boat1,dot,684.9824829101562,658.684326171875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,bicycle4-boat1,dot,684.9824829101562,675.4802856445312,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,bicycle8-boat1,dot,684.9824829101562,684.628662109375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,bottle5-boat1,dot,684.9824829101562,671.025146484375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,keyboard3-boat1,dot,684.9824829101562,603.41796875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,clock8-boat1,dot,684.9824829101562,700.0696411132812,0,1
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,knife4-boat1,dot,684.9824829101562,595.4759521484375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,knife9-boat1,dot,684.9824829101562,659.2330322265625,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,knife8-boat1,dot,684.9824829101562,641.2294921875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-bear2,elephant2-boat1,dot,684.9824829101562,820.9102172851562,0,1
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,cat1-boat1,dot,833.5635986328125,707.8995361328125,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,cat5-boat1,dot,833.5635986328125,658.7623901367188,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,car3-boat1,dot,833.5635986328125,634.343505859375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,car4-boat1,dot,833.5635986328125,694.6033935546875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,car6-boat1,dot,833.5635986328125,603.397705078125,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,dog3-boat1,dot,833.5635986328125,653.0560302734375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,dog9-boat1,dot,833.5635986328125,616.978759765625,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,chair8-boat1,dot,833.5635986328125,741.0487060546875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,truck7-boat1,dot,833.5635986328125,666.009521484375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,bird1-boat1,dot,833.5635986328125,591.3779907226562,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,bird7-boat1,dot,833.5635986328125,697.65478515625,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,airplane9-boat1,dot,833.5635986328125,658.684326171875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,bicycle4-boat1,dot,833.5635986328125,675.4802856445312,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,bicycle8-boat1,dot,833.5635986328125,684.628662109375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,bottle5-boat1,dot,833.5635986328125,671.025146484375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,keyboard3-boat1,dot,833.5635986328125,603.41796875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,clock8-boat1,dot,833.5635986328125,700.0696411132812,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,knife4-boat1,dot,833.5635986328125,595.4759521484375,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,knife9-boat1,dot,833.5635986328125,659.2330322265625,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,knife8-boat1,dot,833.5635986328125,641.2294921875,1,0
resnet50,chair2-boat1,chair2,boat1,chair2-keyboard2,elephant2-boat1,dot,833.5635986328125,820.9102172851562,1,0
