Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock3-car2,clock3,car2,clock3-dog2,cat8-car2,dot,530.8221435546875,632.590087890625,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,cat4-car2,dot,530.8221435546875,633.1044921875,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,cat5-car2,dot,530.8221435546875,661.812255859375,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,cat1-car2,dot,530.8221435546875,637.492431640625,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,dog1-car2,dot,530.8221435546875,584.9158935546875,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,dog7-car2,dot,530.8221435546875,558.7960205078125,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,bear3-car2,dot,530.8221435546875,657.527099609375,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,bear2-car2,dot,530.8221435546875,609.3521118164062,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,bear10-car2,dot,530.8221435546875,616.6898193359375,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,bear6-car2,dot,530.8221435546875,618.38916015625,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,boat1-car2,dot,530.8221435546875,738.8482666015625,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,oven3-car2,dot,530.8221435546875,706.9693603515625,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,oven9-car2,dot,530.8221435546875,605.2421875,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,chair10-car2,dot,530.8221435546875,677.9422607421875,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,chair7-car2,dot,530.8221435546875,555.1718139648438,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,bird7-car2,dot,530.8221435546875,552.7393188476562,0,1
resnet50,clock3-car2,clock3,car2,clock3-dog2,bird8-car2,dot,530.8221435546875,671.6366577148438,0,1
