Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,cat10-bird2,dot,704.7633666992188,692.8123779296875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,cat4-bird2,dot,704.7633666992188,709.8046875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,cat8-bird2,dot,704.7633666992188,736.0489501953125,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,car3-bird2,dot,704.7633666992188,605.2388916015625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,dog3-bird2,dot,704.7633666992188,637.3519287109375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,bear6-bird2,dot,704.7633666992188,724.657958984375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,bear1-bird2,dot,704.7633666992188,706.7374877929688,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,boat8-bird2,dot,704.7633666992188,638.8355712890625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,oven2-bird2,dot,704.7633666992188,529.0138549804688,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,chair6-bird2,dot,704.7633666992188,698.197998046875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,truck3-bird2,dot,704.7633666992188,743.54052734375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,truck5-bird2,dot,704.7633666992188,695.2496337890625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,truck2-bird2,dot,704.7633666992188,630.9169921875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,truck7-bird2,dot,704.7633666992188,707.56298828125,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,airplane5-bird2,dot,704.7633666992188,628.8356323242188,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,bicycle8-bird2,dot,704.7633666992188,572.396240234375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,keyboard1-bird2,dot,704.7633666992188,594.904296875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,clock9-bird2,dot,704.7633666992188,516.4569091796875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-bicycle3,knife1-bird2,dot,704.7633666992188,566.5648193359375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,cat10-bird2,dot,626.74853515625,692.8123779296875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,cat4-bird2,dot,626.74853515625,709.8046875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,cat8-bird2,dot,626.74853515625,736.0489501953125,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,car3-bird2,dot,626.74853515625,605.2388916015625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,dog3-bird2,dot,626.74853515625,637.3519287109375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,bear6-bird2,dot,626.74853515625,724.657958984375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,bear1-bird2,dot,626.74853515625,706.7374877929688,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,boat8-bird2,dot,626.74853515625,638.8355712890625,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,oven2-bird2,dot,626.74853515625,529.0138549804688,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,chair6-bird2,dot,626.74853515625,698.197998046875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,truck3-bird2,dot,626.74853515625,743.54052734375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,truck5-bird2,dot,626.74853515625,695.2496337890625,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,truck2-bird2,dot,626.74853515625,630.9169921875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,truck7-bird2,dot,626.74853515625,707.56298828125,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,airplane5-bird2,dot,626.74853515625,628.8356323242188,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,bicycle8-bird2,dot,626.74853515625,572.396240234375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,keyboard1-bird2,dot,626.74853515625,594.904296875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,clock9-bird2,dot,626.74853515625,516.4569091796875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-truck3,knife1-bird2,dot,626.74853515625,566.5648193359375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,cat10-bird2,dot,692.366455078125,692.8123779296875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,cat4-bird2,dot,692.366455078125,709.8046875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,cat8-bird2,dot,692.366455078125,736.0489501953125,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,car3-bird2,dot,692.366455078125,605.2388916015625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,dog3-bird2,dot,692.366455078125,637.3519287109375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,bear6-bird2,dot,692.366455078125,724.657958984375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,bear1-bird2,dot,692.366455078125,706.7374877929688,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,boat8-bird2,dot,692.366455078125,638.8355712890625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,oven2-bird2,dot,692.366455078125,529.0138549804688,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,chair6-bird2,dot,692.366455078125,698.197998046875,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,truck3-bird2,dot,692.366455078125,743.54052734375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,truck5-bird2,dot,692.366455078125,695.2496337890625,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,truck2-bird2,dot,692.366455078125,630.9169921875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,truck7-bird2,dot,692.366455078125,707.56298828125,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,airplane5-bird2,dot,692.366455078125,628.8356323242188,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,bicycle8-bird2,dot,692.366455078125,572.396240234375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,keyboard1-bird2,dot,692.366455078125,594.904296875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,clock9-bird2,dot,692.366455078125,516.4569091796875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-oven3,knife1-bird2,dot,692.366455078125,566.5648193359375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,cat10-bird2,dot,714.102783203125,692.8123779296875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,cat4-bird2,dot,714.102783203125,709.8046875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,cat8-bird2,dot,714.102783203125,736.0489501953125,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,car3-bird2,dot,714.102783203125,605.2388916015625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,dog3-bird2,dot,714.102783203125,637.3519287109375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,bear6-bird2,dot,714.102783203125,724.657958984375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,bear1-bird2,dot,714.102783203125,706.7374877929688,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,boat8-bird2,dot,714.102783203125,638.8355712890625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,oven2-bird2,dot,714.102783203125,529.0138549804688,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,chair6-bird2,dot,714.102783203125,698.197998046875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,truck3-bird2,dot,714.102783203125,743.54052734375,0,1
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,truck5-bird2,dot,714.102783203125,695.2496337890625,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,truck2-bird2,dot,714.102783203125,630.9169921875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,truck7-bird2,dot,714.102783203125,707.56298828125,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,airplane5-bird2,dot,714.102783203125,628.8356323242188,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,bicycle8-bird2,dot,714.102783203125,572.396240234375,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,keyboard1-bird2,dot,714.102783203125,594.904296875,1,0
resnet50,elephant8-bird2,elephant8,bird2,elephant8-cat1,clock9-bird2,dot,714.102783203125,516.4569091796875,1,0
