Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,cat5-dog3,dot,493.1695556640625,628.8900146484375,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,cat4-dog3,dot,493.1695556640625,689.7742919921875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,cat7-dog3,dot,493.1695556640625,727.7996826171875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,car7-dog3,dot,493.1695556640625,675.4786376953125,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bear3-dog3,dot,493.1695556640625,759.3815307617188,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bear7-dog3,dot,493.1695556640625,700.0487060546875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,boat8-dog3,dot,493.1695556640625,729.1113891601562,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,boat3-dog3,dot,493.1695556640625,720.536376953125,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,oven2-dog3,dot,493.1695556640625,700.8875122070312,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,oven5-dog3,dot,493.1695556640625,757.2486572265625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,oven1-dog3,dot,493.1695556640625,723.5626220703125,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,truck5-dog3,dot,493.1695556640625,763.0708618164062,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,truck3-dog3,dot,493.1695556640625,792.3599853515625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,truck8-dog3,dot,493.1695556640625,677.423583984375,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bird4-dog3,dot,493.1695556640625,803.6158447265625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,airplane10-dog3,dot,493.1695556640625,782.7606811523438,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,airplane5-dog3,dot,493.1695556640625,675.0903930664062,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bicycle10-dog3,dot,493.1695556640625,455.3408508300781,1,0
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bicycle1-dog3,dot,493.1695556640625,649.5330200195312,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bottle6-dog3,dot,493.1695556640625,636.054931640625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,keyboard1-dog3,dot,493.1695556640625,703.1982421875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,keyboard5-dog3,dot,493.1695556640625,721.931640625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,clock10-dog3,dot,493.1695556640625,604.1643676757812,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,elephant9-dog3,dot,493.1695556640625,603.5422973632812,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,cat5-dog3,dot,443.6642150878906,628.8900146484375,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,cat4-dog3,dot,443.6642150878906,689.7742919921875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,cat7-dog3,dot,443.6642150878906,727.7996826171875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,car7-dog3,dot,443.6642150878906,675.4786376953125,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bear3-dog3,dot,443.6642150878906,759.3815307617188,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bear7-dog3,dot,443.6642150878906,700.0487060546875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,boat8-dog3,dot,443.6642150878906,729.1113891601562,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,boat3-dog3,dot,443.6642150878906,720.536376953125,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,oven2-dog3,dot,443.6642150878906,700.8875122070312,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,oven5-dog3,dot,443.6642150878906,757.2486572265625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,oven1-dog3,dot,443.6642150878906,723.5626220703125,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,truck5-dog3,dot,443.6642150878906,763.0708618164062,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,truck3-dog3,dot,443.6642150878906,792.3599853515625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,truck8-dog3,dot,443.6642150878906,677.423583984375,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bird4-dog3,dot,443.6642150878906,803.6158447265625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,airplane10-dog3,dot,443.6642150878906,782.7606811523438,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,airplane5-dog3,dot,443.6642150878906,675.0903930664062,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bicycle10-dog3,dot,443.6642150878906,455.3408508300781,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bicycle1-dog3,dot,443.6642150878906,649.5330200195312,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bottle6-dog3,dot,443.6642150878906,636.054931640625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,keyboard1-dog3,dot,443.6642150878906,703.1982421875,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,keyboard5-dog3,dot,443.6642150878906,721.931640625,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,clock10-dog3,dot,443.6642150878906,604.1643676757812,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,elephant9-dog3,dot,443.6642150878906,603.5422973632812,0,1
resnet50,keyboard8-dog3,keyboard8,dog3,keyboard8-airplane2,cat5-dog3,dot,410.6282958984375,628.8900146484375,0,1
