Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,cat5-bear2,dot,533.0097045898438,691.6134033203125,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,cat3-bear2,dot,533.0097045898438,634.4203491210938,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,oven6-bear2,dot,533.0097045898438,708.9058837890625,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,oven3-bear2,dot,533.0097045898438,646.6022338867188,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,oven9-bear2,dot,533.0097045898438,690.89013671875,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,chair2-bear2,dot,533.0097045898438,619.9252319335938,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,chair4-bear2,dot,533.0097045898438,513.790771484375,1,0
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,truck7-bear2,dot,533.0097045898438,823.0107421875,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,truck6-bear2,dot,533.0097045898438,771.9606323242188,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,bird10-bear2,dot,533.0097045898438,700.66650390625,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,airplane5-bear2,dot,533.0097045898438,690.4395141601562,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,bicycle8-bear2,dot,533.0097045898438,643.9988403320312,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,bicycle7-bear2,dot,533.0097045898438,535.5999755859375,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,bottle3-bear2,dot,533.0097045898438,588.6616821289062,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,bottle10-bear2,dot,533.0097045898438,575.2072143554688,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,bottle6-bear2,dot,533.0097045898438,608.22412109375,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,keyboard6-bear2,dot,533.0097045898438,687.8068237304688,0,1
resnet50,keyboard9-bear2,keyboard9,bear2,keyboard9-airplane3,keyboard1-bear2,dot,533.0097045898438,674.68994140625,0,1
