Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,car4-cat3,dot,783.743408203125,754.518798828125,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,car2-cat3,dot,783.743408203125,834.4144287109375,0,1
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,dog4-cat3,dot,783.743408203125,618.3321533203125,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,dog1-cat3,dot,783.743408203125,724.8492431640625,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,bear4-cat3,dot,783.743408203125,656.8241577148438,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,bear6-cat3,dot,783.743408203125,803.77294921875,0,1
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,boat3-cat3,dot,783.743408203125,566.0943603515625,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,boat9-cat3,dot,783.743408203125,660.0343627929688,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,boat7-cat3,dot,783.743408203125,789.1055908203125,0,1
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,oven8-cat3,dot,783.743408203125,751.0872802734375,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,chair5-cat3,dot,783.743408203125,797.2802734375,0,1
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,chair1-cat3,dot,783.743408203125,684.379638671875,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,truck5-cat3,dot,783.743408203125,664.6383056640625,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,bird7-cat3,dot,783.743408203125,719.052978515625,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,bird4-cat3,dot,783.743408203125,784.9111938476562,0,1
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,airplane7-cat3,dot,783.743408203125,763.36376953125,1,0
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,airplane4-cat3,dot,783.743408203125,791.2913818359375,0,1
resnet50,knife2-cat3,knife2,cat3,knife2-bear2,bicycle9-cat3,dot,783.743408203125,605.3572998046875,1,0
