Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,cat9-truck1,dot,679.3596801757812,712.926513671875,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,car3-truck1,dot,679.3596801757812,675.9765625,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bear10-truck1,dot,679.3596801757812,690.321533203125,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bear7-truck1,dot,679.3596801757812,628.47998046875,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,boat10-truck1,dot,679.3596801757812,664.0302124023438,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,oven6-truck1,dot,679.3596801757812,802.84912109375,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bird1-truck1,dot,679.3596801757812,657.5115966796875,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,airplane9-truck1,dot,679.3596801757812,667.1676025390625,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,airplane10-truck1,dot,679.3596801757812,685.5108642578125,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,airplane7-truck1,dot,679.3596801757812,738.4803466796875,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bicycle1-truck1,dot,679.3596801757812,652.7738037109375,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bicycle8-truck1,dot,679.3596801757812,693.069580078125,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bottle5-truck1,dot,679.3596801757812,682.3033447265625,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bottle4-truck1,dot,679.3596801757812,692.2227172851562,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,bottle9-truck1,dot,679.3596801757812,574.0946044921875,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,keyboard10-truck1,dot,679.3596801757812,701.0234375,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,knife6-truck1,dot,679.3596801757812,666.013671875,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,elephant5-truck1,dot,679.3596801757812,757.091552734375,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-bottle3,elephant3-truck1,dot,679.3596801757812,620.967529296875,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,cat9-truck1,dot,639.9564208984375,712.926513671875,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,car3-truck1,dot,639.9564208984375,675.9765625,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,bear10-truck1,dot,639.9564208984375,690.321533203125,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,bear7-truck1,dot,639.9564208984375,628.47998046875,1,0
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,boat10-truck1,dot,639.9564208984375,664.0302124023438,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,oven6-truck1,dot,639.9564208984375,802.84912109375,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,bird1-truck1,dot,639.9564208984375,657.5115966796875,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,airplane9-truck1,dot,639.9564208984375,667.1676025390625,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,airplane10-truck1,dot,639.9564208984375,685.5108642578125,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,airplane7-truck1,dot,639.9564208984375,738.4803466796875,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,bicycle1-truck1,dot,639.9564208984375,652.7738037109375,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,bicycle8-truck1,dot,639.9564208984375,693.069580078125,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,bottle5-truck1,dot,639.9564208984375,682.3033447265625,0,1
resnet50,oven3-truck1,oven3,truck1,oven3-clock3,bottle4-truck1,dot,639.9564208984375,692.2227172851562,0,1
