Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,cat1-chair2,dot,615.5299072265625,633.666748046875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,cat4-chair2,dot,615.5299072265625,552.3261108398438,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,cat9-chair2,dot,615.5299072265625,608.58203125,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,dog9-chair2,dot,615.5299072265625,556.4064331054688,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,dog7-chair2,dot,615.5299072265625,664.09716796875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bear3-chair2,dot,615.5299072265625,686.9922485351562,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bear1-chair2,dot,615.5299072265625,620.3712768554688,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bear10-chair2,dot,615.5299072265625,579.7161254882812,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,boat4-chair2,dot,615.5299072265625,622.9483032226562,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,boat9-chair2,dot,615.5299072265625,668.950439453125,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,truck7-chair2,dot,615.5299072265625,763.056640625,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,truck3-chair2,dot,615.5299072265625,762.67138671875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bird1-chair2,dot,615.5299072265625,604.390869140625,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,airplane1-chair2,dot,615.5299072265625,474.57440185546875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bicycle8-chair2,dot,615.5299072265625,576.57373046875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bicycle5-chair2,dot,615.5299072265625,640.6068115234375,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bicycle4-chair2,dot,615.5299072265625,627.8359375,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bottle1-chair2,dot,615.5299072265625,554.9053955078125,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,bottle6-chair2,dot,615.5299072265625,557.3845825195312,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,keyboard8-chair2,dot,615.5299072265625,625.4921875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,keyboard1-chair2,dot,615.5299072265625,574.1618041992188,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,keyboard9-chair2,dot,615.5299072265625,666.4351806640625,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,clock8-chair2,dot,615.5299072265625,667.78515625,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,knife7-chair2,dot,615.5299072265625,531.7664794921875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-cat1,elephant9-chair2,dot,615.5299072265625,590.2635498046875,1,0
resnet50,truck1-chair2,truck1,chair2,truck10-car3,cat1-chair2,dot,536.7142333984375,633.666748046875,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,cat4-chair2,dot,536.7142333984375,552.3261108398438,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,cat9-chair2,dot,536.7142333984375,608.58203125,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,dog9-chair2,dot,536.7142333984375,556.4064331054688,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,dog7-chair2,dot,536.7142333984375,664.09716796875,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bear3-chair2,dot,536.7142333984375,686.9922485351562,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bear1-chair2,dot,536.7142333984375,620.3712768554688,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bear10-chair2,dot,536.7142333984375,579.7161254882812,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,boat4-chair2,dot,536.7142333984375,622.9483032226562,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,boat9-chair2,dot,536.7142333984375,668.950439453125,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,truck7-chair2,dot,536.7142333984375,763.056640625,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,truck3-chair2,dot,536.7142333984375,762.67138671875,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bird1-chair2,dot,536.7142333984375,604.390869140625,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,airplane1-chair2,dot,536.7142333984375,474.57440185546875,1,0
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bicycle8-chair2,dot,536.7142333984375,576.57373046875,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bicycle5-chair2,dot,536.7142333984375,640.6068115234375,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bicycle4-chair2,dot,536.7142333984375,627.8359375,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bottle1-chair2,dot,536.7142333984375,554.9053955078125,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,bottle6-chair2,dot,536.7142333984375,557.3845825195312,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,keyboard8-chair2,dot,536.7142333984375,625.4921875,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,keyboard1-chair2,dot,536.7142333984375,574.1618041992188,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,keyboard9-chair2,dot,536.7142333984375,666.4351806640625,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,clock8-chair2,dot,536.7142333984375,667.78515625,0,1
resnet50,truck1-chair2,truck1,chair2,truck10-car3,knife7-chair2,dot,536.7142333984375,531.7664794921875,1,0
resnet50,truck1-chair2,truck1,chair2,truck10-car3,elephant9-chair2,dot,536.7142333984375,590.2635498046875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,cat1-chair2,dot,630.688232421875,633.666748046875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,cat4-chair2,dot,630.688232421875,552.3261108398438,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,cat9-chair2,dot,630.688232421875,608.58203125,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,dog9-chair2,dot,630.688232421875,556.4064331054688,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,dog7-chair2,dot,630.688232421875,664.09716796875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bear3-chair2,dot,630.688232421875,686.9922485351562,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bear1-chair2,dot,630.688232421875,620.3712768554688,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bear10-chair2,dot,630.688232421875,579.7161254882812,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,boat4-chair2,dot,630.688232421875,622.9483032226562,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,boat9-chair2,dot,630.688232421875,668.950439453125,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,truck7-chair2,dot,630.688232421875,763.056640625,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,truck3-chair2,dot,630.688232421875,762.67138671875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bird1-chair2,dot,630.688232421875,604.390869140625,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,airplane1-chair2,dot,630.688232421875,474.57440185546875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bicycle8-chair2,dot,630.688232421875,576.57373046875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bicycle5-chair2,dot,630.688232421875,640.6068115234375,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bicycle4-chair2,dot,630.688232421875,627.8359375,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bottle1-chair2,dot,630.688232421875,554.9053955078125,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,bottle6-chair2,dot,630.688232421875,557.3845825195312,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,keyboard8-chair2,dot,630.688232421875,625.4921875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,keyboard1-chair2,dot,630.688232421875,574.1618041992188,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,keyboard9-chair2,dot,630.688232421875,666.4351806640625,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,clock8-chair2,dot,630.688232421875,667.78515625,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-car3,knife7-chair2,dot,630.688232421875,531.7664794921875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-car3,elephant9-chair2,dot,630.688232421875,590.2635498046875,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-dog1,cat1-chair2,dot,593.2178344726562,633.666748046875,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-dog1,cat4-chair2,dot,593.2178344726562,552.3261108398438,1,0
resnet50,truck1-chair2,truck1,chair2,truck1-dog1,cat9-chair2,dot,593.2178344726562,608.58203125,0,1
resnet50,truck1-chair2,truck1,chair2,truck1-dog1,dog9-chair2,dot,593.2178344726562,556.4064331054688,1,0
