Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,cat9-clock2,dot,610.7728271484375,569.6583251953125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,cat4-clock2,dot,610.7728271484375,600.4896240234375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,car8-clock2,dot,610.7728271484375,635.2916259765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,car9-clock2,dot,610.7728271484375,622.7509765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,car1-clock2,dot,610.7728271484375,666.802978515625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,dog8-clock2,dot,610.7728271484375,603.528076171875,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,bear1-clock2,dot,610.7728271484375,615.0556640625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,boat6-clock2,dot,610.7728271484375,572.8402099609375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,oven9-clock2,dot,610.7728271484375,608.205322265625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,oven4-clock2,dot,610.7728271484375,650.49658203125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,oven7-clock2,dot,610.7728271484375,679.0208129882812,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,chair1-clock2,dot,610.7728271484375,624.996826171875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,chair5-clock2,dot,610.7728271484375,575.320068359375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,airplane8-clock2,dot,610.7728271484375,699.9188232421875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,bicycle10-clock2,dot,610.7728271484375,460.805908203125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,bottle10-clock2,dot,610.7728271484375,607.6744384765625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,keyboard4-clock2,dot,610.7728271484375,663.11669921875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,knife6-clock2,dot,610.7728271484375,638.2384033203125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,knife3-clock2,dot,610.7728271484375,691.863037109375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,knife1-clock2,dot,610.7728271484375,679.0513916015625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,elephant8-clock2,dot,610.7728271484375,643.2576904296875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-dog2,elephant7-clock2,dot,610.7728271484375,636.915771484375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,cat9-clock2,dot,545.2138671875,569.6583251953125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,cat4-clock2,dot,545.2138671875,600.4896240234375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,car8-clock2,dot,545.2138671875,635.2916259765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,car9-clock2,dot,545.2138671875,622.7509765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,car1-clock2,dot,545.2138671875,666.802978515625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,dog8-clock2,dot,545.2138671875,603.528076171875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,bear1-clock2,dot,545.2138671875,615.0556640625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,boat6-clock2,dot,545.2138671875,572.8402099609375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,oven9-clock2,dot,545.2138671875,608.205322265625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,oven4-clock2,dot,545.2138671875,650.49658203125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,oven7-clock2,dot,545.2138671875,679.0208129882812,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,chair1-clock2,dot,545.2138671875,624.996826171875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,chair5-clock2,dot,545.2138671875,575.320068359375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,airplane8-clock2,dot,545.2138671875,699.9188232421875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,bicycle10-clock2,dot,545.2138671875,460.805908203125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,bottle10-clock2,dot,545.2138671875,607.6744384765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,keyboard4-clock2,dot,545.2138671875,663.11669921875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,knife6-clock2,dot,545.2138671875,638.2384033203125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,knife3-clock2,dot,545.2138671875,691.863037109375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,knife1-clock2,dot,545.2138671875,679.0513916015625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,elephant8-clock2,dot,545.2138671875,643.2576904296875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-oven3,elephant7-clock2,dot,545.2138671875,636.915771484375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,cat9-clock2,dot,512.75439453125,569.6583251953125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,cat4-clock2,dot,512.75439453125,600.4896240234375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,car8-clock2,dot,512.75439453125,635.2916259765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,car9-clock2,dot,512.75439453125,622.7509765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,car1-clock2,dot,512.75439453125,666.802978515625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,dog8-clock2,dot,512.75439453125,603.528076171875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,bear1-clock2,dot,512.75439453125,615.0556640625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,boat6-clock2,dot,512.75439453125,572.8402099609375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,oven9-clock2,dot,512.75439453125,608.205322265625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,oven4-clock2,dot,512.75439453125,650.49658203125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,oven7-clock2,dot,512.75439453125,679.0208129882812,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,chair1-clock2,dot,512.75439453125,624.996826171875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,chair5-clock2,dot,512.75439453125,575.320068359375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,airplane8-clock2,dot,512.75439453125,699.9188232421875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,bicycle10-clock2,dot,512.75439453125,460.805908203125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,bottle10-clock2,dot,512.75439453125,607.6744384765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,keyboard4-clock2,dot,512.75439453125,663.11669921875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,knife6-clock2,dot,512.75439453125,638.2384033203125,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,knife3-clock2,dot,512.75439453125,691.863037109375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,knife1-clock2,dot,512.75439453125,679.0513916015625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,elephant8-clock2,dot,512.75439453125,643.2576904296875,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-cat2,elephant7-clock2,dot,512.75439453125,636.915771484375,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,cat9-clock2,dot,790.515869140625,569.6583251953125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,cat4-clock2,dot,790.515869140625,600.4896240234375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,car8-clock2,dot,790.515869140625,635.2916259765625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,car9-clock2,dot,790.515869140625,622.7509765625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,car1-clock2,dot,790.515869140625,666.802978515625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,dog8-clock2,dot,790.515869140625,603.528076171875,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,bear1-clock2,dot,790.515869140625,615.0556640625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,boat6-clock2,dot,790.515869140625,572.8402099609375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,oven9-clock2,dot,790.515869140625,608.205322265625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,oven4-clock2,dot,790.515869140625,650.49658203125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,oven7-clock2,dot,790.515869140625,679.0208129882812,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,chair1-clock2,dot,790.515869140625,624.996826171875,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,chair5-clock2,dot,790.515869140625,575.320068359375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,airplane8-clock2,dot,790.515869140625,699.9188232421875,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,bicycle10-clock2,dot,790.515869140625,460.805908203125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,bottle10-clock2,dot,790.515869140625,607.6744384765625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,keyboard4-clock2,dot,790.515869140625,663.11669921875,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,knife6-clock2,dot,790.515869140625,638.2384033203125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,knife3-clock2,dot,790.515869140625,691.863037109375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,knife1-clock2,dot,790.515869140625,679.0513916015625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,elephant8-clock2,dot,790.515869140625,643.2576904296875,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bottle3,elephant7-clock2,dot,790.515869140625,636.915771484375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,cat9-clock2,dot,634.57763671875,569.6583251953125,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,cat4-clock2,dot,634.57763671875,600.4896240234375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,car8-clock2,dot,634.57763671875,635.2916259765625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,car9-clock2,dot,634.57763671875,622.7509765625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,car1-clock2,dot,634.57763671875,666.802978515625,0,1
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,dog8-clock2,dot,634.57763671875,603.528076171875,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,bear1-clock2,dot,634.57763671875,615.0556640625,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,boat6-clock2,dot,634.57763671875,572.8402099609375,1,0
resnet50,truck6-clock2,truck6,clock2,truck6-bicycle1,oven9-clock2,dot,634.57763671875,608.205322265625,1,0
