Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,cat4-truck3,dot,771.61669921875,789.8533935546875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,cat3-truck3,dot,771.61669921875,843.1424560546875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,cat2-truck3,dot,771.61669921875,850.4346923828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,car6-truck3,dot,771.61669921875,741.5760498046875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,car9-truck3,dot,771.61669921875,676.686767578125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,car5-truck3,dot,771.61669921875,624.4299926757812,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,car8-truck3,dot,771.61669921875,748.531982421875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,bear8-truck3,dot,771.61669921875,840.7000732421875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,bear4-truck3,dot,771.61669921875,781.0425415039062,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,boat1-truck3,dot,771.61669921875,691.740966796875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,boat6-truck3,dot,771.61669921875,706.60400390625,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,oven2-truck3,dot,771.61669921875,710.3499755859375,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,oven4-truck3,dot,771.61669921875,785.08203125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,chair5-truck3,dot,771.61669921875,756.3693237304688,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,chair7-truck3,dot,771.61669921875,915.565673828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,chair1-truck3,dot,771.61669921875,847.662353515625,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,bird3-truck3,dot,771.61669921875,692.4703369140625,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,airplane8-truck3,dot,771.61669921875,700.8853149414062,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,bicycle3-truck3,dot,771.61669921875,848.7732543945312,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,bicycle4-truck3,dot,771.61669921875,850.8618774414062,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,bicycle7-truck3,dot,771.61669921875,709.0545043945312,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,bottle10-truck3,dot,771.61669921875,639.16845703125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,keyboard9-truck3,dot,771.61669921875,824.705078125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,keyboard4-truck3,dot,771.61669921875,681.467529296875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,keyboard8-truck3,dot,771.61669921875,760.5938110351562,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,clock7-truck3,dot,771.61669921875,741.7359619140625,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,clock1-truck3,dot,771.61669921875,723.6552124023438,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,clock6-truck3,dot,771.61669921875,657.127685546875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,knife5-truck3,dot,771.61669921875,658.9200439453125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,knife8-truck3,dot,771.61669921875,710.8341064453125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,elephant8-truck3,dot,771.61669921875,821.081787109375,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-airplane1,elephant6-truck3,dot,771.61669921875,920.2784423828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,cat4-truck3,dot,721.6923828125,789.8533935546875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,cat3-truck3,dot,721.6923828125,843.1424560546875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,cat2-truck3,dot,721.6923828125,850.4346923828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,car6-truck3,dot,721.6923828125,741.5760498046875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,car9-truck3,dot,721.6923828125,676.686767578125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,car5-truck3,dot,721.6923828125,624.4299926757812,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,car8-truck3,dot,721.6923828125,748.531982421875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,bear8-truck3,dot,721.6923828125,840.7000732421875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,bear4-truck3,dot,721.6923828125,781.0425415039062,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,boat1-truck3,dot,721.6923828125,691.740966796875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,boat6-truck3,dot,721.6923828125,706.60400390625,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,oven2-truck3,dot,721.6923828125,710.3499755859375,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,oven4-truck3,dot,721.6923828125,785.08203125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,chair5-truck3,dot,721.6923828125,756.3693237304688,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,chair7-truck3,dot,721.6923828125,915.565673828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,chair1-truck3,dot,721.6923828125,847.662353515625,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,bird3-truck3,dot,721.6923828125,692.4703369140625,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,airplane8-truck3,dot,721.6923828125,700.8853149414062,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,bicycle3-truck3,dot,721.6923828125,848.7732543945312,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,bicycle4-truck3,dot,721.6923828125,850.8618774414062,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,bicycle7-truck3,dot,721.6923828125,709.0545043945312,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,bottle10-truck3,dot,721.6923828125,639.16845703125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,keyboard9-truck3,dot,721.6923828125,824.705078125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,keyboard4-truck3,dot,721.6923828125,681.467529296875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,keyboard8-truck3,dot,721.6923828125,760.5938110351562,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,clock7-truck3,dot,721.6923828125,741.7359619140625,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,clock1-truck3,dot,721.6923828125,723.6552124023438,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,clock6-truck3,dot,721.6923828125,657.127685546875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,knife5-truck3,dot,721.6923828125,658.9200439453125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,knife8-truck3,dot,721.6923828125,710.8341064453125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,elephant8-truck3,dot,721.6923828125,821.081787109375,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-cat1,elephant6-truck3,dot,721.6923828125,920.2784423828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,cat4-truck3,dot,714.0131225585938,789.8533935546875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,cat3-truck3,dot,714.0131225585938,843.1424560546875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,cat2-truck3,dot,714.0131225585938,850.4346923828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,car6-truck3,dot,714.0131225585938,741.5760498046875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,car9-truck3,dot,714.0131225585938,676.686767578125,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,car5-truck3,dot,714.0131225585938,624.4299926757812,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,car8-truck3,dot,714.0131225585938,748.531982421875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,bear8-truck3,dot,714.0131225585938,840.7000732421875,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,bear4-truck3,dot,714.0131225585938,781.0425415039062,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,boat1-truck3,dot,714.0131225585938,691.740966796875,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,boat6-truck3,dot,714.0131225585938,706.60400390625,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,oven2-truck3,dot,714.0131225585938,710.3499755859375,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,oven4-truck3,dot,714.0131225585938,785.08203125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,chair5-truck3,dot,714.0131225585938,756.3693237304688,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,chair7-truck3,dot,714.0131225585938,915.565673828125,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,chair1-truck3,dot,714.0131225585938,847.662353515625,0,1
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,bird3-truck3,dot,714.0131225585938,692.4703369140625,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,airplane8-truck3,dot,714.0131225585938,700.8853149414062,1,0
resnet50,bear3-truck3,bear3,truck3,bear3-chair2,bicycle3-truck3,dot,714.0131225585938,848.7732543945312,0,1
