Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,cat7-boat3,dot,734.001708984375,768.037841796875,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,car8-boat3,dot,734.001708984375,726.9691162109375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,car7-boat3,dot,734.001708984375,653.7769775390625,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,dog8-boat3,dot,734.001708984375,633.3060302734375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,dog5-boat3,dot,734.001708984375,779.665771484375,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,dog1-boat3,dot,734.001708984375,824.7040405273438,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,oven1-boat3,dot,734.001708984375,653.2745971679688,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,oven3-boat3,dot,734.001708984375,646.8804321289062,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,oven2-boat3,dot,734.001708984375,650.4046020507812,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,chair5-boat3,dot,734.001708984375,776.4771118164062,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,chair7-boat3,dot,734.001708984375,765.0440673828125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,truck4-boat3,dot,734.001708984375,720.4552612304688,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,truck9-boat3,dot,734.001708984375,643.275146484375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,truck2-boat3,dot,734.001708984375,643.0057373046875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bird3-boat3,dot,734.001708984375,713.901123046875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bird8-boat3,dot,734.001708984375,841.8819580078125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,airplane10-boat3,dot,734.001708984375,742.143798828125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,airplane5-boat3,dot,734.001708984375,677.85888671875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,airplane4-boat3,dot,734.001708984375,651.245849609375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bicycle10-boat3,dot,734.001708984375,526.8421630859375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bicycle1-boat3,dot,734.001708984375,612.5863647460938,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bottle3-boat3,dot,734.001708984375,672.49267578125,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bottle7-boat3,dot,734.001708984375,670.8861083984375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bottle10-boat3,dot,734.001708984375,691.2650756835938,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,bottle6-boat3,dot,734.001708984375,593.8201904296875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,clock7-boat3,dot,734.001708984375,717.3593139648438,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,clock1-boat3,dot,734.001708984375,782.8033447265625,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,clock4-boat3,dot,734.001708984375,824.472900390625,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,knife6-boat3,dot,734.001708984375,568.7515869140625,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,knife7-boat3,dot,734.001708984375,647.6932373046875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,elephant9-boat3,dot,734.001708984375,749.7266845703125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-chair1,elephant4-boat3,dot,734.001708984375,821.0515747070312,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,cat7-boat3,dot,683.3697509765625,768.037841796875,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,car8-boat3,dot,683.3697509765625,726.9691162109375,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,car7-boat3,dot,683.3697509765625,653.7769775390625,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,dog8-boat3,dot,683.3697509765625,633.3060302734375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,dog5-boat3,dot,683.3697509765625,779.665771484375,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,dog1-boat3,dot,683.3697509765625,824.7040405273438,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,oven1-boat3,dot,683.3697509765625,653.2745971679688,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,oven3-boat3,dot,683.3697509765625,646.8804321289062,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,oven2-boat3,dot,683.3697509765625,650.4046020507812,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,chair5-boat3,dot,683.3697509765625,776.4771118164062,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,chair7-boat3,dot,683.3697509765625,765.0440673828125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,truck4-boat3,dot,683.3697509765625,720.4552612304688,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,truck9-boat3,dot,683.3697509765625,643.275146484375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,truck2-boat3,dot,683.3697509765625,643.0057373046875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bird3-boat3,dot,683.3697509765625,713.901123046875,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bird8-boat3,dot,683.3697509765625,841.8819580078125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,airplane10-boat3,dot,683.3697509765625,742.143798828125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,airplane5-boat3,dot,683.3697509765625,677.85888671875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,airplane4-boat3,dot,683.3697509765625,651.245849609375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bicycle10-boat3,dot,683.3697509765625,526.8421630859375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bicycle1-boat3,dot,683.3697509765625,612.5863647460938,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bottle3-boat3,dot,683.3697509765625,672.49267578125,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bottle7-boat3,dot,683.3697509765625,670.8861083984375,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bottle10-boat3,dot,683.3697509765625,691.2650756835938,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,bottle6-boat3,dot,683.3697509765625,593.8201904296875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,clock7-boat3,dot,683.3697509765625,717.3593139648438,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,clock1-boat3,dot,683.3697509765625,782.8033447265625,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,clock4-boat3,dot,683.3697509765625,824.472900390625,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,knife6-boat3,dot,683.3697509765625,568.7515869140625,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,knife7-boat3,dot,683.3697509765625,647.6932373046875,1,0
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,elephant9-boat3,dot,683.3697509765625,749.7266845703125,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-clock1,elephant4-boat3,dot,683.3697509765625,821.0515747070312,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-car2,cat7-boat3,dot,751.0894165039062,768.037841796875,0,1
resnet50,bear6-boat3,bear6,boat3,bear6-car2,car8-boat3,dot,751.0894165039062,726.9691162109375,1,0
