Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,car1-oven3,dot,925.8905029296875,652.0159912109375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,car3-oven3,dot,925.8905029296875,529.6600952148438,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,dog8-oven3,dot,925.8905029296875,601.13916015625,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,bear7-oven3,dot,925.8905029296875,682.80419921875,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,bear5-oven3,dot,925.8905029296875,688.8135986328125,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,boat2-oven3,dot,925.8905029296875,581.849609375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,boat7-oven3,dot,925.8905029296875,598.2926025390625,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,chair1-oven3,dot,925.8905029296875,627.0497436523438,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,truck6-oven3,dot,925.8905029296875,554.5436401367188,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,truck2-oven3,dot,925.8905029296875,660.61962890625,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,bird7-oven3,dot,925.8905029296875,645.2611083984375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,bird5-oven3,dot,925.8905029296875,669.3264770507812,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,airplane5-oven3,dot,925.8905029296875,634.3403930664062,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,bicycle3-oven3,dot,925.8905029296875,1028.5692138671875,0,1
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,bicycle5-oven3,dot,925.8905029296875,1047.2213134765625,0,1
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,bottle6-oven3,dot,925.8905029296875,556.0233154296875,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,keyboard10-oven3,dot,925.8905029296875,643.2366943359375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,clock8-oven3,dot,925.8905029296875,778.8446044921875,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,knife6-oven3,dot,925.8905029296875,583.7186889648438,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,knife10-oven3,dot,925.8905029296875,597.9613037109375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-cat1,elephant8-oven3,dot,925.8905029296875,716.2237548828125,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,car1-oven3,dot,938.78515625,652.0159912109375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,car3-oven3,dot,938.78515625,529.6600952148438,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,dog8-oven3,dot,938.78515625,601.13916015625,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,bear7-oven3,dot,938.78515625,682.80419921875,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,bear5-oven3,dot,938.78515625,688.8135986328125,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,boat2-oven3,dot,938.78515625,581.849609375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,boat7-oven3,dot,938.78515625,598.2926025390625,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,chair1-oven3,dot,938.78515625,627.0497436523438,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,truck6-oven3,dot,938.78515625,554.5436401367188,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,truck2-oven3,dot,938.78515625,660.61962890625,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,bird7-oven3,dot,938.78515625,645.2611083984375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,bird5-oven3,dot,938.78515625,669.3264770507812,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,airplane5-oven3,dot,938.78515625,634.3403930664062,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,bicycle3-oven3,dot,938.78515625,1028.5692138671875,0,1
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,bicycle5-oven3,dot,938.78515625,1047.2213134765625,0,1
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,bottle6-oven3,dot,938.78515625,556.0233154296875,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,keyboard10-oven3,dot,938.78515625,643.2366943359375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,clock8-oven3,dot,938.78515625,778.8446044921875,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,knife6-oven3,dot,938.78515625,583.7186889648438,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,knife10-oven3,dot,938.78515625,597.9613037109375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-boat1,elephant8-oven3,dot,938.78515625,716.2237548828125,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-airplane1,car1-oven3,dot,1003.5773315429688,652.0159912109375,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-airplane1,car3-oven3,dot,1003.5773315429688,529.6600952148438,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-airplane1,dog8-oven3,dot,1003.5773315429688,601.13916015625,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-airplane1,bear7-oven3,dot,1003.5773315429688,682.80419921875,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-airplane1,bear5-oven3,dot,1003.5773315429688,688.8135986328125,1,0
resnet50,bicycle4-oven3,bicycle4,oven3,bicycle4-airplane1,boat2-oven3,dot,1003.5773315429688,581.849609375,1,0
