Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,cat7-clock3,dot,432.42083740234375,489.769287109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,cat6-clock3,dot,432.42083740234375,535.966064453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,bear4-clock3,dot,432.42083740234375,526.5888061523438,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,boat3-clock3,dot,432.42083740234375,541.730712890625,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,boat7-clock3,dot,432.42083740234375,489.770751953125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,boat5-clock3,dot,432.42083740234375,608.8428955078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,oven3-clock3,dot,432.42083740234375,569.1629028320312,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,oven1-clock3,dot,432.42083740234375,585.2630615234375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,chair7-clock3,dot,432.42083740234375,558.5654296875,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,chair8-clock3,dot,432.42083740234375,408.415283203125,1,0
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,truck1-clock3,dot,432.42083740234375,590.5611572265625,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,truck3-clock3,dot,432.42083740234375,687.1364135742188,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,bird2-clock3,dot,432.42083740234375,584.4600830078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,airplane7-clock3,dot,432.42083740234375,461.4548645019531,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,bicycle8-clock3,dot,432.42083740234375,545.515625,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,bicycle7-clock3,dot,432.42083740234375,499.7726135253906,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,bicycle1-clock3,dot,432.42083740234375,536.175537109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,bicycle4-clock3,dot,432.42083740234375,550.041748046875,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,bottle5-clock3,dot,432.42083740234375,432.6729431152344,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,keyboard7-clock3,dot,432.42083740234375,541.3890380859375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,keyboard3-clock3,dot,432.42083740234375,445.60626220703125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,knife4-clock3,dot,432.42083740234375,546.9981689453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,elephant4-clock3,dot,432.42083740234375,553.75146484375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-oven1,elephant9-clock3,dot,432.42083740234375,508.6482849121094,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,cat7-clock3,dot,445.3008117675781,489.769287109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,cat6-clock3,dot,445.3008117675781,535.966064453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,bear4-clock3,dot,445.3008117675781,526.5888061523438,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,boat3-clock3,dot,445.3008117675781,541.730712890625,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,boat7-clock3,dot,445.3008117675781,489.770751953125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,boat5-clock3,dot,445.3008117675781,608.8428955078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,oven3-clock3,dot,445.3008117675781,569.1629028320312,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,oven1-clock3,dot,445.3008117675781,585.2630615234375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,chair7-clock3,dot,445.3008117675781,558.5654296875,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,chair8-clock3,dot,445.3008117675781,408.415283203125,1,0
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,truck1-clock3,dot,445.3008117675781,590.5611572265625,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,truck3-clock3,dot,445.3008117675781,687.1364135742188,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,bird2-clock3,dot,445.3008117675781,584.4600830078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,airplane7-clock3,dot,445.3008117675781,461.4548645019531,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,bicycle8-clock3,dot,445.3008117675781,545.515625,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,bicycle7-clock3,dot,445.3008117675781,499.7726135253906,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,bicycle1-clock3,dot,445.3008117675781,536.175537109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,bicycle4-clock3,dot,445.3008117675781,550.041748046875,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,bottle5-clock3,dot,445.3008117675781,432.6729431152344,1,0
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,keyboard7-clock3,dot,445.3008117675781,541.3890380859375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,keyboard3-clock3,dot,445.3008117675781,445.60626220703125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,knife4-clock3,dot,445.3008117675781,546.9981689453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,elephant4-clock3,dot,445.3008117675781,553.75146484375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-cat1,elephant9-clock3,dot,445.3008117675781,508.6482849121094,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,cat7-clock3,dot,488.2118835449219,489.769287109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,cat6-clock3,dot,488.2118835449219,535.966064453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,bear4-clock3,dot,488.2118835449219,526.5888061523438,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,boat3-clock3,dot,488.2118835449219,541.730712890625,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,boat7-clock3,dot,488.2118835449219,489.770751953125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,boat5-clock3,dot,488.2118835449219,608.8428955078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,oven3-clock3,dot,488.2118835449219,569.1629028320312,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,oven1-clock3,dot,488.2118835449219,585.2630615234375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,chair7-clock3,dot,488.2118835449219,558.5654296875,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,chair8-clock3,dot,488.2118835449219,408.415283203125,1,0
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,truck1-clock3,dot,488.2118835449219,590.5611572265625,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,truck3-clock3,dot,488.2118835449219,687.1364135742188,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,bird2-clock3,dot,488.2118835449219,584.4600830078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,airplane7-clock3,dot,488.2118835449219,461.4548645019531,1,0
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,bicycle8-clock3,dot,488.2118835449219,545.515625,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,bicycle7-clock3,dot,488.2118835449219,499.7726135253906,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,bicycle1-clock3,dot,488.2118835449219,536.175537109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,bicycle4-clock3,dot,488.2118835449219,550.041748046875,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,bottle5-clock3,dot,488.2118835449219,432.6729431152344,1,0
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,keyboard7-clock3,dot,488.2118835449219,541.3890380859375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,keyboard3-clock3,dot,488.2118835449219,445.60626220703125,1,0
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,knife4-clock3,dot,488.2118835449219,546.9981689453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,elephant4-clock3,dot,488.2118835449219,553.75146484375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-keyboard3,elephant9-clock3,dot,488.2118835449219,508.6482849121094,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,cat7-clock3,dot,428.4615173339844,489.769287109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,cat6-clock3,dot,428.4615173339844,535.966064453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,bear4-clock3,dot,428.4615173339844,526.5888061523438,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,boat3-clock3,dot,428.4615173339844,541.730712890625,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,boat7-clock3,dot,428.4615173339844,489.770751953125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,boat5-clock3,dot,428.4615173339844,608.8428955078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,oven3-clock3,dot,428.4615173339844,569.1629028320312,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,oven1-clock3,dot,428.4615173339844,585.2630615234375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,chair7-clock3,dot,428.4615173339844,558.5654296875,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,chair8-clock3,dot,428.4615173339844,408.415283203125,1,0
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,truck1-clock3,dot,428.4615173339844,590.5611572265625,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,truck3-clock3,dot,428.4615173339844,687.1364135742188,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,bird2-clock3,dot,428.4615173339844,584.4600830078125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,airplane7-clock3,dot,428.4615173339844,461.4548645019531,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,bicycle8-clock3,dot,428.4615173339844,545.515625,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,bicycle7-clock3,dot,428.4615173339844,499.7726135253906,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,bicycle1-clock3,dot,428.4615173339844,536.175537109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,bicycle4-clock3,dot,428.4615173339844,550.041748046875,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,bottle5-clock3,dot,428.4615173339844,432.6729431152344,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,keyboard7-clock3,dot,428.4615173339844,541.3890380859375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,keyboard3-clock3,dot,428.4615173339844,445.60626220703125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,knife4-clock3,dot,428.4615173339844,546.9981689453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,elephant4-clock3,dot,428.4615173339844,553.75146484375,0,1
resnet50,bird1-clock3,bird1,clock3,bird10-bear2,elephant9-clock3,dot,428.4615173339844,508.6482849121094,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-truck1,cat7-clock3,dot,480.84271240234375,489.769287109375,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-truck1,cat6-clock3,dot,480.84271240234375,535.966064453125,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-truck1,bear4-clock3,dot,480.84271240234375,526.5888061523438,0,1
resnet50,bird1-clock3,bird1,clock3,bird1-truck1,boat3-clock3,dot,480.84271240234375,541.730712890625,0,1
