Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,cat1-chair2,dot,532.210205078125,599.1641235351562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,cat4-chair2,dot,532.210205078125,507.6465148925781,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,cat9-chair2,dot,532.210205078125,531.380615234375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,dog9-chair2,dot,532.210205078125,458.89788818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,dog7-chair2,dot,532.210205078125,586.161865234375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bear3-chair2,dot,532.210205078125,593.0401611328125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bear1-chair2,dot,532.210205078125,553.8706665039062,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bear10-chair2,dot,532.210205078125,528.8655395507812,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,boat9-chair2,dot,532.210205078125,511.86663818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,truck7-chair2,dot,532.210205078125,558.0635375976562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,truck1-chair2,dot,532.210205078125,535.8921508789062,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,truck3-chair2,dot,532.210205078125,581.8184814453125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bird1-chair2,dot,532.210205078125,521.7572021484375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,airplane1-chair2,dot,532.210205078125,419.42138671875,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bicycle8-chair2,dot,532.210205078125,512.6651611328125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bicycle5-chair2,dot,532.210205078125,534.3009033203125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bicycle4-chair2,dot,532.210205078125,529.149658203125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bottle1-chair2,dot,532.210205078125,462.238037109375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,bottle6-chair2,dot,532.210205078125,491.3638000488281,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,keyboard8-chair2,dot,532.210205078125,547.3219604492188,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,keyboard1-chair2,dot,532.210205078125,508.9748840332031,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,keyboard9-chair2,dot,532.210205078125,575.8436279296875,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,clock8-chair2,dot,532.210205078125,588.9939575195312,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,knife7-chair2,dot,532.210205078125,521.1474609375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bicycle3,elephant9-chair2,dot,532.210205078125,505.4237365722656,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,cat1-chair2,dot,487.3173522949219,599.1641235351562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,cat4-chair2,dot,487.3173522949219,507.6465148925781,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,cat9-chair2,dot,487.3173522949219,531.380615234375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,dog9-chair2,dot,487.3173522949219,458.89788818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,dog7-chair2,dot,487.3173522949219,586.161865234375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bear3-chair2,dot,487.3173522949219,593.0401611328125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bear1-chair2,dot,487.3173522949219,553.8706665039062,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bear10-chair2,dot,487.3173522949219,528.8655395507812,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,boat9-chair2,dot,487.3173522949219,511.86663818359375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,truck7-chair2,dot,487.3173522949219,558.0635375976562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,truck1-chair2,dot,487.3173522949219,535.8921508789062,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,truck3-chair2,dot,487.3173522949219,581.8184814453125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bird1-chair2,dot,487.3173522949219,521.7572021484375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,airplane1-chair2,dot,487.3173522949219,419.42138671875,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bicycle8-chair2,dot,487.3173522949219,512.6651611328125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bicycle5-chair2,dot,487.3173522949219,534.3009033203125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bicycle4-chair2,dot,487.3173522949219,529.149658203125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bottle1-chair2,dot,487.3173522949219,462.238037109375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,bottle6-chair2,dot,487.3173522949219,491.3638000488281,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,keyboard8-chair2,dot,487.3173522949219,547.3219604492188,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,keyboard1-chair2,dot,487.3173522949219,508.9748840332031,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,keyboard9-chair2,dot,487.3173522949219,575.8436279296875,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,clock8-chair2,dot,487.3173522949219,588.9939575195312,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,knife7-chair2,dot,487.3173522949219,521.1474609375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-elephant2,elephant9-chair2,dot,487.3173522949219,505.4237365722656,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,cat1-chair2,dot,565.8363037109375,599.1641235351562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,cat4-chair2,dot,565.8363037109375,507.6465148925781,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,cat9-chair2,dot,565.8363037109375,531.380615234375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,dog9-chair2,dot,565.8363037109375,458.89788818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,dog7-chair2,dot,565.8363037109375,586.161865234375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bear3-chair2,dot,565.8363037109375,593.0401611328125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bear1-chair2,dot,565.8363037109375,553.8706665039062,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bear10-chair2,dot,565.8363037109375,528.8655395507812,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,boat9-chair2,dot,565.8363037109375,511.86663818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,truck7-chair2,dot,565.8363037109375,558.0635375976562,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,truck1-chair2,dot,565.8363037109375,535.8921508789062,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,truck3-chair2,dot,565.8363037109375,581.8184814453125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bird1-chair2,dot,565.8363037109375,521.7572021484375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,airplane1-chair2,dot,565.8363037109375,419.42138671875,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bicycle8-chair2,dot,565.8363037109375,512.6651611328125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bicycle5-chair2,dot,565.8363037109375,534.3009033203125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bicycle4-chair2,dot,565.8363037109375,529.149658203125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bottle1-chair2,dot,565.8363037109375,462.238037109375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,bottle6-chair2,dot,565.8363037109375,491.3638000488281,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,keyboard8-chair2,dot,565.8363037109375,547.3219604492188,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,keyboard1-chair2,dot,565.8363037109375,508.9748840332031,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,keyboard9-chair2,dot,565.8363037109375,575.8436279296875,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,clock8-chair2,dot,565.8363037109375,588.9939575195312,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,knife7-chair2,dot,565.8363037109375,521.1474609375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-bottle2,elephant9-chair2,dot,565.8363037109375,505.4237365722656,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,cat1-chair2,dot,517.344482421875,599.1641235351562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,cat4-chair2,dot,517.344482421875,507.6465148925781,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,cat9-chair2,dot,517.344482421875,531.380615234375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,dog9-chair2,dot,517.344482421875,458.89788818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,dog7-chair2,dot,517.344482421875,586.161865234375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bear3-chair2,dot,517.344482421875,593.0401611328125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bear1-chair2,dot,517.344482421875,553.8706665039062,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bear10-chair2,dot,517.344482421875,528.8655395507812,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,boat9-chair2,dot,517.344482421875,511.86663818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,truck7-chair2,dot,517.344482421875,558.0635375976562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,truck1-chair2,dot,517.344482421875,535.8921508789062,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,truck3-chair2,dot,517.344482421875,581.8184814453125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bird1-chair2,dot,517.344482421875,521.7572021484375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,airplane1-chair2,dot,517.344482421875,419.42138671875,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bicycle8-chair2,dot,517.344482421875,512.6651611328125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bicycle5-chair2,dot,517.344482421875,534.3009033203125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bicycle4-chair2,dot,517.344482421875,529.149658203125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bottle1-chair2,dot,517.344482421875,462.238037109375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,bottle6-chair2,dot,517.344482421875,491.3638000488281,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,keyboard8-chair2,dot,517.344482421875,547.3219604492188,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,keyboard1-chair2,dot,517.344482421875,508.9748840332031,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,keyboard9-chair2,dot,517.344482421875,575.8436279296875,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,clock8-chair2,dot,517.344482421875,588.9939575195312,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,knife7-chair2,dot,517.344482421875,521.1474609375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-dog2,elephant9-chair2,dot,517.344482421875,505.4237365722656,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,cat1-chair2,dot,541.123046875,599.1641235351562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,cat4-chair2,dot,541.123046875,507.6465148925781,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,cat9-chair2,dot,541.123046875,531.380615234375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,dog9-chair2,dot,541.123046875,458.89788818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,dog7-chair2,dot,541.123046875,586.161865234375,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bear3-chair2,dot,541.123046875,593.0401611328125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bear1-chair2,dot,541.123046875,553.8706665039062,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bear10-chair2,dot,541.123046875,528.8655395507812,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,boat9-chair2,dot,541.123046875,511.86663818359375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,truck7-chair2,dot,541.123046875,558.0635375976562,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,truck1-chair2,dot,541.123046875,535.8921508789062,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,truck3-chair2,dot,541.123046875,581.8184814453125,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bird1-chair2,dot,541.123046875,521.7572021484375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,airplane1-chair2,dot,541.123046875,419.42138671875,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bicycle8-chair2,dot,541.123046875,512.6651611328125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bicycle5-chair2,dot,541.123046875,534.3009033203125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bicycle4-chair2,dot,541.123046875,529.149658203125,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bottle1-chair2,dot,541.123046875,462.238037109375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,bottle6-chair2,dot,541.123046875,491.3638000488281,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,keyboard8-chair2,dot,541.123046875,547.3219604492188,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,keyboard1-chair2,dot,541.123046875,508.9748840332031,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,keyboard9-chair2,dot,541.123046875,575.8436279296875,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,clock8-chair2,dot,541.123046875,588.9939575195312,0,1
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,knife7-chair2,dot,541.123046875,521.1474609375,1,0
resnet50,boat4-chair2,boat4,chair2,boat4-knife2,elephant9-chair2,dot,541.123046875,505.4237365722656,1,0
