Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,cat8-bicycle3,dot,560.8764038085938,600.3851928710938,0,1
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,cat5-bicycle3,dot,560.8764038085938,552.0289916992188,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,car4-bicycle3,dot,560.8764038085938,588.4530029296875,0,1
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,car6-bicycle3,dot,560.8764038085938,527.936279296875,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,dog9-bicycle3,dot,560.8764038085938,519.5813598632812,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bear5-bicycle3,dot,560.8764038085938,517.582763671875,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bear8-bicycle3,dot,560.8764038085938,484.07550048828125,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bear1-bicycle3,dot,560.8764038085938,558.0098266601562,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,boat4-bicycle3,dot,560.8764038085938,608.4739990234375,0,1
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,boat5-bicycle3,dot,560.8764038085938,547.0505981445312,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,chair8-bicycle3,dot,560.8764038085938,479.0481872558594,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,chair9-bicycle3,dot,560.8764038085938,555.9229736328125,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,chair3-bicycle3,dot,560.8764038085938,511.7162170410156,1,0
resnet50,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,truck1-bicycle3,dot,560.8764038085938,531.482177734375,1,0
