Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,cat10-airplane3,dot,548.03125,633.39453125,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,car3-airplane3,dot,548.03125,518.5128173828125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,car8-airplane3,dot,548.03125,581.5384521484375,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,car5-airplane3,dot,548.03125,517.703125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,dog9-airplane3,dot,548.03125,473.7286376953125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,dog4-airplane3,dot,548.03125,529.2440795898438,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,dog1-airplane3,dot,548.03125,550.7501220703125,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,bear1-airplane3,dot,548.03125,630.9298095703125,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,bear5-airplane3,dot,548.03125,544.5086669921875,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,oven6-airplane3,dot,548.03125,524.8736572265625,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,truck4-airplane3,dot,548.03125,529.6666259765625,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,truck2-airplane3,dot,548.03125,522.9571533203125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,bird2-airplane3,dot,548.03125,619.194091796875,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,bird5-airplane3,dot,548.03125,532.4085083007812,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,keyboard10-airplane3,dot,548.03125,577.984130859375,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,keyboard9-airplane3,dot,548.03125,584.190673828125,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,keyboard5-airplane3,dot,548.03125,467.6003112792969,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,knife4-airplane3,dot,548.03125,638.715576171875,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,knife7-airplane3,dot,548.03125,557.03173828125,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,elephant7-airplane3,dot,548.03125,524.28125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,elephant2-airplane3,dot,548.03125,529.906982421875,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-elephant2,elephant8-airplane3,dot,548.03125,588.1070556640625,0,1
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,cat10-airplane3,dot,668.1363525390625,633.39453125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,car3-airplane3,dot,668.1363525390625,518.5128173828125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,car8-airplane3,dot,668.1363525390625,581.5384521484375,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,car5-airplane3,dot,668.1363525390625,517.703125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,dog9-airplane3,dot,668.1363525390625,473.7286376953125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,dog4-airplane3,dot,668.1363525390625,529.2440795898438,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,dog1-airplane3,dot,668.1363525390625,550.7501220703125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,bear1-airplane3,dot,668.1363525390625,630.9298095703125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,bear5-airplane3,dot,668.1363525390625,544.5086669921875,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,oven6-airplane3,dot,668.1363525390625,524.8736572265625,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,truck4-airplane3,dot,668.1363525390625,529.6666259765625,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,truck2-airplane3,dot,668.1363525390625,522.9571533203125,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,bird2-airplane3,dot,668.1363525390625,619.194091796875,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,bird5-airplane3,dot,668.1363525390625,532.4085083007812,1,0
resnet50,bottle7-airplane3,bottle7,airplane3,bottle7-oven2,keyboard10-airplane3,dot,668.1363525390625,577.984130859375,1,0
