Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car1-oven3,car1,oven3,car10-dog1,car3-oven3,dot,472.768310546875,653.9404296875,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,dog8-oven3,dot,472.768310546875,679.1383666992188,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bear7-oven3,dot,472.768310546875,881.981689453125,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bear5-oven3,dot,472.768310546875,819.9456787109375,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,boat2-oven3,dot,472.768310546875,627.6763916015625,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,boat7-oven3,dot,472.768310546875,664.8587036132812,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,chair1-oven3,dot,472.768310546875,658.63525390625,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,truck6-oven3,dot,472.768310546875,610.938232421875,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,truck2-oven3,dot,472.768310546875,778.961669921875,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bird7-oven3,dot,472.768310546875,614.2799072265625,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bird5-oven3,dot,472.768310546875,744.7041015625,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,airplane5-oven3,dot,472.768310546875,645.2892456054688,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bicycle4-oven3,dot,472.768310546875,652.0159912109375,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bicycle3-oven3,dot,472.768310546875,657.5197143554688,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bicycle5-oven3,dot,472.768310546875,608.6826171875,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,bottle6-oven3,dot,472.768310546875,562.1683959960938,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,keyboard10-oven3,dot,472.768310546875,779.4600830078125,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,clock8-oven3,dot,472.768310546875,745.5707397460938,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,knife6-oven3,dot,472.768310546875,491.7154235839844,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,knife10-oven3,dot,472.768310546875,636.25634765625,0,1
resnet50,car1-oven3,car1,oven3,car10-dog1,elephant8-oven3,dot,472.768310546875,841.0443115234375,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,car3-oven3,dot,533.6148681640625,653.9404296875,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,dog8-oven3,dot,533.6148681640625,679.1383666992188,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bear7-oven3,dot,533.6148681640625,881.981689453125,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bear5-oven3,dot,533.6148681640625,819.9456787109375,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,boat2-oven3,dot,533.6148681640625,627.6763916015625,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,boat7-oven3,dot,533.6148681640625,664.8587036132812,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,chair1-oven3,dot,533.6148681640625,658.63525390625,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,truck6-oven3,dot,533.6148681640625,610.938232421875,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,truck2-oven3,dot,533.6148681640625,778.961669921875,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bird7-oven3,dot,533.6148681640625,614.2799072265625,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bird5-oven3,dot,533.6148681640625,744.7041015625,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,airplane5-oven3,dot,533.6148681640625,645.2892456054688,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bicycle4-oven3,dot,533.6148681640625,652.0159912109375,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bicycle3-oven3,dot,533.6148681640625,657.5197143554688,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bicycle5-oven3,dot,533.6148681640625,608.6826171875,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,bottle6-oven3,dot,533.6148681640625,562.1683959960938,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,keyboard10-oven3,dot,533.6148681640625,779.4600830078125,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,clock8-oven3,dot,533.6148681640625,745.5707397460938,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,knife6-oven3,dot,533.6148681640625,491.7154235839844,1,0
resnet50,car1-oven3,car1,oven3,car10-chair1,knife10-oven3,dot,533.6148681640625,636.25634765625,0,1
resnet50,car1-oven3,car1,oven3,car10-chair1,elephant8-oven3,dot,533.6148681640625,841.0443115234375,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,car3-oven3,dot,423.6229248046875,653.9404296875,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,dog8-oven3,dot,423.6229248046875,679.1383666992188,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bear7-oven3,dot,423.6229248046875,881.981689453125,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bear5-oven3,dot,423.6229248046875,819.9456787109375,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,boat2-oven3,dot,423.6229248046875,627.6763916015625,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,boat7-oven3,dot,423.6229248046875,664.8587036132812,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,chair1-oven3,dot,423.6229248046875,658.63525390625,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,truck6-oven3,dot,423.6229248046875,610.938232421875,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,truck2-oven3,dot,423.6229248046875,778.961669921875,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bird7-oven3,dot,423.6229248046875,614.2799072265625,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bird5-oven3,dot,423.6229248046875,744.7041015625,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,airplane5-oven3,dot,423.6229248046875,645.2892456054688,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bicycle4-oven3,dot,423.6229248046875,652.0159912109375,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bicycle3-oven3,dot,423.6229248046875,657.5197143554688,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bicycle5-oven3,dot,423.6229248046875,608.6826171875,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,bottle6-oven3,dot,423.6229248046875,562.1683959960938,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,keyboard10-oven3,dot,423.6229248046875,779.4600830078125,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,clock8-oven3,dot,423.6229248046875,745.5707397460938,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,knife6-oven3,dot,423.6229248046875,491.7154235839844,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,knife10-oven3,dot,423.6229248046875,636.25634765625,0,1
resnet50,car1-oven3,car1,oven3,car10-elephant2,elephant8-oven3,dot,423.6229248046875,841.0443115234375,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,car3-oven3,dot,636.7249755859375,653.9404296875,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,dog8-oven3,dot,636.7249755859375,679.1383666992188,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bear7-oven3,dot,636.7249755859375,881.981689453125,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bear5-oven3,dot,636.7249755859375,819.9456787109375,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,boat2-oven3,dot,636.7249755859375,627.6763916015625,1,0
resnet50,car1-oven3,car1,oven3,car1-keyboard2,boat7-oven3,dot,636.7249755859375,664.8587036132812,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,chair1-oven3,dot,636.7249755859375,658.63525390625,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,truck6-oven3,dot,636.7249755859375,610.938232421875,1,0
resnet50,car1-oven3,car1,oven3,car1-keyboard2,truck2-oven3,dot,636.7249755859375,778.961669921875,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bird7-oven3,dot,636.7249755859375,614.2799072265625,1,0
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bird5-oven3,dot,636.7249755859375,744.7041015625,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,airplane5-oven3,dot,636.7249755859375,645.2892456054688,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bicycle4-oven3,dot,636.7249755859375,652.0159912109375,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bicycle3-oven3,dot,636.7249755859375,657.5197143554688,0,1
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bicycle5-oven3,dot,636.7249755859375,608.6826171875,1,0
resnet50,car1-oven3,car1,oven3,car1-keyboard2,bottle6-oven3,dot,636.7249755859375,562.1683959960938,1,0
