Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car6-knife1,car6,knife1,car6-truck3,cat4-knife1,dot,621.8965454101562,648.115234375,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,car9-knife1,dot,621.8965454101562,676.8590698242188,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,bear4-knife1,dot,621.8965454101562,554.8497314453125,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,boat8-knife1,dot,621.8965454101562,653.584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,oven3-knife1,dot,621.8965454101562,654.8123779296875,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,chair3-knife1,dot,621.8965454101562,574.4730224609375,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,chair2-knife1,dot,621.8965454101562,597.75390625,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,truck1-knife1,dot,621.8965454101562,650.5584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,truck4-knife1,dot,621.8965454101562,690.142822265625,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,bird2-knife1,dot,621.8965454101562,614.77734375,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,airplane5-knife1,dot,621.8965454101562,583.884765625,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,airplane6-knife1,dot,621.8965454101562,580.0142822265625,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,airplane4-knife1,dot,621.8965454101562,620.8828735351562,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,bottle8-knife1,dot,621.8965454101562,554.3286743164062,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,bottle5-knife1,dot,621.8965454101562,507.1077575683594,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,keyboard7-knife1,dot,621.8965454101562,635.4784545898438,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,keyboard2-knife1,dot,621.8965454101562,663.2981567382812,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,clock4-knife1,dot,621.8965454101562,747.2171630859375,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,clock2-knife1,dot,621.8965454101562,632.7314453125,0,1
resnet50,car6-knife1,car6,knife1,car6-truck3,clock8-knife1,dot,621.8965454101562,592.385498046875,1,0
resnet50,car6-knife1,car6,knife1,car6-truck3,elephant3-knife1,dot,621.8965454101562,681.6929931640625,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,cat4-knife1,dot,621.4864501953125,648.115234375,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,car9-knife1,dot,621.4864501953125,676.8590698242188,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,bear4-knife1,dot,621.4864501953125,554.8497314453125,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,boat8-knife1,dot,621.4864501953125,653.584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,oven3-knife1,dot,621.4864501953125,654.8123779296875,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,chair3-knife1,dot,621.4864501953125,574.4730224609375,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,chair2-knife1,dot,621.4864501953125,597.75390625,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,truck1-knife1,dot,621.4864501953125,650.5584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,truck4-knife1,dot,621.4864501953125,690.142822265625,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,bird2-knife1,dot,621.4864501953125,614.77734375,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,airplane5-knife1,dot,621.4864501953125,583.884765625,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,airplane6-knife1,dot,621.4864501953125,580.0142822265625,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,airplane4-knife1,dot,621.4864501953125,620.8828735351562,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,bottle8-knife1,dot,621.4864501953125,554.3286743164062,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,bottle5-knife1,dot,621.4864501953125,507.1077575683594,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,keyboard7-knife1,dot,621.4864501953125,635.4784545898438,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,keyboard2-knife1,dot,621.4864501953125,663.2981567382812,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,clock4-knife1,dot,621.4864501953125,747.2171630859375,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,clock2-knife1,dot,621.4864501953125,632.7314453125,0,1
resnet50,car6-knife1,car6,knife1,car6-bottle1,clock8-knife1,dot,621.4864501953125,592.385498046875,1,0
resnet50,car6-knife1,car6,knife1,car6-bottle1,elephant3-knife1,dot,621.4864501953125,681.6929931640625,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,cat4-knife1,dot,489.3038330078125,648.115234375,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,car9-knife1,dot,489.3038330078125,676.8590698242188,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,bear4-knife1,dot,489.3038330078125,554.8497314453125,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,boat8-knife1,dot,489.3038330078125,653.584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,oven3-knife1,dot,489.3038330078125,654.8123779296875,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,chair3-knife1,dot,489.3038330078125,574.4730224609375,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,chair2-knife1,dot,489.3038330078125,597.75390625,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,truck1-knife1,dot,489.3038330078125,650.5584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,truck4-knife1,dot,489.3038330078125,690.142822265625,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,bird2-knife1,dot,489.3038330078125,614.77734375,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,airplane5-knife1,dot,489.3038330078125,583.884765625,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,airplane6-knife1,dot,489.3038330078125,580.0142822265625,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,airplane4-knife1,dot,489.3038330078125,620.8828735351562,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,bottle8-knife1,dot,489.3038330078125,554.3286743164062,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,bottle5-knife1,dot,489.3038330078125,507.1077575683594,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,keyboard7-knife1,dot,489.3038330078125,635.4784545898438,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,keyboard2-knife1,dot,489.3038330078125,663.2981567382812,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,clock4-knife1,dot,489.3038330078125,747.2171630859375,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,clock2-knife1,dot,489.3038330078125,632.7314453125,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,clock8-knife1,dot,489.3038330078125,592.385498046875,0,1
resnet50,car6-knife1,car6,knife1,car6-elephant3,elephant3-knife1,dot,489.3038330078125,681.6929931640625,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,cat4-knife1,dot,599.7137451171875,648.115234375,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,car9-knife1,dot,599.7137451171875,676.8590698242188,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,bear4-knife1,dot,599.7137451171875,554.8497314453125,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,boat8-knife1,dot,599.7137451171875,653.584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,oven3-knife1,dot,599.7137451171875,654.8123779296875,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,chair3-knife1,dot,599.7137451171875,574.4730224609375,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,chair2-knife1,dot,599.7137451171875,597.75390625,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,truck1-knife1,dot,599.7137451171875,650.5584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,truck4-knife1,dot,599.7137451171875,690.142822265625,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,bird2-knife1,dot,599.7137451171875,614.77734375,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,airplane5-knife1,dot,599.7137451171875,583.884765625,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,airplane6-knife1,dot,599.7137451171875,580.0142822265625,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,airplane4-knife1,dot,599.7137451171875,620.8828735351562,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,bottle8-knife1,dot,599.7137451171875,554.3286743164062,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,bottle5-knife1,dot,599.7137451171875,507.1077575683594,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,keyboard7-knife1,dot,599.7137451171875,635.4784545898438,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,keyboard2-knife1,dot,599.7137451171875,663.2981567382812,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,clock4-knife1,dot,599.7137451171875,747.2171630859375,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,clock2-knife1,dot,599.7137451171875,632.7314453125,0,1
resnet50,car6-knife1,car6,knife1,car6-bear1,clock8-knife1,dot,599.7137451171875,592.385498046875,1,0
resnet50,car6-knife1,car6,knife1,car6-bear1,elephant3-knife1,dot,599.7137451171875,681.6929931640625,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,cat4-knife1,dot,586.7008056640625,648.115234375,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,car9-knife1,dot,586.7008056640625,676.8590698242188,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,bear4-knife1,dot,586.7008056640625,554.8497314453125,1,0
resnet50,car6-knife1,car6,knife1,car6-boat1,boat8-knife1,dot,586.7008056640625,653.584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,oven3-knife1,dot,586.7008056640625,654.8123779296875,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,chair3-knife1,dot,586.7008056640625,574.4730224609375,1,0
resnet50,car6-knife1,car6,knife1,car6-boat1,chair2-knife1,dot,586.7008056640625,597.75390625,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,truck1-knife1,dot,586.7008056640625,650.5584716796875,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,truck4-knife1,dot,586.7008056640625,690.142822265625,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,bird2-knife1,dot,586.7008056640625,614.77734375,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,airplane5-knife1,dot,586.7008056640625,583.884765625,1,0
resnet50,car6-knife1,car6,knife1,car6-boat1,airplane6-knife1,dot,586.7008056640625,580.0142822265625,1,0
resnet50,car6-knife1,car6,knife1,car6-boat1,airplane4-knife1,dot,586.7008056640625,620.8828735351562,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,bottle8-knife1,dot,586.7008056640625,554.3286743164062,1,0
resnet50,car6-knife1,car6,knife1,car6-boat1,bottle5-knife1,dot,586.7008056640625,507.1077575683594,1,0
resnet50,car6-knife1,car6,knife1,car6-boat1,keyboard7-knife1,dot,586.7008056640625,635.4784545898438,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,keyboard2-knife1,dot,586.7008056640625,663.2981567382812,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,clock4-knife1,dot,586.7008056640625,747.2171630859375,0,1
resnet50,car6-knife1,car6,knife1,car6-boat1,clock2-knife1,dot,586.7008056640625,632.7314453125,0,1
