Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car7-elephant3,car7,elephant3,car7-oven2,cat10-elephant3,dot,445.5045471191406,618.2749633789062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,car3-elephant3,dot,445.5045471191406,667.2647705078125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,car4-elephant3,dot,445.5045471191406,662.516357421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,car6-elephant3,dot,445.5045471191406,678.8685302734375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,boat7-elephant3,dot,445.5045471191406,543.870361328125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,boat1-elephant3,dot,445.5045471191406,705.7469482421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,oven4-elephant3,dot,445.5045471191406,671.6509399414062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,oven3-elephant3,dot,445.5045471191406,555.7119750976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,truck10-elephant3,dot,445.5045471191406,802.0088500976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,airplane8-elephant3,dot,445.5045471191406,566.4091796875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,bottle8-elephant3,dot,445.5045471191406,585.6162109375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,keyboard1-elephant3,dot,445.5045471191406,574.03076171875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,clock3-elephant3,dot,445.5045471191406,526.5711669921875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-oven2,knife10-elephant3,dot,445.5045471191406,650.2300415039062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,cat10-elephant3,dot,411.61962890625,618.2749633789062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,car3-elephant3,dot,411.61962890625,667.2647705078125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,car4-elephant3,dot,411.61962890625,662.516357421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,car6-elephant3,dot,411.61962890625,678.8685302734375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,boat7-elephant3,dot,411.61962890625,543.870361328125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,boat1-elephant3,dot,411.61962890625,705.7469482421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,oven4-elephant3,dot,411.61962890625,671.6509399414062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,oven3-elephant3,dot,411.61962890625,555.7119750976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,truck10-elephant3,dot,411.61962890625,802.0088500976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,airplane8-elephant3,dot,411.61962890625,566.4091796875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,bottle8-elephant3,dot,411.61962890625,585.6162109375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,keyboard1-elephant3,dot,411.61962890625,574.03076171875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,clock3-elephant3,dot,411.61962890625,526.5711669921875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-airplane2,knife10-elephant3,dot,411.61962890625,650.2300415039062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,cat10-elephant3,dot,448.0495300292969,618.2749633789062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,car3-elephant3,dot,448.0495300292969,667.2647705078125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,car4-elephant3,dot,448.0495300292969,662.516357421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,car6-elephant3,dot,448.0495300292969,678.8685302734375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,boat7-elephant3,dot,448.0495300292969,543.870361328125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,boat1-elephant3,dot,448.0495300292969,705.7469482421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,oven4-elephant3,dot,448.0495300292969,671.6509399414062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,oven3-elephant3,dot,448.0495300292969,555.7119750976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,truck10-elephant3,dot,448.0495300292969,802.0088500976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,airplane8-elephant3,dot,448.0495300292969,566.4091796875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,bottle8-elephant3,dot,448.0495300292969,585.6162109375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,keyboard1-elephant3,dot,448.0495300292969,574.03076171875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,clock3-elephant3,dot,448.0495300292969,526.5711669921875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-clock1,knife10-elephant3,dot,448.0495300292969,650.2300415039062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,cat10-elephant3,dot,561.831298828125,618.2749633789062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,car3-elephant3,dot,561.831298828125,667.2647705078125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,car4-elephant3,dot,561.831298828125,662.516357421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,car6-elephant3,dot,561.831298828125,678.8685302734375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,boat7-elephant3,dot,561.831298828125,543.870361328125,1,0
resnet50,car7-elephant3,car7,elephant3,car7-bear1,boat1-elephant3,dot,561.831298828125,705.7469482421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,oven4-elephant3,dot,561.831298828125,671.6509399414062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,oven3-elephant3,dot,561.831298828125,555.7119750976562,1,0
resnet50,car7-elephant3,car7,elephant3,car7-bear1,truck10-elephant3,dot,561.831298828125,802.0088500976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,airplane8-elephant3,dot,561.831298828125,566.4091796875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,bottle8-elephant3,dot,561.831298828125,585.6162109375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,keyboard1-elephant3,dot,561.831298828125,574.03076171875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-bear1,clock3-elephant3,dot,561.831298828125,526.5711669921875,1,0
resnet50,car7-elephant3,car7,elephant3,car7-bear1,knife10-elephant3,dot,561.831298828125,650.2300415039062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,cat10-elephant3,dot,465.8245544433594,618.2749633789062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,car3-elephant3,dot,465.8245544433594,667.2647705078125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,car4-elephant3,dot,465.8245544433594,662.516357421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,car6-elephant3,dot,465.8245544433594,678.8685302734375,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,boat7-elephant3,dot,465.8245544433594,543.870361328125,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,boat1-elephant3,dot,465.8245544433594,705.7469482421875,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,oven4-elephant3,dot,465.8245544433594,671.6509399414062,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,oven3-elephant3,dot,465.8245544433594,555.7119750976562,0,1
resnet50,car7-elephant3,car7,elephant3,car7-keyboard3,truck10-elephant3,dot,465.8245544433594,802.0088500976562,0,1
