Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat2-car3,cat2,car3,cat2-knife3,dog10-car3,dot,561.7339477539062,627.9089965820312,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,dog5-car3,dot,561.7339477539062,625.5416870117188,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,bear4-car3,dot,561.7339477539062,530.670166015625,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,boat3-car3,dot,561.7339477539062,565.976318359375,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,boat4-car3,dot,561.7339477539062,514.4542236328125,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,boat5-car3,dot,561.7339477539062,631.874755859375,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,oven7-car3,dot,561.7339477539062,536.15380859375,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,chair3-car3,dot,561.7339477539062,627.4134521484375,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,truck10-car3,dot,561.7339477539062,577.8466796875,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,truck1-car3,dot,561.7339477539062,572.3477783203125,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,truck3-car3,dot,561.7339477539062,606.7435913085938,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,truck2-car3,dot,561.7339477539062,558.7308349609375,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,bird6-car3,dot,561.7339477539062,668.0238037109375,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,bird2-car3,dot,561.7339477539062,623.7506103515625,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,airplane10-car3,dot,561.7339477539062,566.524169921875,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,bicycle5-car3,dot,561.7339477539062,559.76123046875,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,bottle9-car3,dot,561.7339477539062,554.06005859375,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,bottle4-car3,dot,561.7339477539062,573.174560546875,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,keyboard1-car3,dot,561.7339477539062,555.0621337890625,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,keyboard7-car3,dot,561.7339477539062,612.2467041015625,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,knife1-car3,dot,561.7339477539062,590.9856567382812,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,knife2-car3,dot,561.7339477539062,572.1484985351562,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,elephant7-car3,dot,561.7339477539062,560.1752319335938,1,0
resnet50,cat2-car3,cat2,car3,cat2-knife3,elephant6-car3,dot,561.7339477539062,579.1336059570312,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,elephant1-car3,dot,561.7339477539062,618.2685546875,0,1
resnet50,cat2-car3,cat2,car3,cat2-knife3,elephant4-car3,dot,561.7339477539062,595.6430053710938,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,dog10-car3,dot,476.9522705078125,627.9089965820312,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,dog5-car3,dot,476.9522705078125,625.5416870117188,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,bear4-car3,dot,476.9522705078125,530.670166015625,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,boat3-car3,dot,476.9522705078125,565.976318359375,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,boat4-car3,dot,476.9522705078125,514.4542236328125,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,boat5-car3,dot,476.9522705078125,631.874755859375,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,oven7-car3,dot,476.9522705078125,536.15380859375,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,chair3-car3,dot,476.9522705078125,627.4134521484375,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,truck10-car3,dot,476.9522705078125,577.8466796875,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,truck1-car3,dot,476.9522705078125,572.3477783203125,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,truck3-car3,dot,476.9522705078125,606.7435913085938,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,truck2-car3,dot,476.9522705078125,558.7308349609375,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,bird6-car3,dot,476.9522705078125,668.0238037109375,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,bird2-car3,dot,476.9522705078125,623.7506103515625,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,airplane10-car3,dot,476.9522705078125,566.524169921875,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,bicycle5-car3,dot,476.9522705078125,559.76123046875,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,bottle9-car3,dot,476.9522705078125,554.06005859375,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,bottle4-car3,dot,476.9522705078125,573.174560546875,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,keyboard1-car3,dot,476.9522705078125,555.0621337890625,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,keyboard7-car3,dot,476.9522705078125,612.2467041015625,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,knife1-car3,dot,476.9522705078125,590.9856567382812,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,knife2-car3,dot,476.9522705078125,572.1484985351562,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,elephant7-car3,dot,476.9522705078125,560.1752319335938,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,elephant6-car3,dot,476.9522705078125,579.1336059570312,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,elephant1-car3,dot,476.9522705078125,618.2685546875,0,1
resnet50,cat2-car3,cat2,car3,cat2-elephant1,elephant4-car3,dot,476.9522705078125,595.6430053710938,0,1
resnet50,cat2-car3,cat2,car3,cat2-boat2,dog10-car3,dot,636.0165405273438,627.9089965820312,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,dog5-car3,dot,636.0165405273438,625.5416870117188,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,bear4-car3,dot,636.0165405273438,530.670166015625,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,boat3-car3,dot,636.0165405273438,565.976318359375,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,boat4-car3,dot,636.0165405273438,514.4542236328125,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,boat5-car3,dot,636.0165405273438,631.874755859375,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,oven7-car3,dot,636.0165405273438,536.15380859375,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,chair3-car3,dot,636.0165405273438,627.4134521484375,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,truck10-car3,dot,636.0165405273438,577.8466796875,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,truck1-car3,dot,636.0165405273438,572.3477783203125,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,truck3-car3,dot,636.0165405273438,606.7435913085938,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,truck2-car3,dot,636.0165405273438,558.7308349609375,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,bird6-car3,dot,636.0165405273438,668.0238037109375,0,1
resnet50,cat2-car3,cat2,car3,cat2-boat2,bird2-car3,dot,636.0165405273438,623.7506103515625,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,airplane10-car3,dot,636.0165405273438,566.524169921875,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,bicycle5-car3,dot,636.0165405273438,559.76123046875,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,bottle9-car3,dot,636.0165405273438,554.06005859375,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,bottle4-car3,dot,636.0165405273438,573.174560546875,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,keyboard1-car3,dot,636.0165405273438,555.0621337890625,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,keyboard7-car3,dot,636.0165405273438,612.2467041015625,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,knife1-car3,dot,636.0165405273438,590.9856567382812,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,knife2-car3,dot,636.0165405273438,572.1484985351562,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,elephant7-car3,dot,636.0165405273438,560.1752319335938,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,elephant6-car3,dot,636.0165405273438,579.1336059570312,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,elephant1-car3,dot,636.0165405273438,618.2685546875,1,0
resnet50,cat2-car3,cat2,car3,cat2-boat2,elephant4-car3,dot,636.0165405273438,595.6430053710938,1,0
resnet50,cat2-car3,cat2,car3,cat2-truck3,dog10-car3,dot,642.4118041992188,627.9089965820312,1,0
resnet50,cat2-car3,cat2,car3,cat2-truck3,dog5-car3,dot,642.4118041992188,625.5416870117188,1,0
resnet50,cat2-car3,cat2,car3,cat2-truck3,bear4-car3,dot,642.4118041992188,530.670166015625,1,0
resnet50,cat2-car3,cat2,car3,cat2-truck3,boat3-car3,dot,642.4118041992188,565.976318359375,1,0
