Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair10-car2,chair10,car2,chair10-bottle3,cat8-car2,dot,918.3533325195312,803.7232055664062,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,cat4-car2,dot,918.3533325195312,740.221435546875,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,cat5-car2,dot,918.3533325195312,796.6050415039062,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,cat1-car2,dot,918.3533325195312,735.6596069335938,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,dog1-car2,dot,918.3533325195312,716.54296875,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,dog7-car2,dot,918.3533325195312,726.0655517578125,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,bear3-car2,dot,918.3533325195312,803.471435546875,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,bear2-car2,dot,918.3533325195312,776.7213134765625,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,bear10-car2,dot,918.3533325195312,782.1558227539062,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,bear6-car2,dot,918.3533325195312,844.9376220703125,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,boat1-car2,dot,918.3533325195312,792.15771484375,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,oven3-car2,dot,918.3533325195312,893.4962768554688,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,oven9-car2,dot,918.3533325195312,738.38134765625,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,chair7-car2,dot,918.3533325195312,868.0819091796875,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,bird7-car2,dot,918.3533325195312,644.884033203125,1,0
resnet50,chair10-car2,chair10,car2,chair10-bottle3,bird8-car2,dot,918.3533325195312,868.376708984375,1,0
