Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,car5-cat1,dot,811.639892578125,686.5501708984375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,car9-cat1,dot,811.639892578125,808.6341552734375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,car8-cat1,dot,811.639892578125,814.762451171875,0,1
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,dog2-cat1,dot,811.639892578125,649.9200439453125,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,dog9-cat1,dot,811.639892578125,817.0926513671875,0,1
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,dog6-cat1,dot,811.639892578125,755.578125,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bear3-cat1,dot,811.639892578125,738.114990234375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,boat6-cat1,dot,811.639892578125,612.0260009765625,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,boat10-cat1,dot,811.639892578125,683.3090209960938,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,oven7-cat1,dot,811.639892578125,859.2935791015625,0,1
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,oven1-cat1,dot,811.639892578125,784.5053100585938,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,chair7-cat1,dot,811.639892578125,795.525390625,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,truck1-cat1,dot,811.639892578125,724.3382568359375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,truck3-cat1,dot,811.639892578125,822.0347900390625,0,1
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bird10-cat1,dot,811.639892578125,683.013916015625,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bird3-cat1,dot,811.639892578125,722.3680419921875,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,airplane3-cat1,dot,811.639892578125,627.20703125,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,airplane2-cat1,dot,811.639892578125,741.5927734375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bicycle4-cat1,dot,811.639892578125,673.3125,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bicycle5-cat1,dot,811.639892578125,767.2621459960938,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bicycle7-cat1,dot,811.639892578125,655.4537963867188,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bicycle6-cat1,dot,811.639892578125,747.4830932617188,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,bottle5-cat1,dot,811.639892578125,668.34765625,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,keyboard5-cat1,dot,811.639892578125,657.1600341796875,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,keyboard3-cat1,dot,811.639892578125,635.2373657226562,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,keyboard9-cat1,dot,811.639892578125,657.411865234375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,clock3-cat1,dot,811.639892578125,654.7310180664062,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,clock9-cat1,dot,811.639892578125,627.2025146484375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,clock8-cat1,dot,811.639892578125,768.0514526367188,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,clock10-cat1,dot,811.639892578125,770.2572021484375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,knife3-cat1,dot,811.639892578125,655.9759521484375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,elephant7-cat1,dot,811.639892578125,694.912109375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,elephant8-cat1,dot,811.639892578125,642.7705078125,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-bottle3,elephant2-cat1,dot,811.639892578125,733.2042846679688,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,car5-cat1,dot,764.4121704101562,686.5501708984375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,car9-cat1,dot,764.4121704101562,808.6341552734375,0,1
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,car8-cat1,dot,764.4121704101562,814.762451171875,0,1
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,dog2-cat1,dot,764.4121704101562,649.9200439453125,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,dog9-cat1,dot,764.4121704101562,817.0926513671875,0,1
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,dog6-cat1,dot,764.4121704101562,755.578125,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,bear3-cat1,dot,764.4121704101562,738.114990234375,1,0
resnet50,chair10-cat1,chair10,cat1,chair10-oven1,boat6-cat1,dot,764.4121704101562,612.0260009765625,1,0
