Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,cat9-bird3,dot,782.9427490234375,588.662841796875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,car2-bird3,dot,782.9427490234375,724.7868041992188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,car7-bird3,dot,782.9427490234375,625.5965576171875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,dog7-bird3,dot,782.9427490234375,610.0404052734375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,bear2-bird3,dot,782.9427490234375,583.7845458984375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,bear3-bird3,dot,782.9427490234375,642.434814453125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,boat1-bird3,dot,782.9427490234375,687.32470703125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,oven1-bird3,dot,782.9427490234375,708.9155883789062,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,oven9-bird3,dot,782.9427490234375,674.664794921875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,chair9-bird3,dot,782.9427490234375,622.52783203125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,chair10-bird3,dot,782.9427490234375,713.2028198242188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,airplane4-bird3,dot,782.9427490234375,611.7713012695312,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,airplane2-bird3,dot,782.9427490234375,600.6607666015625,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,airplane7-bird3,dot,782.9427490234375,584.05419921875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,bicycle9-bird3,dot,782.9427490234375,654.0829467773438,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,bicycle2-bird3,dot,782.9427490234375,716.2487182617188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,bottle5-bird3,dot,782.9427490234375,522.62109375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,bottle1-bird3,dot,782.9427490234375,584.3575439453125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,keyboard5-bird3,dot,782.9427490234375,744.2965698242188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,keyboard3-bird3,dot,782.9427490234375,515.9044799804688,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,clock6-bird3,dot,782.9427490234375,837.2115478515625,0,1
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,clock10-bird3,dot,782.9427490234375,708.20849609375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-oven1,knife7-bird3,dot,782.9427490234375,582.2216796875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,cat9-bird3,dot,738.5546875,588.662841796875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,car2-bird3,dot,738.5546875,724.7868041992188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,car7-bird3,dot,738.5546875,625.5965576171875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,dog7-bird3,dot,738.5546875,610.0404052734375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,bear2-bird3,dot,738.5546875,583.7845458984375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,bear3-bird3,dot,738.5546875,642.434814453125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,boat1-bird3,dot,738.5546875,687.32470703125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,oven1-bird3,dot,738.5546875,708.9155883789062,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,oven9-bird3,dot,738.5546875,674.664794921875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,chair9-bird3,dot,738.5546875,622.52783203125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,chair10-bird3,dot,738.5546875,713.2028198242188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,airplane4-bird3,dot,738.5546875,611.7713012695312,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,airplane2-bird3,dot,738.5546875,600.6607666015625,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,airplane7-bird3,dot,738.5546875,584.05419921875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,bicycle9-bird3,dot,738.5546875,654.0829467773438,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,bicycle2-bird3,dot,738.5546875,716.2487182617188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,bottle5-bird3,dot,738.5546875,522.62109375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,bottle1-bird3,dot,738.5546875,584.3575439453125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,keyboard5-bird3,dot,738.5546875,744.2965698242188,0,1
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,keyboard3-bird3,dot,738.5546875,515.9044799804688,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,clock6-bird3,dot,738.5546875,837.2115478515625,0,1
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,clock10-bird3,dot,738.5546875,708.20849609375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-airplane1,knife7-bird3,dot,738.5546875,582.2216796875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,cat9-bird3,dot,867.45703125,588.662841796875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,car2-bird3,dot,867.45703125,724.7868041992188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,car7-bird3,dot,867.45703125,625.5965576171875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,dog7-bird3,dot,867.45703125,610.0404052734375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,bear2-bird3,dot,867.45703125,583.7845458984375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,bear3-bird3,dot,867.45703125,642.434814453125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,boat1-bird3,dot,867.45703125,687.32470703125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,oven1-bird3,dot,867.45703125,708.9155883789062,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,oven9-bird3,dot,867.45703125,674.664794921875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,chair9-bird3,dot,867.45703125,622.52783203125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,chair10-bird3,dot,867.45703125,713.2028198242188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,airplane4-bird3,dot,867.45703125,611.7713012695312,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,airplane2-bird3,dot,867.45703125,600.6607666015625,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,airplane7-bird3,dot,867.45703125,584.05419921875,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,bicycle9-bird3,dot,867.45703125,654.0829467773438,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,bicycle2-bird3,dot,867.45703125,716.2487182617188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,bottle5-bird3,dot,867.45703125,522.62109375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,bottle1-bird3,dot,867.45703125,584.3575439453125,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,keyboard5-bird3,dot,867.45703125,744.2965698242188,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,keyboard3-bird3,dot,867.45703125,515.9044799804688,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,clock6-bird3,dot,867.45703125,837.2115478515625,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,clock10-bird3,dot,867.45703125,708.20849609375,1,0
resnet50,clock4-bird3,clock4,bird3,clock4-car2,knife7-bird3,dot,867.45703125,582.2216796875,1,0
