Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,car8-chair1,dot,620.2052612304688,785.5985717773438,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,car10-chair1,dot,620.2052612304688,685.028076171875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,car2-chair1,dot,620.2052612304688,748.9490966796875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,dog4-chair1,dot,620.2052612304688,602.070068359375,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,dog1-chair1,dot,620.2052612304688,710.8839111328125,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bear6-chair1,dot,620.2052612304688,724.985107421875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bear5-chair1,dot,620.2052612304688,620.5294799804688,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,boat7-chair1,dot,620.2052612304688,627.2909545898438,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,oven9-chair1,dot,620.2052612304688,708.5887451171875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,oven4-chair1,dot,620.2052612304688,761.0667724609375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,oven2-chair1,dot,620.2052612304688,663.67333984375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,oven8-chair1,dot,620.2052612304688,785.6530151367188,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,truck2-chair1,dot,620.2052612304688,703.9056396484375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bird8-chair1,dot,620.2052612304688,681.0748901367188,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bird5-chair1,dot,620.2052612304688,654.095458984375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bird10-chair1,dot,620.2052612304688,660.2318115234375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bird9-chair1,dot,620.2052612304688,699.2420654296875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,airplane8-chair1,dot,620.2052612304688,569.89013671875,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bicycle9-chair1,dot,620.2052612304688,578.3228759765625,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bicycle1-chair1,dot,620.2052612304688,598.6786499023438,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,bottle5-chair1,dot,620.2052612304688,590.8441772460938,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,keyboard6-chair1,dot,620.2052612304688,600.9619140625,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,knife10-chair1,dot,620.2052612304688,659.557861328125,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,knife1-chair1,dot,620.2052612304688,541.0801391601562,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,knife9-chair1,dot,620.2052612304688,522.715576171875,1,0
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,elephant1-chair1,dot,620.2052612304688,710.565185546875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-oven1,elephant3-chair1,dot,620.2052612304688,732.2210693359375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,car8-chair1,dot,599.5345458984375,785.5985717773438,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,car10-chair1,dot,599.5345458984375,685.028076171875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,car2-chair1,dot,599.5345458984375,748.9490966796875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,dog4-chair1,dot,599.5345458984375,602.070068359375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,dog1-chair1,dot,599.5345458984375,710.8839111328125,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,bear6-chair1,dot,599.5345458984375,724.985107421875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,bear5-chair1,dot,599.5345458984375,620.5294799804688,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,boat7-chair1,dot,599.5345458984375,627.2909545898438,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,oven9-chair1,dot,599.5345458984375,708.5887451171875,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,oven4-chair1,dot,599.5345458984375,761.0667724609375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,oven2-chair1,dot,599.5345458984375,663.67333984375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,oven8-chair1,dot,599.5345458984375,785.6530151367188,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,truck2-chair1,dot,599.5345458984375,703.9056396484375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,bird8-chair1,dot,599.5345458984375,681.0748901367188,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,bird5-chair1,dot,599.5345458984375,654.095458984375,0,1
resnet50,clock4-chair1,clock4,chair1,clock4-airplane1,bird10-chair1,dot,599.5345458984375,660.2318115234375,0,1
