Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,cat10-bicycle1,dot,726.771240234375,800.697998046875,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,cat9-bicycle1,dot,726.771240234375,764.4671630859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,cat3-bicycle1,dot,726.771240234375,925.8731079101562,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,dog4-bicycle1,dot,726.771240234375,674.253173828125,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,dog6-bicycle1,dot,726.771240234375,763.3525390625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,dog10-bicycle1,dot,726.771240234375,780.4811401367188,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,oven6-bicycle1,dot,726.771240234375,629.8259887695312,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,oven10-bicycle1,dot,726.771240234375,818.2058715820312,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,oven2-bicycle1,dot,726.771240234375,664.9830322265625,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,oven5-bicycle1,dot,726.771240234375,742.737548828125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,chair5-bicycle1,dot,726.771240234375,732.1156005859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,chair10-bicycle1,dot,726.771240234375,708.8031005859375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,truck3-bicycle1,dot,726.771240234375,854.9931640625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,truck6-bicycle1,dot,726.771240234375,696.9630126953125,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,truck10-bicycle1,dot,726.771240234375,660.1551513671875,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,bird5-bicycle1,dot,726.771240234375,730.6778564453125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,bird10-bicycle1,dot,726.771240234375,726.0757446289062,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,airplane2-bicycle1,dot,726.771240234375,829.8942260742188,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,airplane5-bicycle1,dot,726.771240234375,759.8643798828125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,bottle4-bicycle1,dot,726.771240234375,655.4913940429688,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,bottle8-bicycle1,dot,726.771240234375,623.9990234375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,bottle9-bicycle1,dot,726.771240234375,558.3519287109375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,keyboard5-bicycle1,dot,726.771240234375,709.1146240234375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,keyboard6-bicycle1,dot,726.771240234375,622.5966796875,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,clock7-bicycle1,dot,726.771240234375,679.2177734375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,clock6-bicycle1,dot,726.771240234375,470.344482421875,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,clock2-bicycle1,dot,726.771240234375,555.42236328125,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,clock5-bicycle1,dot,726.771240234375,550.6630859375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,knife6-bicycle1,dot,726.771240234375,528.99755859375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,knife8-bicycle1,dot,726.771240234375,621.8595581054688,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-car3,knife9-bicycle1,dot,726.771240234375,616.1842041015625,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,cat10-bicycle1,dot,561.05078125,800.697998046875,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,cat9-bicycle1,dot,561.05078125,764.4671630859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,cat3-bicycle1,dot,561.05078125,925.8731079101562,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,dog4-bicycle1,dot,561.05078125,674.253173828125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,dog6-bicycle1,dot,561.05078125,763.3525390625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,dog10-bicycle1,dot,561.05078125,780.4811401367188,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,oven6-bicycle1,dot,561.05078125,629.8259887695312,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,oven10-bicycle1,dot,561.05078125,818.2058715820312,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,oven2-bicycle1,dot,561.05078125,664.9830322265625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,oven5-bicycle1,dot,561.05078125,742.737548828125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,chair5-bicycle1,dot,561.05078125,732.1156005859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,chair10-bicycle1,dot,561.05078125,708.8031005859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,truck3-bicycle1,dot,561.05078125,854.9931640625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,truck6-bicycle1,dot,561.05078125,696.9630126953125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,truck10-bicycle1,dot,561.05078125,660.1551513671875,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,bird5-bicycle1,dot,561.05078125,730.6778564453125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,bird10-bicycle1,dot,561.05078125,726.0757446289062,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,airplane2-bicycle1,dot,561.05078125,829.8942260742188,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,airplane5-bicycle1,dot,561.05078125,759.8643798828125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,bottle4-bicycle1,dot,561.05078125,655.4913940429688,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,bottle8-bicycle1,dot,561.05078125,623.9990234375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,bottle9-bicycle1,dot,561.05078125,558.3519287109375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,keyboard5-bicycle1,dot,561.05078125,709.1146240234375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,keyboard6-bicycle1,dot,561.05078125,622.5966796875,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,clock7-bicycle1,dot,561.05078125,679.2177734375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,clock6-bicycle1,dot,561.05078125,470.344482421875,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,clock2-bicycle1,dot,561.05078125,555.42236328125,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,clock5-bicycle1,dot,561.05078125,550.6630859375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,knife6-bicycle1,dot,561.05078125,528.99755859375,1,0
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,knife8-bicycle1,dot,561.05078125,621.8595581054688,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-bird1,knife9-bicycle1,dot,561.05078125,616.1842041015625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,cat10-bicycle1,dot,550.9013061523438,800.697998046875,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,cat9-bicycle1,dot,550.9013061523438,764.4671630859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,cat3-bicycle1,dot,550.9013061523438,925.8731079101562,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,dog4-bicycle1,dot,550.9013061523438,674.253173828125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,dog6-bicycle1,dot,550.9013061523438,763.3525390625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,dog10-bicycle1,dot,550.9013061523438,780.4811401367188,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,oven6-bicycle1,dot,550.9013061523438,629.8259887695312,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,oven10-bicycle1,dot,550.9013061523438,818.2058715820312,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,oven2-bicycle1,dot,550.9013061523438,664.9830322265625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,oven5-bicycle1,dot,550.9013061523438,742.737548828125,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,chair5-bicycle1,dot,550.9013061523438,732.1156005859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,chair10-bicycle1,dot,550.9013061523438,708.8031005859375,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,truck3-bicycle1,dot,550.9013061523438,854.9931640625,0,1
resnet50,elephant6-bicycle1,elephant6,bicycle1,elephant6-dog2,truck6-bicycle1,dot,550.9013061523438,696.9630126953125,0,1
