Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,car5-cat1,dot,574.2030029296875,648.6121826171875,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,car9-cat1,dot,574.2030029296875,728.2799682617188,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,car8-cat1,dot,574.2030029296875,750.0964965820312,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,dog2-cat1,dot,574.2030029296875,573.17431640625,1,0
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,dog9-cat1,dot,574.2030029296875,776.7571411132812,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,dog6-cat1,dot,574.2030029296875,658.0828857421875,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,bear3-cat1,dot,574.2030029296875,859.5086059570312,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,boat6-cat1,dot,574.2030029296875,616.5731811523438,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,boat10-cat1,dot,574.2030029296875,626.2647705078125,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,oven7-cat1,dot,574.2030029296875,742.1114501953125,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,oven1-cat1,dot,574.2030029296875,692.6475830078125,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,chair10-cat1,dot,574.2030029296875,694.912109375,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,chair7-cat1,dot,574.2030029296875,626.9346923828125,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,truck1-cat1,dot,574.2030029296875,675.1898193359375,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,truck3-cat1,dot,574.2030029296875,769.9945068359375,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,bird10-cat1,dot,574.2030029296875,650.0670166015625,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,bird3-cat1,dot,574.2030029296875,655.54052734375,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,airplane3-cat1,dot,574.2030029296875,592.2471923828125,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,airplane2-cat1,dot,574.2030029296875,700.6636962890625,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,bicycle4-cat1,dot,574.2030029296875,570.1366577148438,1,0
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,bicycle5-cat1,dot,574.2030029296875,640.0538330078125,0,1
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,bicycle7-cat1,dot,574.2030029296875,548.3246459960938,1,0
resnet50,elephant7-cat1,elephant7,cat1,elephant7-car3,bicycle6-cat1,dot,574.2030029296875,695.435791015625,0,1
