Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,cat9-clock2,dot,831.2289428710938,474.64208984375,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,cat4-clock2,dot,831.2289428710938,600.0000610351562,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,car8-clock2,dot,831.2289428710938,550.672607421875,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,car9-clock2,dot,831.2289428710938,489.603515625,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,car1-clock2,dot,831.2289428710938,470.38507080078125,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,dog8-clock2,dot,831.2289428710938,487.3849182128906,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,bear1-clock2,dot,831.2289428710938,499.7130126953125,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,boat6-clock2,dot,831.2289428710938,613.3351440429688,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,oven9-clock2,dot,831.2289428710938,458.3198547363281,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,oven4-clock2,dot,831.2289428710938,571.599365234375,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,oven7-clock2,dot,831.2289428710938,543.4814453125,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,chair1-clock2,dot,831.2289428710938,638.47119140625,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,chair5-clock2,dot,831.2289428710938,529.8780517578125,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,truck6-clock2,dot,831.2289428710938,511.9837646484375,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,airplane8-clock2,dot,831.2289428710938,596.4561767578125,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,bicycle10-clock2,dot,831.2289428710938,480.7392883300781,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,bottle10-clock2,dot,831.2289428710938,595.089599609375,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,keyboard4-clock2,dot,831.2289428710938,543.932861328125,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,knife6-clock2,dot,831.2289428710938,643.951904296875,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,knife1-clock2,dot,831.2289428710938,660.7321166992188,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,elephant8-clock2,dot,831.2289428710938,500.29315185546875,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-cat1,elephant7-clock2,dot,831.2289428710938,494.66534423828125,1,0
resnet50,knife3-clock2,knife3,clock2,knife3-keyboard3,cat9-clock2,dot,748.6253662109375,474.64208984375,1,0
