Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,cat4-airplane1,dot,587.8281860351562,636.432861328125,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,cat1-airplane1,dot,587.8281860351562,692.0394897460938,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,car1-airplane1,dot,587.8281860351562,711.9299926757812,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,dog10-airplane1,dot,587.8281860351562,659.6531372070312,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bear3-airplane1,dot,587.8281860351562,849.414306640625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bear8-airplane1,dot,587.8281860351562,778.7817993164062,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bear2-airplane1,dot,587.8281860351562,672.9781494140625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,boat2-airplane1,dot,587.8281860351562,615.9530029296875,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,boat5-airplane1,dot,587.8281860351562,730.076904296875,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,oven3-airplane1,dot,587.8281860351562,730.1917724609375,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,oven5-airplane1,dot,587.8281860351562,819.230224609375,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,chair7-airplane1,dot,587.8281860351562,737.0994873046875,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,chair8-airplane1,dot,587.8281860351562,472.8297424316406,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bird4-airplane1,dot,587.8281860351562,633.3287353515625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bicycle4-airplane1,dot,587.8281860351562,631.8519897460938,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bottle4-airplane1,dot,587.8281860351562,625.625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bottle6-airplane1,dot,587.8281860351562,559.2171020507812,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,bottle5-airplane1,dot,587.8281860351562,583.9534301757812,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,clock4-airplane1,dot,587.8281860351562,605.979736328125,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,clock9-airplane1,dot,587.8281860351562,478.1324462890625,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,clock10-airplane1,dot,587.8281860351562,522.3259887695312,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,clock5-airplane1,dot,587.8281860351562,469.1146240234375,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,knife6-airplane1,dot,587.8281860351562,521.6417846679688,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-car3,knife1-airplane1,dot,587.8281860351562,522.255126953125,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,cat4-airplane1,dot,586.7745361328125,636.432861328125,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,cat1-airplane1,dot,586.7745361328125,692.0394897460938,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,car1-airplane1,dot,586.7745361328125,711.9299926757812,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,dog10-airplane1,dot,586.7745361328125,659.6531372070312,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bear3-airplane1,dot,586.7745361328125,849.414306640625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bear8-airplane1,dot,586.7745361328125,778.7817993164062,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bear2-airplane1,dot,586.7745361328125,672.9781494140625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,boat2-airplane1,dot,586.7745361328125,615.9530029296875,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,boat5-airplane1,dot,586.7745361328125,730.076904296875,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,oven3-airplane1,dot,586.7745361328125,730.1917724609375,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,oven5-airplane1,dot,586.7745361328125,819.230224609375,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,chair7-airplane1,dot,586.7745361328125,737.0994873046875,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,chair8-airplane1,dot,586.7745361328125,472.8297424316406,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bird4-airplane1,dot,586.7745361328125,633.3287353515625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bicycle4-airplane1,dot,586.7745361328125,631.8519897460938,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bottle4-airplane1,dot,586.7745361328125,625.625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bottle6-airplane1,dot,586.7745361328125,559.2171020507812,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,bottle5-airplane1,dot,586.7745361328125,583.9534301757812,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,clock4-airplane1,dot,586.7745361328125,605.979736328125,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,clock9-airplane1,dot,586.7745361328125,478.1324462890625,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,clock10-airplane1,dot,586.7745361328125,522.3259887695312,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,clock5-airplane1,dot,586.7745361328125,469.1146240234375,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,knife6-airplane1,dot,586.7745361328125,521.6417846679688,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-elephant3,knife1-airplane1,dot,586.7745361328125,522.255126953125,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,cat4-airplane1,dot,742.8352661132812,636.432861328125,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,cat1-airplane1,dot,742.8352661132812,692.0394897460938,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,car1-airplane1,dot,742.8352661132812,711.9299926757812,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,dog10-airplane1,dot,742.8352661132812,659.6531372070312,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bear3-airplane1,dot,742.8352661132812,849.414306640625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bear8-airplane1,dot,742.8352661132812,778.7817993164062,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bear2-airplane1,dot,742.8352661132812,672.9781494140625,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,boat2-airplane1,dot,742.8352661132812,615.9530029296875,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,boat5-airplane1,dot,742.8352661132812,730.076904296875,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,oven3-airplane1,dot,742.8352661132812,730.1917724609375,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,oven5-airplane1,dot,742.8352661132812,819.230224609375,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,chair7-airplane1,dot,742.8352661132812,737.0994873046875,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,chair8-airplane1,dot,742.8352661132812,472.8297424316406,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bird4-airplane1,dot,742.8352661132812,633.3287353515625,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bicycle4-airplane1,dot,742.8352661132812,631.8519897460938,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bottle4-airplane1,dot,742.8352661132812,625.625,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bottle6-airplane1,dot,742.8352661132812,559.2171020507812,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,bottle5-airplane1,dot,742.8352661132812,583.9534301757812,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,clock4-airplane1,dot,742.8352661132812,605.979736328125,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,clock9-airplane1,dot,742.8352661132812,478.1324462890625,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,clock10-airplane1,dot,742.8352661132812,522.3259887695312,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,clock5-airplane1,dot,742.8352661132812,469.1146240234375,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,knife6-airplane1,dot,742.8352661132812,521.6417846679688,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-clock1,knife1-airplane1,dot,742.8352661132812,522.255126953125,1,0
resnet50,truck10-airplane1,truck10,airplane1,truck10-bicycle1,cat4-airplane1,dot,542.8151245117188,636.432861328125,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-bicycle1,cat1-airplane1,dot,542.8151245117188,692.0394897460938,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-bicycle1,car1-airplane1,dot,542.8151245117188,711.9299926757812,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-bicycle1,dog10-airplane1,dot,542.8151245117188,659.6531372070312,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-bicycle1,bear3-airplane1,dot,542.8151245117188,849.414306640625,0,1
resnet50,truck10-airplane1,truck10,airplane1,truck10-bicycle1,bear8-airplane1,dot,542.8151245117188,778.7817993164062,0,1
