Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,cat9-dog2,dot,507.1937561035156,752.976318359375,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,car3-dog2,dot,507.1937561035156,768.747802734375,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,car1-dog2,dot,507.1937561035156,658.517822265625,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,boat9-dog2,dot,507.1937561035156,657.217041015625,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,boat4-dog2,dot,507.1937561035156,723.8164672851562,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,oven7-dog2,dot,507.1937561035156,841.4401245117188,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,chair9-dog2,dot,507.1937561035156,734.91162109375,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,chair3-dog2,dot,507.1937561035156,657.3528442382812,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bird2-dog2,dot,507.1937561035156,746.31689453125,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bird9-dog2,dot,507.1937561035156,713.03125,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bird5-dog2,dot,507.1937561035156,664.7183837890625,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,airplane4-dog2,dot,507.1937561035156,770.534423828125,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bicycle5-dog2,dot,507.1937561035156,742.7415771484375,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bicycle6-dog2,dot,507.1937561035156,606.347900390625,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bottle1-dog2,dot,507.1937561035156,710.87548828125,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bottle8-dog2,dot,507.1937561035156,694.7291259765625,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,bottle4-dog2,dot,507.1937561035156,618.1431274414062,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,keyboard6-dog2,dot,507.1937561035156,592.719970703125,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,clock3-dog2,dot,507.1937561035156,590.3031616210938,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,clock1-dog2,dot,507.1937561035156,700.72314453125,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,clock7-dog2,dot,507.1937561035156,641.4946899414062,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,knife6-dog2,dot,507.1937561035156,512.1724243164062,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,elephant6-dog2,dot,507.1937561035156,697.13623046875,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-oven3,elephant1-dog2,dot,507.1937561035156,757.978759765625,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-cat2,cat9-dog2,dot,648.7783813476562,752.976318359375,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-cat2,car3-dog2,dot,648.7783813476562,768.747802734375,0,1
resnet50,truck6-dog2,truck6,dog2,truck6-cat2,car1-dog2,dot,648.7783813476562,658.517822265625,0,1
