Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,cat10-bird2,dot,698.5872802734375,511.0970764160156,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,cat4-bird2,dot,698.5872802734375,502.4898986816406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,cat8-bird2,dot,698.5872802734375,533.6624755859375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,car3-bird2,dot,698.5872802734375,529.8425903320312,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,dog3-bird2,dot,698.5872802734375,500.4415588378906,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,bear6-bird2,dot,698.5872802734375,618.416259765625,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,bear1-bird2,dot,698.5872802734375,548.2344970703125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,boat8-bird2,dot,698.5872802734375,562.190673828125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,oven2-bird2,dot,698.5872802734375,435.7106018066406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,chair6-bird2,dot,698.5872802734375,672.884033203125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,truck3-bird2,dot,698.5872802734375,649.97705078125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,truck5-bird2,dot,698.5872802734375,557.0894165039062,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,truck2-bird2,dot,698.5872802734375,484.3974304199219,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,truck7-bird2,dot,698.5872802734375,526.9309692382812,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,bicycle8-bird2,dot,698.5872802734375,505.5146484375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,keyboard1-bird2,dot,698.5872802734375,542.339599609375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,clock9-bird2,dot,698.5872802734375,420.44061279296875,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,knife1-bird2,dot,698.5872802734375,509.7657165527344,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bicycle1,elephant8-bird2,dot,698.5872802734375,582.8502807617188,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,cat10-bird2,dot,761.680908203125,511.0970764160156,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,cat4-bird2,dot,761.680908203125,502.4898986816406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,cat8-bird2,dot,761.680908203125,533.6624755859375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,car3-bird2,dot,761.680908203125,529.8425903320312,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,dog3-bird2,dot,761.680908203125,500.4415588378906,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,bear6-bird2,dot,761.680908203125,618.416259765625,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,bear1-bird2,dot,761.680908203125,548.2344970703125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,boat8-bird2,dot,761.680908203125,562.190673828125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,oven2-bird2,dot,761.680908203125,435.7106018066406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,chair6-bird2,dot,761.680908203125,672.884033203125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,truck3-bird2,dot,761.680908203125,649.97705078125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,truck5-bird2,dot,761.680908203125,557.0894165039062,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,truck2-bird2,dot,761.680908203125,484.3974304199219,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,truck7-bird2,dot,761.680908203125,526.9309692382812,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,bicycle8-bird2,dot,761.680908203125,505.5146484375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,keyboard1-bird2,dot,761.680908203125,542.339599609375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,clock9-bird2,dot,761.680908203125,420.44061279296875,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,knife1-bird2,dot,761.680908203125,509.7657165527344,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-bear2,elephant8-bird2,dot,761.680908203125,582.8502807617188,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,cat10-bird2,dot,582.125732421875,511.0970764160156,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,cat4-bird2,dot,582.125732421875,502.4898986816406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,cat8-bird2,dot,582.125732421875,533.6624755859375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,car3-bird2,dot,582.125732421875,529.8425903320312,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,dog3-bird2,dot,582.125732421875,500.4415588378906,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,bear6-bird2,dot,582.125732421875,618.416259765625,0,1
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,bear1-bird2,dot,582.125732421875,548.2344970703125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,boat8-bird2,dot,582.125732421875,562.190673828125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,oven2-bird2,dot,582.125732421875,435.7106018066406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,chair6-bird2,dot,582.125732421875,672.884033203125,0,1
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,truck3-bird2,dot,582.125732421875,649.97705078125,0,1
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,truck5-bird2,dot,582.125732421875,557.0894165039062,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,truck2-bird2,dot,582.125732421875,484.3974304199219,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,truck7-bird2,dot,582.125732421875,526.9309692382812,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,bicycle8-bird2,dot,582.125732421875,505.5146484375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,keyboard1-bird2,dot,582.125732421875,542.339599609375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,clock9-bird2,dot,582.125732421875,420.44061279296875,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,knife1-bird2,dot,582.125732421875,509.7657165527344,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-boat3,elephant8-bird2,dot,582.125732421875,582.8502807617188,0,1
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,cat10-bird2,dot,641.7569580078125,511.0970764160156,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,cat4-bird2,dot,641.7569580078125,502.4898986816406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,cat8-bird2,dot,641.7569580078125,533.6624755859375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,car3-bird2,dot,641.7569580078125,529.8425903320312,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,dog3-bird2,dot,641.7569580078125,500.4415588378906,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,bear6-bird2,dot,641.7569580078125,618.416259765625,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,bear1-bird2,dot,641.7569580078125,548.2344970703125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,boat8-bird2,dot,641.7569580078125,562.190673828125,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,oven2-bird2,dot,641.7569580078125,435.7106018066406,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,chair6-bird2,dot,641.7569580078125,672.884033203125,0,1
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,truck3-bird2,dot,641.7569580078125,649.97705078125,0,1
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,truck5-bird2,dot,641.7569580078125,557.0894165039062,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,truck2-bird2,dot,641.7569580078125,484.3974304199219,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,truck7-bird2,dot,641.7569580078125,526.9309692382812,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,bicycle8-bird2,dot,641.7569580078125,505.5146484375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,keyboard1-bird2,dot,641.7569580078125,542.339599609375,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,clock9-bird2,dot,641.7569580078125,420.44061279296875,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,knife1-bird2,dot,641.7569580078125,509.7657165527344,1,0
resnet50,airplane5-bird2,airplane5,bird2,airplane5-knife1,elephant8-bird2,dot,641.7569580078125,582.8502807617188,1,0
