Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,cat6-bear1,dot,790.4810791015625,667.8695068359375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,cat10-bear1,dot,790.4810791015625,579.244384765625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,cat8-bear1,dot,790.4810791015625,561.978271484375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,car8-bear1,dot,790.4810791015625,600.592529296875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,car7-bear1,dot,790.4810791015625,574.2352294921875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,car6-bear1,dot,790.4810791015625,664.5281982421875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,dog1-bear1,dot,790.4810791015625,561.062255859375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,boat6-bear1,dot,790.4810791015625,615.1302490234375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,boat1-bear1,dot,790.4810791015625,563.1746826171875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,oven10-bear1,dot,790.4810791015625,585.929931640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,chair9-bear1,dot,790.4810791015625,714.2215576171875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,chair8-bear1,dot,790.4810791015625,719.9593505859375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,chair1-bear1,dot,790.4810791015625,708.4752807617188,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,truck4-bear1,dot,790.4810791015625,594.989501953125,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,truck1-bear1,dot,790.4810791015625,644.5377197265625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,bird1-bear1,dot,790.4810791015625,574.1065063476562,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,airplane2-bear1,dot,790.4810791015625,646.601806640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,bicycle9-bear1,dot,790.4810791015625,1055.265869140625,0,1
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,bicycle5-bear1,dot,790.4810791015625,1223.6856689453125,0,1
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,bottle7-bear1,dot,790.4810791015625,563.383056640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,bottle1-bear1,dot,790.4810791015625,593.377197265625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,clock1-bear1,dot,790.4810791015625,582.39208984375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,knife4-bear1,dot,790.4810791015625,724.2831420898438,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-clock2,elephant10-bear1,dot,790.4810791015625,562.47900390625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,cat6-bear1,dot,759.2365112304688,667.8695068359375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,cat10-bear1,dot,759.2365112304688,579.244384765625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,cat8-bear1,dot,759.2365112304688,561.978271484375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,car8-bear1,dot,759.2365112304688,600.592529296875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,car7-bear1,dot,759.2365112304688,574.2352294921875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,car6-bear1,dot,759.2365112304688,664.5281982421875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,dog1-bear1,dot,759.2365112304688,561.062255859375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,boat6-bear1,dot,759.2365112304688,615.1302490234375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,boat1-bear1,dot,759.2365112304688,563.1746826171875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,oven10-bear1,dot,759.2365112304688,585.929931640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,chair9-bear1,dot,759.2365112304688,714.2215576171875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,chair8-bear1,dot,759.2365112304688,719.9593505859375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,chair1-bear1,dot,759.2365112304688,708.4752807617188,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,truck4-bear1,dot,759.2365112304688,594.989501953125,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,truck1-bear1,dot,759.2365112304688,644.5377197265625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,bird1-bear1,dot,759.2365112304688,574.1065063476562,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,airplane2-bear1,dot,759.2365112304688,646.601806640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,bicycle9-bear1,dot,759.2365112304688,1055.265869140625,0,1
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,bicycle5-bear1,dot,759.2365112304688,1223.6856689453125,0,1
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,bottle7-bear1,dot,759.2365112304688,563.383056640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,bottle1-bear1,dot,759.2365112304688,593.377197265625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,clock1-bear1,dot,759.2365112304688,582.39208984375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,knife4-bear1,dot,759.2365112304688,724.2831420898438,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle10-boat3,elephant10-bear1,dot,759.2365112304688,562.47900390625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,cat6-bear1,dot,941.344482421875,667.8695068359375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,cat10-bear1,dot,941.344482421875,579.244384765625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,cat8-bear1,dot,941.344482421875,561.978271484375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,car8-bear1,dot,941.344482421875,600.592529296875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,car7-bear1,dot,941.344482421875,574.2352294921875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,car6-bear1,dot,941.344482421875,664.5281982421875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,dog1-bear1,dot,941.344482421875,561.062255859375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,boat6-bear1,dot,941.344482421875,615.1302490234375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,boat1-bear1,dot,941.344482421875,563.1746826171875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,oven10-bear1,dot,941.344482421875,585.929931640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,chair9-bear1,dot,941.344482421875,714.2215576171875,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,chair8-bear1,dot,941.344482421875,719.9593505859375,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,chair1-bear1,dot,941.344482421875,708.4752807617188,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,truck4-bear1,dot,941.344482421875,594.989501953125,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,truck1-bear1,dot,941.344482421875,644.5377197265625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,bird1-bear1,dot,941.344482421875,574.1065063476562,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,airplane2-bear1,dot,941.344482421875,646.601806640625,1,0
resnet50,bicycle1-bear1,bicycle1,bear1,bicycle1-oven1,bicycle9-bear1,dot,941.344482421875,1055.265869140625,0,1
