Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,cat9-bird3,dot,887.5921630859375,562.776123046875,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,car2-bird3,dot,887.5921630859375,708.8486328125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,car7-bird3,dot,887.5921630859375,554.779052734375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,dog7-bird3,dot,887.5921630859375,597.4776000976562,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,bear2-bird3,dot,887.5921630859375,579.6470947265625,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,bear3-bird3,dot,887.5921630859375,654.1106567382812,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,boat1-bird3,dot,887.5921630859375,633.9544677734375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,oven1-bird3,dot,887.5921630859375,641.760986328125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,oven9-bird3,dot,887.5921630859375,599.4854736328125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,chair9-bird3,dot,887.5921630859375,642.5997314453125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,chair10-bird3,dot,887.5921630859375,722.3260498046875,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,airplane4-bird3,dot,887.5921630859375,660.6864624023438,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,airplane2-bird3,dot,887.5921630859375,656.298583984375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,airplane7-bird3,dot,887.5921630859375,656.2077026367188,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,bicycle9-bird3,dot,887.5921630859375,782.58740234375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,bottle5-bird3,dot,887.5921630859375,547.7840576171875,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,bottle1-bird3,dot,887.5921630859375,545.1452026367188,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,keyboard5-bird3,dot,887.5921630859375,619.3763427734375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,keyboard3-bird3,dot,887.5921630859375,503.1103515625,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,clock6-bird3,dot,887.5921630859375,616.1638793945312,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,clock10-bird3,dot,887.5921630859375,684.694091796875,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,clock4-bird3,dot,887.5921630859375,708.38720703125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-dog1,knife7-bird3,dot,887.5921630859375,550.01708984375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,cat9-bird3,dot,855.9954833984375,562.776123046875,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,car2-bird3,dot,855.9954833984375,708.8486328125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,car7-bird3,dot,855.9954833984375,554.779052734375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,dog7-bird3,dot,855.9954833984375,597.4776000976562,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,bear2-bird3,dot,855.9954833984375,579.6470947265625,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,bear3-bird3,dot,855.9954833984375,654.1106567382812,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,boat1-bird3,dot,855.9954833984375,633.9544677734375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,oven1-bird3,dot,855.9954833984375,641.760986328125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,oven9-bird3,dot,855.9954833984375,599.4854736328125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,chair9-bird3,dot,855.9954833984375,642.5997314453125,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,chair10-bird3,dot,855.9954833984375,722.3260498046875,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,airplane4-bird3,dot,855.9954833984375,660.6864624023438,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,airplane2-bird3,dot,855.9954833984375,656.298583984375,1,0
resnet50,bicycle2-bird3,bicycle2,bird3,bicycle2-car2,airplane7-bird3,dot,855.9954833984375,656.2077026367188,1,0
