Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,cat1-dog1,dot,887.5921630859375,666.148193359375,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,car8-dog1,dot,887.5921630859375,634.8609619140625,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,car10-dog1,dot,887.5921630859375,640.3731689453125,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,bear2-dog1,dot,887.5921630859375,657.508544921875,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,bear8-dog1,dot,887.5921630859375,672.8253173828125,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,bear9-dog1,dot,887.5921630859375,619.9691162109375,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,boat6-dog1,dot,887.5921630859375,614.6118774414062,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,oven4-dog1,dot,887.5921630859375,752.2928466796875,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,chair10-dog1,dot,887.5921630859375,681.7070922851562,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,chair1-dog1,dot,887.5921630859375,693.8009033203125,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,chair6-dog1,dot,887.5921630859375,777.4237060546875,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,truck1-dog1,dot,887.5921630859375,626.5228271484375,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,bird3-dog1,dot,887.5921630859375,700.131103515625,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,airplane2-dog1,dot,887.5921630859375,698.7789306640625,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,airplane3-dog1,dot,887.5921630859375,654.31689453125,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,bottle10-dog1,dot,887.5921630859375,674.6282958984375,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,keyboard7-dog1,dot,887.5921630859375,649.5950927734375,1,0
resnet50,bicycle2-dog1,bicycle2,dog1,bicycle2-bird3,clock2-dog1,dot,887.5921630859375,698.010986328125,1,0
