Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,cat5-bottle1,dot,1088.98095703125,687.0465087890625,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,cat10-bottle1,dot,1088.98095703125,690.3909301757812,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,cat7-bottle1,dot,1088.98095703125,819.3076171875,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,car5-bottle1,dot,1088.98095703125,807.5653076171875,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,car6-bottle1,dot,1088.98095703125,796.0467529296875,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,car4-bottle1,dot,1088.98095703125,866.3661499023438,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,dog9-bottle1,dot,1088.98095703125,775.9361572265625,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,dog10-bottle1,dot,1088.98095703125,780.8068237304688,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,bear8-bottle1,dot,1088.98095703125,715.6914672851562,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,bear10-bottle1,dot,1088.98095703125,722.344482421875,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,bear5-bottle1,dot,1088.98095703125,746.3223876953125,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,boat7-bottle1,dot,1088.98095703125,728.2014770507812,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,boat8-bottle1,dot,1088.98095703125,756.86962890625,1,0
resnet50,bicycle4-bottle1,bicycle4,bottle1,bicycle4-cat1,oven7-bottle1,dot,1088.98095703125,760.2464599609375,1,0
