Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,dog9-car1,dot,743.6110229492188,435.3709716796875,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,boat6-car1,dot,743.6110229492188,479.79986572265625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,oven2-car1,dot,743.6110229492188,477.4654541015625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,oven4-car1,dot,743.6110229492188,538.4320068359375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,chair8-car1,dot,743.6110229492188,552.0895385742188,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,chair5-car1,dot,743.6110229492188,635.3756103515625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,truck5-car1,dot,743.6110229492188,538.445068359375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,airplane7-car1,dot,743.6110229492188,561.2178955078125,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,airplane4-car1,dot,743.6110229492188,535.3267211914062,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,airplane3-car1,dot,743.6110229492188,469.80364990234375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,bottle1-car1,dot,743.6110229492188,527.504150390625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,bottle10-car1,dot,743.6110229492188,574.6931762695312,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,keyboard10-car1,dot,743.6110229492188,514.3233032226562,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,clock1-car1,dot,743.6110229492188,524.920654296875,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,clock7-car1,dot,743.6110229492188,637.948974609375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bird3,elephant5-car1,dot,743.6110229492188,593.42578125,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,dog9-car1,dot,770.624267578125,435.3709716796875,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,boat6-car1,dot,770.624267578125,479.79986572265625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,oven2-car1,dot,770.624267578125,477.4654541015625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,oven4-car1,dot,770.624267578125,538.4320068359375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,chair8-car1,dot,770.624267578125,552.0895385742188,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,chair5-car1,dot,770.624267578125,635.3756103515625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,truck5-car1,dot,770.624267578125,538.445068359375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,airplane7-car1,dot,770.624267578125,561.2178955078125,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,airplane4-car1,dot,770.624267578125,535.3267211914062,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,airplane3-car1,dot,770.624267578125,469.80364990234375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,bottle1-car1,dot,770.624267578125,527.504150390625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,bottle10-car1,dot,770.624267578125,574.6931762695312,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,keyboard10-car1,dot,770.624267578125,514.3233032226562,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,clock1-car1,dot,770.624267578125,524.920654296875,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,clock7-car1,dot,770.624267578125,637.948974609375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bear1,elephant5-car1,dot,770.624267578125,593.42578125,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bottle1,dog9-car1,dot,758.1377563476562,435.3709716796875,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bottle1,boat6-car1,dot,758.1377563476562,479.79986572265625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bottle1,oven2-car1,dot,758.1377563476562,477.4654541015625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bottle1,oven4-car1,dot,758.1377563476562,538.4320068359375,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bottle1,chair8-car1,dot,758.1377563476562,552.0895385742188,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bottle1,chair5-car1,dot,758.1377563476562,635.3756103515625,1,0
resnet50,bicycle9-car1,bicycle9,car1,bicycle9-bottle1,truck5-car1,dot,758.1377563476562,538.445068359375,1,0
