Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,cat3-elephant2,dot,620.5555419921875,658.037109375,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,cat5-elephant2,dot,620.5555419921875,585.665283203125,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,car10-elephant2,dot,620.5555419921875,573.57177734375,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,dog3-elephant2,dot,620.5555419921875,569.076904296875,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,dog4-elephant2,dot,620.5555419921875,602.6651000976562,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,dog6-elephant2,dot,620.5555419921875,596.553466796875,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bear4-elephant2,dot,620.5555419921875,583.2562255859375,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bear8-elephant2,dot,620.5555419921875,515.7529296875,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,boat4-elephant2,dot,620.5555419921875,628.9680786132812,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,boat6-elephant2,dot,620.5555419921875,595.9981689453125,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,oven6-elephant2,dot,620.5555419921875,537.466796875,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,chair6-elephant2,dot,620.5555419921875,626.8680419921875,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,truck7-elephant2,dot,620.5555419921875,525.3179321289062,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bird9-elephant2,dot,620.5555419921875,682.0722045898438,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bird1-elephant2,dot,620.5555419921875,594.5291748046875,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bird10-elephant2,dot,620.5555419921875,711.177978515625,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bicycle7-elephant2,dot,620.5555419921875,565.08154296875,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bicycle3-elephant2,dot,620.5555419921875,600.0792236328125,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bicycle10-elephant2,dot,620.5555419921875,476.76611328125,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bicycle1-elephant2,dot,620.5555419921875,563.39306640625,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bottle7-elephant2,dot,620.5555419921875,609.890625,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,bottle9-elephant2,dot,620.5555419921875,632.379150390625,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,keyboard3-elephant2,dot,620.5555419921875,494.4773864746094,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,keyboard9-elephant2,dot,620.5555419921875,519.3538818359375,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,clock4-elephant2,dot,620.5555419921875,519.9114990234375,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,clock2-elephant2,dot,620.5555419921875,466.3894348144531,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,clock5-elephant2,dot,620.5555419921875,504.8418273925781,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,clock1-elephant2,dot,620.5555419921875,521.0040893554688,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,knife7-elephant2,dot,620.5555419921875,534.5032958984375,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,knife9-elephant2,dot,620.5555419921875,582.4398193359375,1,0
resnet50,bird6-elephant2,bird6,elephant2,bird6-truck2,knife2-elephant2,dot,620.5555419921875,747.05224609375,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-car3,cat3-elephant2,dot,545.1527099609375,658.037109375,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-car3,cat5-elephant2,dot,545.1527099609375,585.665283203125,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-car3,car10-elephant2,dot,545.1527099609375,573.57177734375,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-car3,dog3-elephant2,dot,545.1527099609375,569.076904296875,0,1
resnet50,bird6-elephant2,bird6,elephant2,bird6-car3,dog4-elephant2,dot,545.1527099609375,602.6651000976562,0,1
