Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,cat7-truck2,dot,715.287353515625,737.152587890625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,dog5-truck2,dot,715.287353515625,751.517822265625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,dog4-truck2,dot,715.287353515625,687.063720703125,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,dog3-truck2,dot,715.287353515625,744.1734619140625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,dog10-truck2,dot,715.287353515625,919.014404296875,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,dog6-truck2,dot,715.287353515625,753.4078369140625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,boat7-truck2,dot,715.287353515625,687.1149291992188,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,oven10-truck2,dot,715.287353515625,809.9781494140625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,chair4-truck2,dot,715.287353515625,633.69482421875,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,chair6-truck2,dot,715.287353515625,818.028564453125,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,bird6-truck2,dot,715.287353515625,939.52001953125,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,bird7-truck2,dot,715.287353515625,765.603515625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,bird5-truck2,dot,715.287353515625,781.857421875,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,airplane4-truck2,dot,715.287353515625,767.96337890625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,bottle7-truck2,dot,715.287353515625,858.1727294921875,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,keyboard7-truck2,dot,715.287353515625,967.2257080078125,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,clock8-truck2,dot,715.287353515625,628.4202880859375,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,clock10-truck2,dot,715.287353515625,642.0178833007812,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,knife1-truck2,dot,715.287353515625,663.3189086914062,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,knife2-truck2,dot,715.287353515625,861.0323486328125,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-dog3,elephant2-truck2,dot,715.287353515625,727.3923950195312,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,cat7-truck2,dot,791.278564453125,737.152587890625,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,dog5-truck2,dot,791.278564453125,751.517822265625,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,dog4-truck2,dot,791.278564453125,687.063720703125,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,dog3-truck2,dot,791.278564453125,744.1734619140625,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,dog10-truck2,dot,791.278564453125,919.014404296875,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,dog6-truck2,dot,791.278564453125,753.4078369140625,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,boat7-truck2,dot,791.278564453125,687.1149291992188,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,oven10-truck2,dot,791.278564453125,809.9781494140625,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,chair4-truck2,dot,791.278564453125,633.69482421875,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,chair6-truck2,dot,791.278564453125,818.028564453125,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,bird6-truck2,dot,791.278564453125,939.52001953125,0,1
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,bird7-truck2,dot,791.278564453125,765.603515625,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,bird5-truck2,dot,791.278564453125,781.857421875,1,0
resnet50,boat8-truck2,boat8,truck2,boat8-oven1,airplane4-truck2,dot,791.278564453125,767.96337890625,1,0
