Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,cat10-clock1,dot,566.742431640625,581.5662841796875,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,car7-clock1,dot,566.742431640625,495.47015380859375,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,car4-clock1,dot,566.742431640625,561.429443359375,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,dog3-clock1,dot,566.742431640625,547.7738037109375,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,dog10-clock1,dot,566.742431640625,593.89990234375,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,dog6-clock1,dot,566.742431640625,536.467041015625,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,dog4-clock1,dot,566.742431640625,607.3477783203125,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bear6-clock1,dot,566.742431640625,567.423095703125,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bear10-clock1,dot,566.742431640625,473.1458740234375,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bear7-clock1,dot,566.742431640625,564.7769775390625,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,boat9-clock1,dot,566.742431640625,509.69140625,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,chair10-clock1,dot,566.742431640625,484.33843994140625,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,truck2-clock1,dot,566.742431640625,603.05029296875,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,truck10-clock1,dot,566.742431640625,566.96142578125,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bird8-clock1,dot,566.742431640625,620.098876953125,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bird4-clock1,dot,566.742431640625,602.9334716796875,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bird10-clock1,dot,566.742431640625,598.7031860351562,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,airplane3-clock1,dot,566.742431640625,430.89373779296875,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,airplane1-clock1,dot,566.742431640625,519.936279296875,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,airplane9-clock1,dot,566.742431640625,470.5632629394531,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bottle1-clock1,dot,566.742431640625,633.8897705078125,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,bottle7-clock1,dot,566.742431640625,645.5948486328125,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,keyboard2-clock1,dot,566.742431640625,563.45751953125,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,keyboard1-clock1,dot,566.742431640625,546.7710571289062,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,knife5-clock1,dot,566.742431640625,532.98046875,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-car2,elephant2-clock1,dot,566.742431640625,544.4501953125,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-chair3,cat10-clock1,dot,560.3630981445312,581.5662841796875,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-chair3,car7-clock1,dot,560.3630981445312,495.47015380859375,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-chair3,car4-clock1,dot,560.3630981445312,561.429443359375,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-chair3,dog3-clock1,dot,560.3630981445312,547.7738037109375,1,0
resnet50,bottle2-clock1,bottle2,clock1,bottle2-chair3,dog10-clock1,dot,560.3630981445312,593.89990234375,0,1
resnet50,bottle2-clock1,bottle2,clock1,bottle2-chair3,dog6-clock1,dot,560.3630981445312,536.467041015625,1,0
