Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,cat4-knife1,dot,722.5740966796875,708.4644775390625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,car9-knife1,dot,722.5740966796875,523.953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,car6-knife1,dot,722.5740966796875,547.1192626953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,bear4-knife1,dot,722.5740966796875,540.4303588867188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,boat8-knife1,dot,722.5740966796875,698.4395751953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,oven3-knife1,dot,722.5740966796875,598.3291015625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,chair3-knife1,dot,722.5740966796875,622.0164794921875,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,chair2-knife1,dot,722.5740966796875,630.074462890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,truck1-knife1,dot,722.5740966796875,565.6559448242188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,truck4-knife1,dot,722.5740966796875,614.5001220703125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,bird2-knife1,dot,722.5740966796875,643.1787109375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,airplane5-knife1,dot,722.5740966796875,579.47021484375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,airplane6-knife1,dot,722.5740966796875,581.65087890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,airplane4-knife1,dot,722.5740966796875,638.3987426757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,bottle5-knife1,dot,722.5740966796875,721.0062255859375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,keyboard7-knife1,dot,722.5740966796875,665.5638427734375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,keyboard2-knife1,dot,722.5740966796875,597.43212890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,clock4-knife1,dot,722.5740966796875,650.106689453125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,clock2-knife1,dot,722.5740966796875,494.58966064453125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,clock8-knife1,dot,722.5740966796875,514.4534301757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bird1,elephant3-knife1,dot,722.5740966796875,706.8265380859375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,cat4-knife1,dot,783.8966674804688,708.4644775390625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,car9-knife1,dot,783.8966674804688,523.953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,car6-knife1,dot,783.8966674804688,547.1192626953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,bear4-knife1,dot,783.8966674804688,540.4303588867188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,boat8-knife1,dot,783.8966674804688,698.4395751953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,oven3-knife1,dot,783.8966674804688,598.3291015625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,chair3-knife1,dot,783.8966674804688,622.0164794921875,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,chair2-knife1,dot,783.8966674804688,630.074462890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,truck1-knife1,dot,783.8966674804688,565.6559448242188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,truck4-knife1,dot,783.8966674804688,614.5001220703125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,bird2-knife1,dot,783.8966674804688,643.1787109375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,airplane5-knife1,dot,783.8966674804688,579.47021484375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,airplane6-knife1,dot,783.8966674804688,581.65087890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,airplane4-knife1,dot,783.8966674804688,638.3987426757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,bottle5-knife1,dot,783.8966674804688,721.0062255859375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,keyboard7-knife1,dot,783.8966674804688,665.5638427734375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,keyboard2-knife1,dot,783.8966674804688,597.43212890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,clock4-knife1,dot,783.8966674804688,650.106689453125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,clock2-knife1,dot,783.8966674804688,494.58966064453125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,clock8-knife1,dot,783.8966674804688,514.4534301757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,elephant3-knife1,dot,783.8966674804688,706.8265380859375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,cat4-knife1,dot,733.2666015625,708.4644775390625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,car9-knife1,dot,733.2666015625,523.953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,car6-knife1,dot,733.2666015625,547.1192626953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,bear4-knife1,dot,733.2666015625,540.4303588867188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,boat8-knife1,dot,733.2666015625,698.4395751953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,oven3-knife1,dot,733.2666015625,598.3291015625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,chair3-knife1,dot,733.2666015625,622.0164794921875,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,chair2-knife1,dot,733.2666015625,630.074462890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,truck1-knife1,dot,733.2666015625,565.6559448242188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,truck4-knife1,dot,733.2666015625,614.5001220703125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,bird2-knife1,dot,733.2666015625,643.1787109375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,airplane5-knife1,dot,733.2666015625,579.47021484375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,airplane6-knife1,dot,733.2666015625,581.65087890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,airplane4-knife1,dot,733.2666015625,638.3987426757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,bottle5-knife1,dot,733.2666015625,721.0062255859375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,keyboard7-knife1,dot,733.2666015625,665.5638427734375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,keyboard2-knife1,dot,733.2666015625,597.43212890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,clock4-knife1,dot,733.2666015625,650.106689453125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,clock2-knife1,dot,733.2666015625,494.58966064453125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,clock8-knife1,dot,733.2666015625,514.4534301757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-dog2,elephant3-knife1,dot,733.2666015625,706.8265380859375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,cat4-knife1,dot,594.8519287109375,708.4644775390625,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,car9-knife1,dot,594.8519287109375,523.953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,car6-knife1,dot,594.8519287109375,547.1192626953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,bear4-knife1,dot,594.8519287109375,540.4303588867188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,boat8-knife1,dot,594.8519287109375,698.4395751953125,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,oven3-knife1,dot,594.8519287109375,598.3291015625,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,chair3-knife1,dot,594.8519287109375,622.0164794921875,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,chair2-knife1,dot,594.8519287109375,630.074462890625,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,truck1-knife1,dot,594.8519287109375,565.6559448242188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,truck4-knife1,dot,594.8519287109375,614.5001220703125,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,bird2-knife1,dot,594.8519287109375,643.1787109375,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,airplane5-knife1,dot,594.8519287109375,579.47021484375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,airplane6-knife1,dot,594.8519287109375,581.65087890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,airplane4-knife1,dot,594.8519287109375,638.3987426757812,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,bottle5-knife1,dot,594.8519287109375,721.0062255859375,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,keyboard7-knife1,dot,594.8519287109375,665.5638427734375,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,keyboard2-knife1,dot,594.8519287109375,597.43212890625,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,clock4-knife1,dot,594.8519287109375,650.106689453125,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,clock2-knife1,dot,594.8519287109375,494.58966064453125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,clock8-knife1,dot,594.8519287109375,514.4534301757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-elephant3,elephant3-knife1,dot,594.8519287109375,706.8265380859375,0,1
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,cat4-knife1,dot,872.22265625,708.4644775390625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,car9-knife1,dot,872.22265625,523.953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,car6-knife1,dot,872.22265625,547.1192626953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,bear4-knife1,dot,872.22265625,540.4303588867188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,boat8-knife1,dot,872.22265625,698.4395751953125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,oven3-knife1,dot,872.22265625,598.3291015625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,chair3-knife1,dot,872.22265625,622.0164794921875,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,chair2-knife1,dot,872.22265625,630.074462890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,truck1-knife1,dot,872.22265625,565.6559448242188,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,truck4-knife1,dot,872.22265625,614.5001220703125,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,bird2-knife1,dot,872.22265625,643.1787109375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,airplane5-knife1,dot,872.22265625,579.47021484375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,airplane6-knife1,dot,872.22265625,581.65087890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,airplane4-knife1,dot,872.22265625,638.3987426757812,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,bottle5-knife1,dot,872.22265625,721.0062255859375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,keyboard7-knife1,dot,872.22265625,665.5638427734375,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,keyboard2-knife1,dot,872.22265625,597.43212890625,1,0
resnet50,bottle8-knife1,bottle8,knife1,bottle8-bicycle1,clock4-knife1,dot,872.22265625,650.106689453125,1,0
