Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car7-airplane2,car7,airplane2,car7-oven2,cat7-airplane2,dot,575.2263793945312,645.0523681640625,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,cat5-airplane2,dot,575.2263793945312,605.4718017578125,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,dog2-airplane2,dot,575.2263793945312,625.0228271484375,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,boat9-airplane2,dot,575.2263793945312,540.0,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,boat3-airplane2,dot,575.2263793945312,628.4423828125,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,boat6-airplane2,dot,575.2263793945312,516.0452880859375,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,oven9-airplane2,dot,575.2263793945312,630.5694580078125,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,oven10-airplane2,dot,575.2263793945312,571.9346923828125,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,chair3-airplane2,dot,575.2263793945312,647.6685791015625,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,chair10-airplane2,dot,575.2263793945312,519.004638671875,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,chair1-airplane2,dot,575.2263793945312,623.860595703125,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,truck9-airplane2,dot,575.2263793945312,618.8048095703125,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,truck5-airplane2,dot,575.2263793945312,639.0054321289062,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,bird6-airplane2,dot,575.2263793945312,632.8881225585938,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,bird1-airplane2,dot,575.2263793945312,589.935302734375,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,bicycle9-airplane2,dot,575.2263793945312,504.201171875,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,bicycle1-airplane2,dot,575.2263793945312,489.18670654296875,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,bicycle6-airplane2,dot,575.2263793945312,639.2999267578125,0,1
resnet50,car7-airplane2,car7,airplane2,car7-oven2,bicycle10-airplane2,dot,575.2263793945312,528.03662109375,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,bottle3-airplane2,dot,575.2263793945312,537.20751953125,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,keyboard1-airplane2,dot,575.2263793945312,551.4964599609375,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,keyboard8-airplane2,dot,575.2263793945312,480.6629943847656,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,clock8-airplane2,dot,575.2263793945312,561.1030883789062,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,knife9-airplane2,dot,575.2263793945312,491.912353515625,1,0
resnet50,car7-airplane2,car7,airplane2,car7-oven2,elephant9-airplane2,dot,575.2263793945312,671.8598022460938,0,1
