Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,cat5-elephant2,dot,474.5965576171875,705.726318359375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,car10-elephant2,dot,474.5965576171875,658.6810302734375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,dog3-elephant2,dot,474.5965576171875,627.5938720703125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,dog4-elephant2,dot,474.5965576171875,708.4158935546875,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,dog6-elephant2,dot,474.5965576171875,706.89208984375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bear4-elephant2,dot,474.5965576171875,647.0841064453125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bear8-elephant2,dot,474.5965576171875,595.30517578125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,boat4-elephant2,dot,474.5965576171875,652.7806396484375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,boat6-elephant2,dot,474.5965576171875,560.4697265625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,oven6-elephant2,dot,474.5965576171875,614.1527709960938,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,chair6-elephant2,dot,474.5965576171875,645.4893798828125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,truck7-elephant2,dot,474.5965576171875,636.5096435546875,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bird9-elephant2,dot,474.5965576171875,644.9271240234375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bird1-elephant2,dot,474.5965576171875,654.819580078125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bird6-elephant2,dot,474.5965576171875,658.037109375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bird10-elephant2,dot,474.5965576171875,684.9696044921875,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bicycle7-elephant2,dot,474.5965576171875,474.9703369140625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bicycle3-elephant2,dot,474.5965576171875,585.408447265625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bicycle10-elephant2,dot,474.5965576171875,424.2462158203125,1,0
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bicycle1-elephant2,dot,474.5965576171875,496.44940185546875,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bottle7-elephant2,dot,474.5965576171875,582.4302978515625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,bottle9-elephant2,dot,474.5965576171875,603.3853149414062,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,keyboard3-elephant2,dot,474.5965576171875,487.8685302734375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,keyboard9-elephant2,dot,474.5965576171875,620.1529541015625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,clock4-elephant2,dot,474.5965576171875,558.0613403320312,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,clock2-elephant2,dot,474.5965576171875,458.5627136230469,1,0
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,clock5-elephant2,dot,474.5965576171875,498.9653625488281,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,clock1-elephant2,dot,474.5965576171875,622.1504516601562,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,knife7-elephant2,dot,474.5965576171875,536.085693359375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,knife9-elephant2,dot,474.5965576171875,498.8550720214844,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-oven2,knife2-elephant2,dot,474.5965576171875,630.2886962890625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,cat5-elephant2,dot,472.85748291015625,705.726318359375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,car10-elephant2,dot,472.85748291015625,658.6810302734375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,dog3-elephant2,dot,472.85748291015625,627.5938720703125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,dog4-elephant2,dot,472.85748291015625,708.4158935546875,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,dog6-elephant2,dot,472.85748291015625,706.89208984375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bear4-elephant2,dot,472.85748291015625,647.0841064453125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bear8-elephant2,dot,472.85748291015625,595.30517578125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,boat4-elephant2,dot,472.85748291015625,652.7806396484375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,boat6-elephant2,dot,472.85748291015625,560.4697265625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,oven6-elephant2,dot,472.85748291015625,614.1527709960938,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,chair6-elephant2,dot,472.85748291015625,645.4893798828125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,truck7-elephant2,dot,472.85748291015625,636.5096435546875,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bird9-elephant2,dot,472.85748291015625,644.9271240234375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bird1-elephant2,dot,472.85748291015625,654.819580078125,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bird6-elephant2,dot,472.85748291015625,658.037109375,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bird10-elephant2,dot,472.85748291015625,684.9696044921875,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bicycle7-elephant2,dot,472.85748291015625,474.9703369140625,0,1
resnet50,cat3-elephant2,cat3,elephant2,cat3-truck3,bicycle3-elephant2,dot,472.85748291015625,585.408447265625,0,1
