Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,cat7-knife2,dot,557.2376708984375,682.32568359375,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,cat5-knife2,dot,557.2376708984375,566.236328125,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,car8-knife2,dot,557.2376708984375,679.6454467773438,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,car5-knife2,dot,557.2376708984375,518.390869140625,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,dog5-knife2,dot,557.2376708984375,628.4962158203125,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,bear9-knife2,dot,557.2376708984375,634.299072265625,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,bear2-knife2,dot,557.2376708984375,565.6270751953125,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,bear10-knife2,dot,557.2376708984375,622.9894409179688,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,boat6-knife2,dot,557.2376708984375,463.233642578125,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,boat9-knife2,dot,557.2376708984375,496.2473449707031,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,boat4-knife2,dot,557.2376708984375,532.0059814453125,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,boat5-knife2,dot,557.2376708984375,518.623779296875,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,oven4-knife2,dot,557.2376708984375,615.413818359375,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,oven8-knife2,dot,557.2376708984375,551.7360229492188,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,chair7-knife2,dot,557.2376708984375,645.9721069335938,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,chair8-knife2,dot,557.2376708984375,429.95977783203125,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,truck3-knife2,dot,557.2376708984375,608.7064208984375,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,truck6-knife2,dot,557.2376708984375,546.8076171875,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,bird8-knife2,dot,557.2376708984375,629.6860961914062,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,bird7-knife2,dot,557.2376708984375,616.1281127929688,0,1
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,bicycle2-knife2,dot,557.2376708984375,543.2579345703125,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,bicycle7-knife2,dot,557.2376708984375,554.50048828125,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,keyboard5-knife2,dot,557.2376708984375,498.39349365234375,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,keyboard4-knife2,dot,557.2376708984375,537.0771484375,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,keyboard6-knife2,dot,557.2376708984375,525.5812377929688,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,clock6-knife2,dot,557.2376708984375,444.0015869140625,1,0
resnet50,cat9-knife2,cat9,knife2,cat9-truck1,elephant6-knife2,dot,557.2376708984375,698.8737182617188,0,1
