Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,cat7-airplane2,dot,855.4902954101562,603.3768310546875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,cat5-airplane2,dot,855.4902954101562,525.061767578125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,car7-airplane2,dot,855.4902954101562,519.004638671875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,dog2-airplane2,dot,855.4902954101562,511.74200439453125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,boat9-airplane2,dot,855.4902954101562,538.3524169921875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,boat3-airplane2,dot,855.4902954101562,600.2113647460938,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,boat6-airplane2,dot,855.4902954101562,471.9146728515625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,oven9-airplane2,dot,855.4902954101562,608.2667236328125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,oven10-airplane2,dot,855.4902954101562,557.3405151367188,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,chair3-airplane2,dot,855.4902954101562,767.9097900390625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,chair1-airplane2,dot,855.4902954101562,752.8499145507812,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,truck9-airplane2,dot,855.4902954101562,576.64013671875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,truck5-airplane2,dot,855.4902954101562,587.4274291992188,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,bird6-airplane2,dot,855.4902954101562,580.689453125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,bird1-airplane2,dot,855.4902954101562,555.4301147460938,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,bicycle9-airplane2,dot,855.4902954101562,578.925048828125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,bicycle1-airplane2,dot,855.4902954101562,592.2380981445312,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,bicycle6-airplane2,dot,855.4902954101562,685.775390625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,bicycle10-airplane2,dot,855.4902954101562,548.322265625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,bottle3-airplane2,dot,855.4902954101562,552.067626953125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,keyboard1-airplane2,dot,855.4902954101562,582.764892578125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,keyboard8-airplane2,dot,855.4902954101562,477.42431640625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,clock8-airplane2,dot,855.4902954101562,572.7860107421875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,knife9-airplane2,dot,855.4902954101562,512.047119140625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,elephant9-airplane2,dot,855.4902954101562,630.7699584960938,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-bottle3,elephant1-airplane2,dot,855.4902954101562,604.82958984375,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,cat7-airplane2,dot,782.904052734375,603.3768310546875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,cat5-airplane2,dot,782.904052734375,525.061767578125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,car7-airplane2,dot,782.904052734375,519.004638671875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,dog2-airplane2,dot,782.904052734375,511.74200439453125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,boat9-airplane2,dot,782.904052734375,538.3524169921875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,boat3-airplane2,dot,782.904052734375,600.2113647460938,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,boat6-airplane2,dot,782.904052734375,471.9146728515625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,oven9-airplane2,dot,782.904052734375,608.2667236328125,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,oven10-airplane2,dot,782.904052734375,557.3405151367188,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,chair3-airplane2,dot,782.904052734375,767.9097900390625,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,chair1-airplane2,dot,782.904052734375,752.8499145507812,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,truck9-airplane2,dot,782.904052734375,576.64013671875,1,0
resnet50,chair10-airplane2,chair10,airplane2,chair10-cat1,truck5-airplane2,dot,782.904052734375,587.4274291992188,1,0
